open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1724544000000,2766.40,2782.62,2763.52,2771.79,61311.840,1724545799999,169997518.80562,77641,36543.615,101339819.45455,0
1724545800000,2771.80,2772.40,2751.48,2756.65,46875.793,1724547599999,129337672.95921,55974,17784.944,49064533.83468,0
1724547600000,2756.65,2768.15,2755.33,2768.00,39817.960,1724549399999,110038120.44220,49606,25483.836,70427334.03061,0
1724549400000,2768.00,2770.03,2747.00,2757.67,40600.708,1724551199999,111912030.50732,63084,18960.460,52284117.80803,0
1724551200000,2757.67,2763.87,2754.46,2763.08,20853.891,1724552999999,57536686.73196,28120,9627.936,26569353.67006,0
1724553000000,2763.08,2765.41,2761.50,2763.00,12241.795,1724554799999,33831950.56165,19896,6105.108,16872807.19343,0
1724554800000,2762.99,2764.60,2756.26,2758.86,11313.555,1724556599999,31231282.44771,20167,4099.029,11316067.98382,0
1724556600000,2758.86,2764.19,2754.52,2763.42,23509.336,1724558399999,64846818.98792,42395,12780.089,35256173.78288,0
1724558400000,2763.43,2764.17,2754.06,2761.87,19275.917,1724560199999,53163493.84634,30088,8388.915,23138679.03918,0
1724560200000,2761.87,2767.37,2760.00,2765.89,17372.949,1724561999999,48029979.17203,26220,9757.974,26978171.11886,0
1724562000000,2765.89,2768.32,2762.97,2766.43,11787.819,1724563799999,32600021.45155,23059,6537.374,18080202.06466,0
1724563800000,2766.43,2769.66,2759.60,2762.30,13267.546,1724565599999,36671508.10829,24494,6803.692,18810327.62292,0
1724565600000,2762.29,2763.09,2753.24,2756.59,16523.136,1724567399999,45564708.33609,27094,6975.557,19237755.15756,0
1724567400000,2756.59,2760.49,2751.12,2753.48,19674.430,1724569199999,54200360.42095,26448,9190.423,25319494.65295,0
1724569200000,2753.49,2754.86,2735.90,2745.95,60844.473,1724570999999,167015295.76547,75641,28202.658,77420039.81655,0
1724571000000,2745.95,2746.72,2731.63,2742.05,51443.783,1724572799999,140833238.70584,68718,25273.771,69195938.42289,0
1724572800000,2742.05,2751.00,2735.90,2750.99,40752.481,1724574599999,111890976.91574,49503,22906.189,62898860.66170,0
1724574600000,2750.99,2753.16,2746.01,2750.61,23068.802,1724576399999,63428688.57951,31034,10878.824,29916134.07698,0
1724576400000,2750.61,2753.80,2745.03,2747.10,18518.476,1724578199999,50904206.73242,29180,8395.881,23084865.64713,0
1724578200000,2747.10,2756.78,2744.22,2754.22,19453.005,1724579999999,53519351.96541,33635,10375.239,28546447.59955,0
1724580000000,2754.21,2759.96,2750.53,2754.77,23717.156,1724581799999,65359686.98787,33152,12309.095,33926853.47960,0
1724581800000,2754.77,2757.80,2748.66,2752.18,17375.601,1724583599999,47815393.64652,28232,6903.776,19004549.89015,0
1724583600000,2752.18,2758.00,2751.50,2756.94,12272.425,1724585399999,33816044.68283,23627,6936.536,19113944.96446,0
1724585400000,2756.93,2758.89,2748.94,2749.68,16736.288,1724587199999,46087827.64564,25823,6950.093,19138175.44828,0
1724587200000,2749.69,2752.91,2744.73,2747.01,17549.314,1724588999999,48238992.37497,27541,8300.836,22816423.46621,0
1724589000000,2747.01,2752.66,2746.22,2751.64,10108.331,1724590799999,27806538.05129,19623,4755.904,13083112.95140,0
1724590800000,2751.64,2765.75,2748.43,2763.49,36652.315,1724592599999,101066231.47656,41070,20136.925,55535991.99624,0
1724592600000,2763.50,2768.10,2753.41,2762.58,48480.523,1724594399999,133929467.96541,52911,27179.451,75095313.76916,0
1724594400000,2762.59,2772.00,2760.59,2761.02,29748.530,1724596199999,82282111.19588,42623,14409.386,39859255.86988,0
1724596200000,2761.02,2767.35,2758.97,2763.88,16442.047,1724597999999,45435883.21111,28016,7479.886,20672989.56821,0
1724598000000,2763.88,2770.55,2760.72,2768.73,17592.185,1724599799999,48661793.89994,26814,8013.277,22169296.09887,0
1724599800000,2768.72,2768.72,2758.50,2762.79,19729.344,1724601599999,54482346.66438,31806,7537.949,20817279.43534,0
1724601600000,2762.78,2769.57,2758.56,2760.84,25198.612,1724603399999,69652069.84382,34592,11009.449,30431603.61855,0
1724603400000,2760.85,2766.40,2759.01,2762.50,15142.474,1724605199999,41825728.94940,26611,6971.404,19259191.36320,0
1724605200000,2762.50,2769.51,2761.15,2766.44,16889.732,1724606999999,46709327.55746,26269,9554.618,26423792.13864,0
1724607000000,2766.44,2773.42,2764.77,2770.17,20242.744,1724608799999,56063757.62910,30595,12788.180,35419187.04413,0
1724608800000,2770.18,2771.53,2765.24,2766.46,10252.458,1724610599999,28379011.70713,20094,4724.851,13080789.04371,0
1724610600000,2766.47,2771.28,2759.31,2762.89,17339.935,1724612399999,47947595.79329,29642,8997.014,24875336.52248,0
1724612400000,2762.90,2764.89,2760.89,2762.90,6058.533,1724614199999,16739725.43231,16997,3013.054,8325432.75767,0
1724614200000,2762.90,2765.51,2761.58,2764.77,4104.396,1724615999999,11344521.66908,14251,2195.275,6067392.04842,0
1724616000000,2764.77,2769.18,2763.40,2764.60,10012.839,1724617799999,27696693.75310,18890,5226.668,14457367.05866,0
1724617800000,2764.60,2771.80,2764.57,2768.58,9079.369,1724619599999,25142321.99086,18137,4356.681,12064896.70418,0
1724619600000,2768.58,2791.66,2767.58,2787.57,51055.360,1724621399999,142099451.42459,61492,31110.375,86581110.02215,0
1724621400000,2787.57,2789.86,2775.00,2777.79,22871.687,1724623199999,63592397.94354,34869,9108.347,25323335.12277,0
1724623200000,2777.80,2787.00,2768.17,2769.98,39607.903,1724624999999,110031400.01939,50863,21885.873,60817732.58894,0
1724625000000,2769.98,2771.57,2763.99,2769.50,19062.183,1724626799999,52753849.71460,34318,9829.431,27205108.18393,0
