open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1727222400000,2652.00,2652.67,2640.22,2644.73,42346.149,1727224199999,112069662.88059,51340,17887.318,47344785.83865,0
1727224200000,2644.72,2655.72,2631.06,2637.27,69803.760,1727225999999,184392439.39649,77429,29656.385,78359353.78392,0
1727226000000,2637.27,2654.97,2634.83,2649.50,41924.568,1727227799999,110856693.01686,58823,24404.431,64539339.51750,0
1727227800000,2649.50,2673.06,2648.04,2648.05,100844.679,1727229599999,268202770.63411,103734,53843.964,143216723.52343,0
1727229600000,2648.05,2650.27,2640.56,2644.26,40730.206,1727231399999,107723646.15489,55302,20093.497,53148456.97796,0
1727231400000,2644.26,2655.99,2643.82,2646.49,26242.213,1727233199999,69562173.39708,40668,14953.506,39637835.64972,0
1727233200000,2646.49,2646.50,2638.50,2642.30,25145.385,1727234999999,66432339.89644,37937,11603.667,30655467.49658,0
1727235000000,2642.28,2646.00,2639.50,2645.51,17619.508,1727236799999,46566728.61849,31383,9530.919,25192816.03919,0
1727236800000,2645.51,2645.88,2634.13,2635.64,24259.013,1727238599999,63997703.35826,34295,11078.639,29227428.89930,0
1727238600000,2635.63,2635.63,2624.05,2624.05,53633.467,1727240399999,141014470.64658,62518,25139.639,66099723.58987,0
1727240400000,2624.05,2631.17,2620.00,2626.26,43805.477,1727242199999,115003664.47498,47267,26574.749,69770514.07998,0
1727242200000,2626.26,2629.15,2618.84,2623.33,30584.373,1727243999999,80217378.91395,41620,14480.106,37982974.03127,0
1727244000000,2623.32,2624.92,2609.04,2615.99,69409.556,1727245799999,181606090.29224,74186,31423.528,82235149.39704,0
1727245800000,2615.99,2623.48,2610.66,2616.71,38364.195,1727247599999,100451811.60862,57294,19174.286,50205784.52281,0
1727247600000,2616.71,2622.88,2611.14,2622.21,36379.496,1727249399999,95210764.16461,56341,17335.306,45375189.04985,0
1727249400000,2622.22,2626.60,2619.26,2620.44,37629.213,1727251199999,98709281.02440,43696,19984.550,52426861.03071,0
1727251200000,2620.44,2625.74,2619.22,2623.43,19746.076,1727252999999,51781674.16120,36528,10545.151,27655705.57313,0
1727253000000,2623.44,2626.78,2620.50,2623.93,17829.773,1727254799999,46793389.82381,32297,8138.966,21362996.48194,0
1727254800000,2623.94,2628.88,2621.01,2621.69,24519.630,1727256599999,64361500.01814,35584,10099.856,26511278.61132,0
1727256600000,2621.69,2626.45,2619.04,2620.22,21609.114,1727258399999,56663296.17142,33920,9548.450,25038322.31973,0
1727258400000,2620.22,2629.90,2612.51,2627.34,61256.532,1727260199999,160571027.38647,67869,31675.394,83036700.53297,0
1727260200000,2627.35,2628.88,2619.00,2621.71,25407.741,1727261999999,66630147.81414,33380,12401.932,32517127.96037,0
1727262000000,2621.71,2622.48,2612.78,2620.42,39987.059,1727263799999,104667420.33004,45759,20994.110,54953309.58837,0
1727263800000,2620.42,2626.89,2616.37,2626.31,31089.043,1727265599999,81514236.17727,45267,16661.083,43688936.21867,0
1727265600000,2626.30,2626.31,2619.49,2621.36,20130.380,1727267399999,52802693.08031,32068,8435.829,22128480.27110,0
1727267400000,2621.36,2623.88,2616.39,2616.53,20127.449,1727269199999,52727516.82966,38030,9156.047,23988819.13761,0
1727269200000,2616.53,2622.00,2610.28,2615.25,32863.305,1727270999999,85951139.57839,50315,15886.223,41552505.39065,0
1727271000000,2615.25,2620.04,2600.96,2616.63,79434.205,1727272799999,207383680.01679,109684,36838.793,96207499.28396,0
1727272800000,2616.63,2628.64,2616.46,2620.70,55864.725,1727274599999,146497634.66246,82140,27861.623,73070932.94369,0
1727274600000,2620.70,2626.72,2614.60,2625.64,41330.345,1727276399999,108346837.81408,67752,19966.621,52348776.19212,0
1727276400000,2625.65,2627.80,2615.88,2618.19,35849.599,1727278199999,94028659.06194,61246,17113.283,44892677.31814,0
1727278200000,2618.18,2618.18,2593.67,2599.90,114644.380,1727279999999,298688259.22789,124628,47335.612,123332602.26472,0
1727280000000,2599.91,2605.00,2591.21,2604.96,85339.880,1727281799999,221737399.91799,107270,45196.003,117444776.05183,0
1727281800000,2604.95,2608.43,2597.28,2599.03,32658.266,1727283599999,84998437.58427,55903,16299.625,42424834.71442,0
1727283600000,2599.03,2603.43,2576.97,2577.56,120858.492,1727285399999,312857066.02978,115383,49745.053,128838388.08731,0
1727285400000,2577.55,2583.56,2561.17,2574.56,138617.249,1727287199999,356695186.53384,131437,67308.223,173258542.81382,0
1727287200000,2574.60,2583.00,2572.23,2578.89,43577.304,1727288999999,112334277.78411,66499,23329.297,60137988.49842,0
1727289000000,2578.89,2582.71,2576.00,2581.50,22971.489,1727290799999,59263686.19450,45056,12892.692,33264087.71651,0
1727290800000,2581.51,2588.00,2578.06,2580.60,37703.328,1727292599999,97356603.17537,55514,21216.962,54788094.31004,0
1727292600000,2580.61,2583.54,2566.75,2569.69,34558.775,1727294399999,88984214.26093,47471,14372.815,37010766.67179,0
1727294400000,2569.68,2582.00,2569.24,2574.78,29011.107,1727296199999,74752933.46056,45909,16289.311,41973172.37518,0
1727296200000,2574.77,2580.96,2574.77,2579.96,14305.304,1727297999999,36881482.93957,26133,7393.684,19062148.68646,0
1727298000000,2579.96,2583.61,2576.13,2581.99,17615.023,1727299799999,45446974.73067,26054,9820.754,25337224.90689,0
1727299800000,2582.00,2583.69,2579.04,2579.80,9989.787,1727301599999,25798279.44994,19653,3961.485,10230960.27648,0
1727301600000,2579.80,2581.26,2566.57,2574.70,38501.238,1727303399999,99120966.95237,61599,18562.802,47788329.30799,0
1727303400000,2574.70,2578.75,2552.44,2571.38,91627.214,1727305199999,234884897.38329,95844,36976.066,94829229.71022,0
1727305200000,2571.38,2578.23,2565.62,2574.67,35995.473,1727306999999,92578395.32534,66129,16786.100,43186358.56063,0
1727307000000,2574.66,2582.06,2567.30,2578.90,39593.980,1727308799999,101907030.57415,61779,20306.752,52274410.35462,0
