open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1729814400000,2535.39,2538.19,2531.44,2533.83,24982.356,1729816199999,63319392.32319,43456,11321.064,28695676.01518,0
1729816200000,2533.82,2534.27,2520.10,2524.54,37644.367,1729817999999,95081436.20625,62126,13626.301,34408608.32878,0
1729818000000,2524.54,2526.80,2518.23,2526.64,19425.205,1729819799999,48999374.33984,41681,8689.318,21924018.20997,0
1729819800000,2526.65,2526.85,2513.84,2519.06,29722.587,1729821599999,74838033.17018,51282,11922.509,30023102.09673,0
1729821600000,2519.07,2524.25,2509.00,2515.34,36568.824,1729823399999,92007800.76473,54067,18652.371,46945974.51162,0
1729823400000,2515.35,2522.64,2514.22,2522.02,16701.049,1729825199999,42072754.40584,35297,9630.695,24260945.83645,0
1729825200000,2522.02,2531.49,2522.02,2529.25,26815.900,1729826999999,67768694.18661,36986,15679.002,39621386.12716,0
1729827000000,2529.26,2529.55,2519.64,2521.11,27298.205,1729828799999,68896269.65316,38250,9804.352,24746896.07905,0
1729828800000,2521.12,2522.13,2491.48,2492.80,94681.997,1729830599999,237149227.10996,95541,33800.121,84680152.81660,0
1729830600000,2492.80,2500.76,2488.00,2491.68,100979.647,1729832399999,251847260.66025,99128,45326.730,113058992.40906,0
1729832400000,2491.68,2495.45,2485.28,2494.92,61452.440,1729834199999,153047447.49027,68659,27693.130,68982880.54684,0
1729834200000,2494.92,2501.60,2491.82,2494.58,31404.801,1729835999999,78413492.41149,42671,17468.386,43617550.17555,0
1729836000000,2494.58,2500.00,2492.16,2495.55,22330.172,1729837799999,55757845.28486,36429,11339.254,28313515.73910,0
1729837800000,2495.55,2498.61,2488.00,2490.40,26332.552,1729839599999,65634346.19898,44584,10989.571,27393618.88842,0
1729839600000,2490.41,2496.60,2460.98,2466.74,137033.138,1729841399999,339364823.49431,127768,53472.627,132469538.82178,0
1729841400000,2466.74,2483.30,2462.54,2483.30,90764.349,1729843199999,224482720.57239,90922,50834.390,125700413.07527,0
1729843200000,2483.29,2497.27,2476.79,2494.31,74825.430,1729844999999,186029275.51786,88818,37440.837,93125151.09668,0
1729845000000,2494.32,2519.00,2494.02,2516.79,141519.703,1729846799999,355340614.72029,132091,78993.894,198325578.75994,0
1729846800000,2516.78,2534.92,2514.19,2528.01,102432.019,1729848599999,258873420.17265,121022,54048.923,136604356.01764,0
1729848600000,2528.01,2543.20,2522.84,2539.12,71140.398,1729850399999,180223687.99487,98167,38546.445,97681329.67787,0
1729850400000,2539.12,2544.62,2530.80,2544.15,56682.697,1729852199999,143773436.53899,68824,30105.237,76373194.93302,0
1729852200000,2544.14,2544.99,2536.44,2541.79,27173.928,1729853999999,69068310.93658,52706,12947.501,32909034.36511,0
1729854000000,2541.79,2546.33,2536.56,2541.53,43733.035,1729855799999,111109339.82344,59044,22516.295,57222764.09037,0
1729855800000,2541.53,2546.91,2539.00,2544.71,30648.660,1729857599999,77958832.44078,52706,15755.508,40080299.39810,0
1729857600000,2544.72,2553.20,2539.00,2544.38,78615.185,1729859399999,200191010.79074,91128,39312.857,100113515.44763,0
1729859400000,2544.37,2544.80,2535.88,2538.04,50382.216,1729861199999,127975295.22001,60047,17196.794,43690759.69958,0
1729861200000,2538.04,2544.60,2532.36,2536.98,39238.803,1729862999999,99566745.29821,63313,19006.908,48237119.02901,0
1729863000000,2536.97,2556.42,2524.11,2551.38,113842.731,1729864799999,289096899.79741,139589,60351.818,153340061.54227,0
1729864800000,2551.37,2558.90,2540.80,2554.76,105230.809,1729866599999,268414196.09781,138583,57222.486,145978739.82966,0
1729866600000,2554.76,2565.94,2535.40,2544.12,118001.634,1729868399999,300989282.64642,146852,61168.505,156090935.29924,0
