open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1708905600000,3115.24,3128.00,3105.27,3124.19,61958.767,1708907399999,193191058.96951,86151,32875.755,102535907.11133,0
1708907400000,3124.18,3141.83,3117.60,3117.82,86953.087,1708909199999,271991510.78098,117280,46292.191,144844523.20643,0
1708909200000,3117.82,3125.38,3110.20,3120.17,54113.785,1708910999999,168712041.92437,80070,28506.036,88885936.16013,0
1708911000000,3120.16,3120.92,3105.73,3109.78,39043.309,1708912799999,121414284.29226,61440,15951.063,49604040.86483,0
1708912800000,3109.79,3112.59,3101.19,3102.47,38678.163,1708914599999,120142951.45688,57952,16859.392,52373303.11955,0
1708914600000,3102.47,3108.93,3091.66,3095.80,55006.940,1708916399999,170497471.62963,65597,23490.977,72822372.54668,0
1708916400000,3095.80,3101.00,3087.02,3100.27,66186.765,1708918199999,204838910.73057,69411,32285.153,99926192.44070,0
1708918200000,3100.27,3111.13,3097.73,3109.81,31107.471,1708919999999,96545326.93556,42055,19738.481,61264842.24958,0
1708920000000,3109.80,3111.00,3099.37,3101.89,26583.394,1708921799999,82523842.84163,38380,12604.764,39130552.55481,0
1708921800000,3101.90,3108.60,3098.15,3105.26,23658.095,1708923599999,73439075.91165,34823,14149.587,43923927.71509,0
1708923600000,3105.26,3113.33,3097.52,3100.27,36253.143,1708925399999,112594237.14914,45955,17368.625,53954048.24493,0
1708925400000,3100.27,3113.82,3098.90,3108.70,35674.644,1708927199999,110910036.31466,47312,17511.267,54436038.52534,0
1708927200000,3108.71,3112.00,3100.71,3105.99,32087.140,1708928999999,99678859.65844,43708,14108.631,43836183.88577,0
1708929000000,3105.99,3119.44,3103.50,3115.96,39791.196,1708930799999,123809613.65173,49333,23189.925,72158983.68401,0
1708930800000,3115.95,3116.49,3103.04,3104.24,30438.915,1708932599999,94632196.44489,48675,12518.940,38924089.81656,0
1708932600000,3104.20,3104.20,3087.99,3089.35,84709.945,1708934399999,262040749.04285,99417,33548.519,103773665.13694,0
1708934400000,3089.34,3105.17,3088.60,3104.85,55231.388,1708936199999,171075323.38235,70996,31886.614,98775806.46540,0
1708936200000,3104.84,3105.00,3093.75,3094.85,30135.915,1708937999999,93400123.69697,42546,13809.730,42802489.47630,0
1708938000000,3094.85,3096.98,3051.50,3060.36,191714.867,1708939799999,588718095.14330,178051,85208.585,261611586.64500,0
1708939800000,3060.36,3063.89,3037.25,3043.01,198849.669,1708941599999,606058742.42965,207627,96264.057,293399254.85800,0
1708941600000,3043.01,3069.55,3042.26,3065.89,90055.880,1708943399999,275430911.25630,123356,52992.526,162040520.35352,0
1708943400000,3065.88,3074.88,3055.00,3058.89,63534.631,1708945199999,194700912.74784,89250,28216.685,86486229.62751,0
1708945200000,3058.90,3067.99,3048.06,3065.76,64529.659,1708946999999,197368478.29890,85900,29234.590,89439693.00294,0
1708947000000,3065.75,3065.76,3054.52,3059.43,27036.633,1708948799999,82683131.98485,51094,12193.927,37291959.72042,0
1708948800000,3059.42,3061.75,3039.42,3053.91,75424.610,1708950599999,230000887.30689,107364,34152.033,104161710.19286,0
1708950600000,3053.90,3067.98,3053.32,3065.57,49575.194,1708952399999,151810020.43511,72722,26363.226,80729628.23119,0
1708952400000,3065.58,3081.00,3061.31,3074.95,80634.284,1708954199999,247776198.32307,101094,43149.434,132611845.75684,0
1708954200000,3074.97,3078.28,3059.06,3062.64,55760.285,1708955999999,171101144.44250,78060,22701.798,69675106.77069,0
1708956000000,3062.64,3080.00,3061.27,3075.86,52803.345,1708957799999,162347660.04386,74767,28847.651,88700047.52750,0
1708957800000,3075.86,3110.00,3075.86,3105.93,148432.335,1708959599999,459650397.18535,174008,83183.043,257563226.93012,0
1708959600000,3105.95,3127.46,3100.15,3123.48,174256.726,1708961399999,543422316.15087,210063,90950.040,283654090.90216,0
1708961400000,3123.48,3151.00,3112.01,3149.10,208162.292,1708963199999,651253036.63451,227328,115749.152,362235446.02107,0
1708963200000,3149.10,3169.00,3137.43,3162.55,325952.829,1708964999999,1028824131.59434,338057,159769.284,504337024.18231,0
1708965000000,3162.55,3163.63,3146.16,3156.57,99110.624,1708966799999,312649385.73664,138566,42467.708,133973640.93677,0
1708966800000,3156.57,3165.40,3150.13,3150.50,57603.074,1708968599999,181825788.18469,87863,27637.964,87252619.19780,0
1708968600000,3150.50,3162.60,3142.00,3151.63,75862.631,1708970399999,239380721.19426,82512,34273.606,108161750.91443,0
1708970400000,3151.63,3156.42,3143.00,3145.83,68932.371,1708972199999,217118992.33145,94042,31674.668,99773354.14371,0
1708972200000,3145.84,3147.92,3131.50,3137.60,82008.387,1708973999999,257442761.33133,113552,38464.716,120748107.43203,0
1708974000000,3137.59,3176.96,3129.04,3167.20,197124.388,1708975799999,622168936.31755,190379,111216.499,351053833.62593,0
1708975800000,3167.20,3188.00,3166.13,3181.20,144567.679,1708977599999,459339518.69357,165429,77563.407,246472245.97742,0
1708977600000,3181.20,3200.00,3168.43,3180.69,166550.399,1708979399999,530578260.81416,180656,81247.369,258872481.35657,0
1708979400000,3180.69,3197.96,3174.28,3184.41,74610.477,1708981199999,237732422.80611,104614,38769.940,123538213.37493,0
1708981200000,3184.41,3188.61,3176.96,3184.67,41535.234,1708982999999,132190295.80567,63202,19943.717,63480309.52877,0
1708983000000,3184.68,3193.49,3184.34,3187.48,33642.994,1708984799999,107267633.50555,53620,18260.254,58225671.23961,0
1708984800000,3187.48,3193.00,3167.50,3177.73,50220.916,1708986599999,159753601.98917,70375,22480.354,71530831.66610,0
