open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1716681600000,3751.16,3752.50,3743.41,3749.00,8267.997,1716683399999,30994589.17470,24013,2999.800,11246217.82884,0
1716683400000,3748.99,3751.96,3746.60,3746.60,5908.138,1716685199999,22152239.23460,19286,2872.236,10769303.21296,0
1716685200000,3746.60,3761.74,3746.38,3760.54,14021.305,1716686999999,52666850.95682,33800,7732.588,29045023.62587,0
1716687000000,3760.53,3762.80,3753.86,3760.35,19304.000,1716688799999,72568931.90646,36240,9426.832,35438613.46204,0
1716688800000,3760.26,3762.43,3736.77,3745.79,31856.647,1716690599999,119403614.66831,51270,13289.180,49804958.18695,0
1716690600000,3745.79,3747.87,3732.06,3738.81,27556.201,1716692399999,103019637.34519,49109,11279.419,42174246.41897,0
1716692400000,3738.81,3743.00,3735.73,3742.99,12913.294,1716694199999,48287116.69205,32236,6575.996,24590451.95508,0
1716694200000,3743.00,3773.96,3741.27,3773.44,58280.569,1716695999999,219329002.03279,89840,31985.088,120353397.84972,0
1716696000000,3773.43,3773.44,3758.48,3759.96,26390.785,1716697799999,99368360.76189,53521,10891.517,41010098.80686,0
1716697800000,3759.97,3761.16,3746.00,3749.24,26532.165,1716699599999,99546356.99086,48773,11810.011,44314923.86121,0
1716699600000,3749.24,3751.68,3742.24,3747.69,16348.989,1716701399999,61250067.49777,35256,7973.401,29873331.37778,0
1716701400000,3747.70,3764.48,3747.00,3761.83,17538.279,1716703199999,65878869.00372,36256,10497.224,39431388.88209,0
1716703200000,3761.83,3764.20,3756.81,3758.82,17860.607,1716704999999,67177909.50480,32415,8074.914,30374359.79928,0
1716705000000,3758.83,3761.82,3753.81,3761.82,19602.038,1716706799999,73666994.86532,27945,12017.046,45166805.04375,0
1716706800000,3761.81,3777.64,3760.27,3776.95,40160.227,1716708599999,151440789.51725,61642,22962.918,86596743.10231,0
1716708600000,3776.94,3797.94,3776.94,3787.58,78843.563,1716710399999,298821371.94128,115625,44733.515,169535476.73294,0
1716710400000,3787.58,3815.00,3778.63,3803.39,77859.042,1716712199999,295881473.40473,116063,42055.987,159839973.64313,0
1716712200000,3803.40,3810.43,3782.42,3795.50,52729.740,1716713999999,199991344.27546,83495,25365.376,96203087.64206,0
1716714000000,3795.50,3818.97,3795.49,3806.57,60208.884,1716715799999,229229242.23712,99020,31264.281,119043854.45175,0
1716715800000,3806.57,3806.57,3790.00,3801.46,35347.411,1716717599999,134228959.61824,63386,16775.369,63704218.30426,0
1716717600000,3801.47,3812.55,3793.81,3798.36,33620.180,1716719399999,127884453.29567,61723,15719.937,59803320.91556,0
1716719400000,3798.36,3812.82,3791.49,3806.79,24314.208,1716721199999,92490779.84031,50418,13467.652,51230134.00170,0
1716721200000,3806.79,3824.84,3804.36,3810.99,63078.378,1716722999999,240710645.68281,95031,33827.120,129098970.11756,0
1716723000000,3810.98,3817.39,3805.82,3815.36,35310.625,1716724799999,134573933.94898,51181,18167.066,69249555.08269,0
