open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1724630400000,2744.48,2756.32,2742.74,2755.44,44231.652,1724632199999,121682115.99938,60953,22092.271,60779318.62027,0
1724632200000,2755.44,2760.97,2740.66,2752.15,36227.647,1724633999999,99676131.74320,51672,16432.723,45237633.13848,0
1724634000000,2752.15,2756.01,2745.17,2754.63,24914.286,1724635799999,68551080.49930,40921,13348.047,36733262.32352,0
1724635800000,2754.62,2755.00,2737.58,2744.52,37122.717,1724637599999,101880212.08899,48872,15274.700,41925746.63848,0
1724637600000,2744.52,2747.23,2715.07,2736.75,92937.426,1724639399999,253957352.64834,103460,41860.773,114460627.64473,0
1724639400000,2736.75,2741.72,2730.81,2740.20,32472.623,1724641199999,88848284.99850,48768,18031.025,49338839.89916,0
1724641200000,2740.21,2744.56,2737.53,2742.93,20808.829,1724642999999,57043313.94158,32130,12338.988,33827323.08192,0
1724643000000,2742.92,2743.78,2737.66,2743.01,17705.317,1724644799999,48535782.72771,27161,9706.432,26607795.58469,0
1724644800000,2743.00,2751.00,2741.10,2748.11,26535.335,1724646599999,72881705.64557,37063,15893.887,43655934.31794,0
1724646600000,2748.10,2750.42,2743.86,2750.15,14847.943,1724648399999,40789888.27711,26166,7098.895,19502681.76973,0
1724648400000,2750.15,2750.15,2739.13,2739.59,15598.407,1724650199999,42834403.16935,24887,5429.036,14911067.88286,0
1724650200000,2739.60,2745.84,2739.60,2742.59,14942.146,1724651999999,40994073.55297,35383,7537.927,20681477.86234,0
1724652000000,2742.43,2744.63,2732.00,2736.57,29201.740,1724653799999,79917379.19990,40385,13134.990,35945474.12249,0
1724653800000,2736.59,2746.28,2732.34,2736.87,30897.435,1724655599999,84647644.75704,50209,14606.467,40023537.13845,0
1724655600000,2736.86,2741.30,2727.08,2738.43,37412.703,1724657399999,102303979.18870,51194,17346.287,47434280.84523,0
1724657400000,2738.43,2741.33,2731.50,2731.92,17213.691,1724659199999,47083502.65111,31017,8700.545,23797475.70785,0
1724659200000,2731.92,2742.00,2730.46,2736.62,26714.054,1724660999999,73128840.65105,39226,12074.331,33054731.97066,0
1724661000000,2736.63,2740.08,2732.01,2735.49,15180.696,1724662799999,41523978.27476,29897,8565.791,23431125.98114,0
1724662800000,2735.49,2735.91,2720.00,2727.11,41230.146,1724664599999,112479220.03342,52539,17149.612,46799401.32382,0
1724664600000,2727.10,2739.74,2705.37,2738.84,83804.810,1724666399999,228344183.85221,101177,41788.127,113939232.13307,0
1724666400000,2738.84,2747.96,2736.15,2743.85,41538.361,1724668199999,113934139.52571,49832,20634.322,56603124.14178,0
1724668200000,2743.85,2747.85,2735.24,2735.55,28732.607,1724669999999,78745832.18843,42398,13703.164,37557430.42135,0
1724670000000,2735.52,2744.99,2733.51,2743.60,25364.054,1724671799999,69471978.41658,40954,12455.619,34120371.00756,0
1724671800000,2743.60,2745.23,2735.35,2735.81,13899.308,1724673599999,38082448.29689,26741,6429.055,17615379.74699,0
1724673600000,2735.81,2741.18,2733.19,2733.62,19718.946,1724675399999,53968631.61360,31675,10101.823,27651875.14542,0
1724675400000,2733.62,2735.23,2716.85,2724.57,68635.981,1724677199999,187005982.05282,80088,30440.366,82957931.90238,0
1724677200000,2724.57,2736.27,2718.60,2733.77,41004.763,1724678999999,111933807.73002,56659,23118.852,63111615.35839,0
1724679000000,2733.84,2735.98,2713.31,2726.61,70386.066,1724680799999,191584771.92159,97125,38181.651,103935879.72008,0
1724680800000,2726.61,2730.24,2701.00,2717.22,108842.087,1724682599999,295345683.71748,128289,49458.220,134239291.94281,0
1724682600000,2717.21,2725.30,2707.07,2724.16,55186.595,1724684399999,149857197.38479,83420,26617.503,72293907.97065,0
1724684400000,2724.16,2724.49,2700.62,2719.29,58882.615,1724686199999,159741937.18930,73273,26824.994,72780937.04443,0
1724686200000,2719.29,2729.22,2714.60,2720.53,38204.425,1724687999999,104029379.97293,57956,19848.346,54047206.22832,0
1724688000000,2720.52,2724.97,2714.65,2717.80,26369.400,1724689799999,71711161.87484,48865,13888.873,37775380.86654,0
1724689800000,2717.80,2731.35,2715.38,2725.26,32725.180,1724691599999,89184115.29604,49562,18212.737,49630457.54050,0
1724691600000,2725.25,2729.40,2718.85,2722.82,20361.325,1724693399999,55457337.84634,33169,10319.180,28110447.61669,0
1724693400000,2722.82,2726.90,2686.71,2693.46,132038.054,1724695199999,356445828.94028,131563,58505.295,157918305.25528,0
1724695200000,2693.46,2697.16,2673.66,2693.99,111934.047,1724696999999,300550069.14055,123467,51508.754,138339620.00375,0
1724697000000,2694.00,2703.62,2693.26,2696.84,42405.992,1724698799999,114427244.19147,56096,21231.371,57293159.41044,0
1724698800000,2696.83,2699.62,2687.21,2688.59,34796.414,1724700599999,93702139.57992,45842,18032.778,48563753.25473,0
1724700600000,2688.48,2692.18,2676.70,2679.96,38993.592,1724702399999,104663639.50983,51024,17175.413,46099635.53336,0
1724702400000,2679.96,2685.68,2670.00,2685.67,59387.405,1724704199999,158942662.86120,64936,29204.617,78189515.80075,0
1724704200000,2685.67,2692.28,2683.22,2687.24,24972.987,1724705999999,67124799.55328,35666,10985.663,29530540.45486,0
1724706000000,2687.23,2687.90,2665.00,2675.44,56378.277,1724707799999,150776758.06782,65419,25998.747,69548246.98325,0
1724707800000,2675.43,2686.94,2673.46,2684.21,29020.943,1724709599999,77795211.65961,35832,13599.119,36447877.00983,0
