open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1714089600000,3154.44,3158.38,3141.05,3151.00,32358.530,1714091399999,101921084.28186,56857,15123.811,47642282.94363,0
1714091400000,3150.99,3151.73,3133.00,3145.13,46038.501,1714093199999,144634088.53330,73680,23478.702,73771644.63086,0
1714093200000,3145.13,3147.16,3122.68,3134.05,54594.108,1714094999999,170923891.50150,88216,26015.583,81451300.28852,0
1714095000000,3134.04,3160.00,3128.99,3146.30,43014.067,1714096799999,135376345.05452,84257,23622.530,74346586.70740,0
1714096800000,3146.29,3163.30,3144.19,3151.75,30639.271,1714098599999,96652665.52226,55614,16641.410,52501238.81497,0
1714098600000,3151.75,3154.98,3146.00,3152.99,18940.121,1714100399999,59678808.56451,38393,9785.782,30835681.18466,0
1714100400000,3153.00,3154.05,3141.99,3143.00,21077.630,1714102199999,66339884.01361,40844,9996.426,31466208.90221,0
1714102200000,3143.01,3148.57,3138.03,3140.41,18556.903,1714103999999,58325425.20905,35320,8590.046,27003183.57994,0
1714104000000,3140.42,3140.92,3127.04,3139.94,37074.679,1714105799999,116168045.92042,59959,18187.082,57000758.96098,0
1714105800000,3139.94,3141.60,3130.85,3132.21,22107.830,1714107599999,69339375.27603,41767,10117.776,31734004.47590,0
1714107600000,3132.21,3142.18,3127.47,3136.70,20467.812,1714109399999,64173158.01686,39572,10650.815,33393839.76883,0
1714109400000,3136.70,3151.72,3135.45,3151.21,31487.080,1714111199999,99010990.44576,41190,19043.939,59882819.69883,0
1714111200000,3151.22,3152.62,3144.60,3148.93,18925.200,1714112999999,59598433.80069,33587,8173.612,25740699.02853,0
1714113000000,3148.94,3150.45,3134.00,3138.66,28257.477,1714114799999,88778165.46265,47638,13137.295,41272953.47897,0
1714114800000,3138.66,3145.29,3128.64,3141.98,32368.509,1714116599999,101489563.55334,54125,16995.495,53295491.29622,0
1714116600000,3141.98,3145.52,3130.38,3133.48,34123.944,1714118399999,107003253.03326,56604,16593.161,52027197.72283,0
1714118400000,3133.48,3144.84,3131.40,3139.13,23254.745,1714120199999,72999198.15164,45420,11379.207,35718804.10859,0
1714120200000,3139.13,3144.90,3134.11,3141.21,18586.761,1714121999999,58342816.55882,40364,9612.069,30173459.16007,0
1714122000000,3141.21,3151.92,3137.20,3150.37,27298.090,1714123799999,85860559.94688,49749,14501.082,45611840.75272,0
1714123800000,3150.40,3156.68,3143.21,3148.91,28526.824,1714125599999,89871125.79673,46921,16332.415,51467003.99577,0
1714125600000,3148.92,3154.80,3136.68,3137.25,21537.878,1714127399999,67752811.17028,42086,10125.666,31859435.67244,0
1714127400000,3137.25,3142.95,3120.01,3121.52,79338.660,1714129199999,248302081.87762,86631,40236.713,125953375.05020,0
1714129200000,3121.52,3131.77,3120.69,3125.41,31698.583,1714130999999,99100308.55491,47552,17860.020,55832655.28086,0
1714131000000,3125.41,3131.80,3121.89,3127.57,18949.259,1714132799999,59270983.30052,37481,10118.443,31650865.43353,0
1714132800000,3127.54,3141.32,3122.05,3135.60,38501.264,1714134599999,120687843.93933,64265,20086.328,62963139.93749,0
1714134600000,3135.60,3149.84,3116.64,3128.60,80339.828,1714136399999,251692680.81514,115700,33529.496,105062593.90836,0
1714136400000,3128.60,3133.33,3108.00,3114.69,69803.886,1714138199999,217680791.98933,107315,31947.740,99640393.60811,0
1714138200000,3114.70,3149.99,3110.50,3145.15,94653.950,1714139999999,296692880.68867,135083,49935.189,156505791.19123,0
1714140000000,3145.15,3167.20,3133.73,3151.20,101262.996,1714141799999,319399807.78844,142563,53222.061,167925030.63794,0
1714141800000,3151.20,3155.89,3119.80,3124.45,104732.220,1714143599999,328160168.20225,142402,47930.145,150178737.88003,0
1714143600000,3124.46,3133.42,3103.00,3104.79,91347.162,1714145399999,284572673.02067,141220,43769.256,136376615.26122,0
1714145400000,3104.79,3123.00,3100.38,3116.44,53503.768,1714147199999,166510296.98689,89519,29021.973,90331369.36513,0
1714147200000,3116.45,3123.78,3103.52,3119.11,45216.734,1714148999999,140846414.45799,77424,21352.818,66527481.54781,0
1714149000000,3119.12,3128.28,3113.34,3120.62,29176.762,1714150799999,91033500.83523,51138,14305.209,44640584.53408,0
1714150800000,3120.62,3134.76,3117.14,3132.00,30791.316,1714152599999,96276487.26780,51085,17891.732,55953134.69364,0
