open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1711411200000,3592.94,3607.99,3584.00,3604.57,50337.859,1711412999999,180968467.65773,80650,25492.246,91652125.04408,0
1711413000000,3604.56,3621.90,3598.08,3601.59,50150.958,1711414799999,181152370.37992,71261,25103.603,90696836.12433,0
1711414800000,3601.60,3626.85,3596.00,3617.24,44517.669,1711416599999,160830051.97908,78541,23469.542,84784973.96758,0
1711416600000,3617.23,3619.77,3605.04,3618.51,25849.917,1711418399999,93404098.21055,51177,11623.584,41999783.44626,0
1711418400000,3618.50,3618.51,3601.51,3614.68,29060.656,1711420199999,104919353.82323,57500,13544.610,48899736.41154,0
1711420200000,3614.67,3625.72,3608.60,3625.71,23749.417,1711421999999,85900706.66832,44680,12506.984,45250046.71979,0
1711422000000,3625.72,3637.00,3613.74,3629.09,31268.037,1711423799999,113321950.33761,64812,16567.341,60056612.33658,0
1711423800000,3629.08,3645.13,3618.07,3626.56,70530.269,1711425599999,256379780.20318,104407,36109.112,131280699.32442,0
1711425600000,3626.55,3638.83,3622.08,3631.25,40046.018,1711427399999,145393185.00729,63217,19583.370,71106681.25483,0
1711427400000,3631.24,3642.84,3629.28,3641.88,28664.162,1711429199999,104243735.83652,44252,16088.947,58515645.37466,0
1711429200000,3641.89,3641.89,3624.48,3632.22,28543.073,1711430999999,103689157.87230,52099,11603.693,42156290.07081,0
1711431000000,3632.23,3640.11,3629.26,3632.78,19688.214,1711432799999,71553879.37971,42395,9412.575,34212433.01329,0
1711432800000,3632.78,3637.04,3628.53,3628.76,14529.044,1711434599999,52775820.08770,33534,6063.946,22028239.88400,0
1711434600000,3628.75,3653.40,3628.62,3652.38,36904.149,1711436399999,134448436.22126,63845,22313.452,81286994.17130,0
1711436400000,3652.38,3684.45,3651.39,3676.79,93632.438,1711438199999,343217925.51623,134488,55962.937,205161737.12527,0
1711438200000,3676.79,3679.10,3632.21,3637.91,86751.968,1711439999999,317113697.53300,133914,39375.196,143917483.88890,0
1711440000000,3637.91,3664.36,3630.44,3645.33,75115.472,1711441799999,274133825.66644,119322,40072.192,146247339.75971,0
1711441800000,3645.33,3657.90,3641.60,3656.55,34445.870,1711443599999,125756203.95521,68602,19623.263,71642729.15522,0
1711443600000,3656.56,3669.28,3646.29,3663.00,46926.659,1711445399999,171697123.92922,82458,23711.196,86756396.97232,0
1711445400000,3663.00,3674.00,3657.29,3667.61,40749.373,1711447199999,149403114.84750,82076,21306.987,78118341.58890,0
1711447200000,3667.62,3670.74,3648.70,3650.82,36497.719,1711448999999,133595512.68330,79963,15618.298,57176223.19111,0
1711449000000,3650.82,3653.85,3645.29,3651.49,31156.877,1711450799999,113731599.72529,53678,15176.397,55401096.87917,0
1711450800000,3651.49,3652.22,3634.80,3639.99,33406.138,1711452599999,121683861.20540,62022,14985.429,54582493.13377,0
1711452600000,3640.00,3642.14,3632.20,3634.47,32274.910,1711454399999,117363514.37158,55784,15370.975,55898655.67285,0
1711454400000,3634.44,3657.08,3628.59,3644.74,55175.964,1711456199999,201001872.64946,88179,31240.414,113818042.00991,0
1711456200000,3644.74,3652.41,3630.00,3647.01,41403.646,1711457999999,150856478.51474,69263,20919.716,76242322.84583,0
1711458000000,3647.00,3651.34,3630.17,3633.99,40424.320,1711459799999,147102896.09723,73509,23158.558,84284605.24855,0
1711459800000,3634.00,3637.93,3597.00,3611.49,174364.056,1711461599999,630653257.46550,226928,83110.386,300665493.70318,0
1711461600000,3611.50,3624.02,3564.13,3567.52,152329.738,1711463399999,547503750.11818,230033,67020.009,241032866.37226,0
1711463400000,3567.58,3604.12,3545.63,3596.47,194014.416,1711465199999,692778568.62564,274107,99487.678,355400043.79632,0
1711465200000,3596.47,3598.95,3563.65,3589.30,92321.640,1711466999999,330417186.94837,167537,48983.793,175359451.36301,0
1711467000000,3589.28,3600.99,3578.51,3596.00,51570.766,1711468799999,185317023.01256,108578,26434.019,95008166.27999,0
1711468800000,3595.99,3607.64,3554.98,3565.99,87377.095,1711470599999,312581129.04270,167184,40149.434,143630726.03625,0
1711470600000,3565.96,3571.77,3545.80,3564.54,66260.020,1711472399999,235825777.74042,136156,34798.626,123871683.26855,0
1711472400000,3564.43,3584.72,3556.24,3584.04,59983.865,1711474199999,214144089.54075,117078,32510.467,116061762.64186,0
1711474200000,3584.05,3592.72,3579.87,3587.27,43464.789,1711475999999,155887178.89739,87365,21423.254,76843891.33249,0
1711476000000,3587.27,3597.88,3584.13,3585.42,26858.711,1711477799999,96478418.28494,62676,13389.956,48103285.00008,0
1711477800000,3585.42,3595.96,3573.83,3576.40,26597.476,1711479599999,95438993.33275,64626,11265.738,40435319.27807,0
1711479600000,3576.41,3583.34,3559.00,3570.95,57265.799,1711481399999,204404841.10826,111477,29758.382,106211516.18746,0
1711481400000,3570.94,3579.84,3561.60,3563.68,47878.795,1711483199999,170905172.35443,83559,25051.441,89415052.70145,0
1711483200000,3563.67,3578.61,3561.21,3575.98,32690.042,1711484999999,116774309.37238,63665,16500.754,58939727.38996,0
1711485000000,3575.98,3586.04,3567.87,3578.97,27610.869,1711486799999,98792250.64637,50397,14351.985,51345435.33194,0
1711486800000,3578.97,3591.20,3574.67,3590.42,23182.920,1711488599999,83048853.95394,48036,12933.698,46339448.06500,0
1711488600000,3590.42,3600.00,3587.95,3589.37,21844.799,1711490399999,78512557.72442,45317,9774.097,35132399.31310,0
1711490400000,3589.37,3592.75,3572.48,3585.53,23254.229,1711492199999,83308775.46890,50252,9906.950,35490729.65551,0
