open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1706227200000,2218.01,2218.44,2210.25,2212.52,22197.595,1706228999999,49160618.64323,36118,8957.200,19837074.62399,0
1706229000000,2212.51,2217.44,2212.14,2215.83,13184.145,1706230799999,29201814.92007,25518,7460.574,16525755.54661,0
1706230800000,2215.84,2217.40,2210.30,2216.22,23179.526,1706232599999,51314588.17997,31876,11950.607,26457253.87617,0
1706232600000,2216.21,2226.30,2215.23,2223.29,27978.436,1706234399999,62156443.46989,43621,15332.925,34063654.01698,0
1706234400000,2223.29,2237.98,2223.01,2236.84,61390.208,1706236199999,137016414.07064,75932,35867.729,80055435.64348,0
1706236200000,2236.84,2236.92,2223.98,2227.53,30172.255,1706237999999,67256572.78953,46023,13104.156,29212175.63788,0
1706238000000,2227.53,2230.39,2221.11,2221.71,20839.955,1706239799999,46386687.83126,33318,7950.894,17699821.19061,0
1706239800000,2221.72,2224.39,2220.90,2222.95,16044.418,1706241599999,35659747.47263,25418,8852.394,19675542.27947,0
1706241600000,2222.95,2225.79,2221.89,2224.16,14628.178,1706243399999,32536768.21978,26398,8227.883,18300776.94039,0
1706243400000,2224.16,2228.88,2222.64,2223.70,16937.302,1706245199999,37702740.41415,28118,8688.272,19342202.36435,0
1706245200000,2223.70,2224.99,2217.63,2220.67,21226.472,1706246999999,47139764.95019,34660,8005.957,17780554.53234,0
1706247000000,2220.68,2223.80,2220.13,2220.58,16575.294,1706248799999,36830990.87616,22891,8100.380,18001065.33083,0
1706248800000,2220.57,2223.50,2219.74,2222.25,11883.970,1706250599999,26400548.62096,22437,6515.823,14475734.93334,0
1706250600000,2222.25,2223.30,2209.90,2212.46,61666.663,1706252399999,136603677.22551,59349,22990.336,50933786.76316,0
1706252400000,2212.46,2214.18,2201.00,2201.98,57692.623,1706254199999,127314673.35893,63431,20473.981,45190577.05909,0
1706254200000,2201.97,2205.01,2195.15,2196.99,60966.358,1706255999999,134183421.88913,69620,30383.058,66874388.81851,0
1706256000000,2196.98,2215.64,2195.29,2212.98,71608.917,1706257799999,157997499.93979,81090,44272.137,97681885.38631,0
1706257800000,2212.98,2214.00,2206.39,2208.75,24211.846,1706259599999,53512844.98118,33969,11049.930,24422605.16497,0
1706259600000,2208.75,2214.30,2207.80,2212.54,18474.679,1706261399999,40872237.62448,33046,10530.663,23296694.78288,0
1706261400000,2212.55,2224.12,2203.47,2205.41,76780.910,1706263199999,170168451.62687,98479,37626.786,83422706.55754,0
1706263200000,2205.41,2219.45,2204.87,2218.70,47451.004,1706264999999,104932854.37187,72004,27451.753,60716410.52150,0
1706265000000,2218.70,2239.80,2218.11,2237.05,128242.639,1706266799999,286080107.74107,149291,65063.591,145137182.54447,0
1706266800000,2237.04,2250.99,2236.74,2249.55,112446.032,1706268599999,252213880.95950,137852,60064.354,134725781.18694,0
1706268600000,2249.56,2260.36,2248.98,2253.11,133496.840,1706270399999,301096077.28203,139078,70339.264,158659714.91870,0
1706270400000,2253.11,2264.92,2245.26,2260.66,107913.435,1706272199999,243238039.04233,121963,56290.998,126910421.66031,0
1706272200000,2260.66,2262.72,2243.18,2246.62,82582.948,1706273999999,185843165.68338,99440,37329.794,83998007.08888,0
1706274000000,2246.62,2251.01,2243.91,2248.30,35923.421,1706275799999,80748746.87071,49279,17265.553,38813342.44741,0
1706275800000,2248.31,2248.96,2232.72,2239.92,61447.867,1706277599999,137677585.16275,72393,27697.567,62059464.22917,0
1706277600000,2239.93,2250.81,2239.04,2247.30,42142.728,1706279399999,94645308.52637,56125,22851.055,51312595.11300,0
1706279400000,2247.30,2257.72,2243.34,2257.38,47013.754,1706281199999,105815778.25760,61376,27212.930,61251356.31951,0
1706281200000,2257.39,2258.99,2249.11,2253.76,58933.892,1706282999999,132862049.39263,83050,26874.880,60589925.06438,0
1706283000000,2253.75,2258.41,2250.01,2256.62,39315.878,1706284799999,88638126.87313,56353,20356.431,45895398.86832,0
1706284800000,2256.62,2276.13,2255.99,2272.90,131625.568,1706286599999,298393411.63670,143039,74198.537,168225723.33300,0
1706286600000,2272.89,2281.96,2265.71,2278.52,98482.138,1706288399999,223966575.58864,116744,49268.136,112061888.30198,0
1706288400000,2278.52,2281.49,2265.61,2267.98,65365.170,1706290199999,148572720.60763,84391,28739.270,65333223.61960,0
1706290200000,2267.98,2272.41,2266.20,2267.78,34923.600,1706291999999,79239965.85385,50828,16930.905,38417772.40567,0
1706292000000,2267.78,2275.91,2262.51,2270.46,49102.693,1706293799999,111389854.28720,68803,24984.605,56685276.44192,0
1706293800000,2270.46,2271.43,2263.00,2265.89,39936.447,1706295599999,90492632.72235,54829,17792.014,40318894.92189,0
1706295600000,2265.88,2266.39,2259.68,2262.59,35544.231,1706297399999,80398812.97300,46112,16333.480,36942974.72834,0
1706297400000,2262.58,2262.59,2249.58,2257.29,47424.174,1706299199999,106965415.59780,58632,21521.349,48545082.82307,0
1706299200000,2257.28,2261.57,2253.00,2256.72,37082.056,1706300999999,83722305.49792,55508,19686.727,44450265.96944,0
1706301000000,2256.72,2258.50,2251.34,2257.51,28616.205,1706302799999,64520600.94234,42733,16471.675,37141807.10304,0
1706302800000,2257.51,2258.45,2252.00,2253.56,19441.226,1706304599999,43824804.85248,28621,9370.693,21122434.67126,0
1706304600000,2253.56,2259.87,2252.69,2258.84,17923.330,1706306399999,40447849.09438,25711,10418.586,23509779.22549,0
1706306400000,2258.82,2268.84,2257.00,2264.43,34728.612,1706308199999,78580997.13102,47087,19703.237,44577528.14684,0
