open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1703635200000,2232.45,2233.96,2229.69,2231.54,22721.964,1703636999999,50706812.33554,30326,10439.619,23297243.02915,0
1703637000000,2231.54,2231.54,2226.76,2227.71,25955.497,1703638799999,57852768.34968,29242,12572.186,28021046.83803,0
1703638800000,2227.71,2232.36,2223.36,2225.34,23213.951,1703640599999,51720828.97607,28863,10732.545,23913528.59427,0
1703640600000,2225.34,2236.43,2224.36,2232.90,27855.973,1703642399999,62161239.43130,30920,15491.317,34567153.78602,0
1703642400000,2232.90,2233.31,2220.36,2222.02,32868.881,1703644199999,73177410.24561,34805,13135.239,29239834.76037,0
1703644200000,2222.03,2228.41,2218.00,2222.98,39240.506,1703645999999,87204024.03295,48441,19601.851,43564213.99376,0
1703646000000,2222.99,2228.57,2217.39,2219.44,21094.686,1703647799999,46904403.98879,29178,10376.938,23076616.84266,0
1703647800000,2219.52,2224.02,2213.68,2219.68,33849.811,1703649599999,75125925.91356,40030,16756.906,37197816.55694,0
1703649600000,2219.68,2227.20,2218.92,2225.66,19137.447,1703651399999,42550829.46763,25435,10057.119,22362460.40704,0
1703651400000,2225.66,2226.12,2220.94,2223.84,18299.913,1703653199999,40698680.75553,23520,9780.853,21753176.18082,0
1703653200000,2223.84,2229.12,2220.42,2222.72,26278.513,1703654999999,58462825.98820,30128,14895.587,33137850.42377,0
1703655000000,2222.72,2231.16,2219.11,2228.52,30246.397,1703656799999,67303308.55801,34261,17559.738,39078980.00053,0
1703656800000,2228.52,2230.40,2223.23,2228.12,25886.038,1703658599999,57643653.40472,26920,12096.365,26938356.86019,0
1703658600000,2228.11,2233.47,2227.33,2228.18,21284.538,1703660399999,47467377.72798,29558,11385.294,25392257.43506,0
1703660400000,2228.18,2229.23,2225.20,2227.36,17032.122,1703662199999,37928381.86018,24809,7979.481,17769606.92472,0
1703662200000,2227.35,2232.67,2226.80,2230.45,14510.505,1703663999999,32360654.33176,19395,8480.053,18911910.78999,0
1703664000000,2230.45,2245.79,2228.72,2242.09,54816.740,1703665799999,122639105.89580,55257,32582.598,72906522.02765,0
1703665800000,2242.09,2256.31,2242.01,2250.39,108581.897,1703667599999,244283830.68786,96182,61811.039,139063001.98123,0
1703667600000,2250.38,2251.72,2244.06,2251.54,39039.856,1703669399999,87753011.76584,42278,18120.942,40736572.42648,0
1703669400000,2251.54,2254.97,2247.50,2252.96,29266.947,1703671199999,65906376.46642,32479,14660.406,33016421.30381,0
1703671200000,2252.97,2274.30,2250.33,2272.26,102885.607,1703672999999,232807745.88507,89717,61901.767,140103302.64613,0
1703673000000,2272.25,2282.60,2269.32,2280.51,132971.451,1703674799999,302768997.86310,114938,66826.933,152174488.29969,0
1703674800000,2280.52,2287.39,2276.24,2284.51,94285.971,1703676599999,215057532.75661,84834,45937.470,104796639.41364,0
1703676600000,2284.55,2294.00,2278.72,2287.72,119234.665,1703678399999,272726396.60168,99684,57879.654,132411195.90827,0
1703678400000,2287.72,2293.07,2281.71,2290.20,77773.624,1703680199999,177980766.74823,64589,40861.218,93525047.48669,0
1703680200000,2290.20,2291.23,2277.44,2285.65,82295.462,1703681999999,187908816.74107,65155,36111.397,82462411.27810,0
1703682000000,2285.66,2299.44,2278.17,2297.65,111288.273,1703683799999,254909012.64083,83013,64454.271,147652156.08987,0
1703683800000,2297.64,2303.00,2288.91,2295.21,96914.507,1703685599999,222449684.55212,94398,47995.895,110180703.64795,0
1703685600000,2295.21,2321.00,2292.10,2304.52,210657.146,1703687399999,486187980.35899,176889,116256.193,268308858.35141,0
1703687400000,2304.53,2345.35,2304.19,2329.36,264165.541,1703689199999,615170945.24924,215566,141426.430,329366006.98941,0
1703689200000,2329.22,2352.20,2328.42,2339.40,219607.075,1703690999999,513754186.68278,196676,115761.792,270839932.73579,0
1703691000000,2339.40,2358.80,2338.00,2345.01,159047.056,1703692799999,373780182.05633,150950,79320.116,186422998.69471,0
1703692800000,2345.01,2378.00,2342.01,2375.83,212367.074,1703694599999,501240443.42328,177470,111287.950,262748447.47968,0
1703694600000,2375.83,2379.00,2363.51,2368.87,118479.706,1703696399999,281050641.69903,121198,54325.841,128870553.47170,0
1703696400000,2368.88,2372.42,2353.00,2355.86,99706.924,1703698199999,235345256.60634,106344,43608.146,102941011.86423,0
1703698200000,2355.87,2363.08,2344.02,2348.72,109048.900,1703699999999,256503606.52929,95864,45495.904,107043690.85670,0
1703700000000,2348.71,2356.29,2335.64,2343.87,115817.677,1703701799999,271788864.82886,95039,52991.759,124380425.54883,0
1703701800000,2343.86,2355.16,2343.00,2352.04,50534.519,1703703599999,118751158.40750,50493,27619.524,64909320.67546,0
1703703600000,2352.04,2354.83,2339.89,2351.60,50853.265,1703705399999,119406919.29874,55340,24479.435,57484196.92953,0
1703705400000,2351.60,2352.33,2345.31,2348.61,21330.851,1703707199999,50093042.54363,30077,9855.781,23144679.04997,0
1703707200000,2348.61,2357.76,2347.33,2348.77,47893.422,1703708999999,112672754.79736,49486,24387.330,57374443.57394,0
1703709000000,2348.77,2357.76,2346.21,2353.18,49529.844,1703710799999,116523474.40724,50999,25401.261,59767081.29110,0
1703710800000,2353.19,2357.50,2348.83,2357.08,34406.976,1703712599999,80978684.60971,39477,16647.894,39183762.23860,0
1703712600000,2357.08,2362.24,2353.47,2361.29,34404.366,1703714399999,81139233.97017,41253,17389.220,41013457.14047,0
1703714400000,2361.30,2375.00,2360.18,2362.67,75482.957,1703716199999,178648290.64568,75446,37611.733,89028919.44535,0
1703716200000,2362.68,2372.38,2360.00,2366.51,35014.430,1703717999999,82819434.62068,40942,15890.005,37588391.80410,0
1703718000000,2366.52,2395.00,2366.52,2376.56,150907.274,1703719799999,359576149.29894,134011,82435.346,196443247.29985,0
1703719800000,2376.56,2385.96,2372.57,2380.31,62636.301,1703721599999,148954311.54411,64542,32074.114,76275305.88789,0
