open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1724716800000,2679.26,2689.66,2678.06,2688.53,24203.024,1724718599999,64971065.41650,38531,14638.116,39292048.01819,0
1724718600000,2688.54,2693.10,2672.37,2676.46,36101.020,1724720399999,96794653.78925,49743,15012.125,40247177.53925,0
1724720400000,2676.47,2691.13,2675.31,2690.43,38503.963,1724722199999,103353974.93803,56313,20847.407,55954568.67936,0
1724722200000,2690.43,2693.00,2678.40,2678.56,24816.257,1724723999999,66646400.11407,36892,10417.501,27985421.17687,0
1724724000000,2678.56,2688.72,2676.06,2683.13,19874.274,1724725799999,53317144.70146,34043,11241.074,30159055.57556,0
1724725800000,2683.13,2685.62,2670.00,2675.88,37373.223,1724727599999,100004223.45262,45215,16053.945,42966391.50662,0
1724727600000,2675.87,2679.79,2665.16,2678.36,42875.110,1724729399999,114563166.30925,52075,20621.380,55115872.16199,0
1724729400000,2678.35,2685.30,2676.43,2684.50,22321.442,1724731199999,59851208.11031,28513,13826.998,37076298.87738,0
1724731200000,2684.49,2688.67,2680.46,2680.52,30174.584,1724732999999,81008456.96158,35857,19068.354,51192810.37365,0
1724733000000,2680.53,2687.98,2679.28,2685.45,18067.619,1724734799999,48519931.47088,30511,10296.057,27650679.33254,0
1724734800000,2685.46,2693.99,2685.46,2691.99,29997.194,1724736599999,80721111.83411,35280,17262.637,46450327.17624,0
1724736600000,2691.99,2699.11,2689.95,2695.20,46714.773,1724738399999,125873014.59250,42986,22576.504,60829147.76131,0
1724738400000,2695.20,2697.39,2686.22,2686.92,31267.839,1724740199999,84188934.01415,37259,13921.984,37483885.27056,0
1724740200000,2686.93,2688.53,2671.70,2677.80,55543.312,1724741999999,148749040.18150,64112,24382.694,65293752.37996,0
1724742000000,2677.81,2689.73,2677.14,2687.12,31258.282,1724743799999,83899619.14413,38674,18990.607,50970805.23365,0
1724743800000,2687.12,2691.97,2682.41,2686.91,22142.311,1724745599999,59497772.65424,30063,12279.679,32997705.70763,0
1724745600000,2686.91,2691.00,2674.26,2675.96,34566.195,1724747399999,92649186.29734,43102,14817.052,39710877.62264,0
1724747400000,2675.96,2684.55,2674.00,2683.74,22101.720,1724749199999,59197130.29934,35205,11595.921,31062153.69792,0
1724749200000,2683.73,2687.62,2681.15,2684.44,23174.608,1724750999999,62227611.20511,32433,9689.884,26020298.50043,0
1724751000000,2684.44,2686.66,2667.36,2672.96,61437.142,1724752799999,164233091.21645,69798,29314.861,78363992.12085,0
1724752800000,2672.95,2672.95,2640.01,2643.97,160465.276,1724754599999,425749192.31581,151980,65247.905,173087381.02856,0
1724754600000,2643.96,2647.77,2633.61,2636.66,76036.587,1724756399999,200682618.57277,96660,35187.970,92892744.21710,0
1724756400000,2636.66,2637.34,2618.00,2634.10,112401.098,1724758199999,295407449.58853,120563,52490.626,137993202.27843,0
1724758200000,2634.10,2635.32,2622.29,2625.59,32555.507,1724759999999,85586288.10941,48413,15499.231,40754829.02652,0
1724760000000,2625.59,2628.13,2609.76,2621.80,77886.010,1724761799999,204074392.44589,93066,37157.207,97388982.97744,0
1724761800000,2621.80,2623.94,2604.65,2620.26,69690.944,1724763599999,182234929.49541,92404,31987.485,83668589.69153,0
1724763600000,2620.26,2623.42,2609.36,2622.90,57085.336,1724765399999,149361074.09987,70165,29928.671,78321801.47567,0
1724765400000,2622.91,2625.25,2602.03,2608.98,85773.192,1724767199999,223996502.58716,112556,40652.371,106185121.01379,0
1724767200000,2608.98,2612.08,2556.00,2600.26,358398.646,1724768999999,927231591.77850,302916,176749.304,457393733.92973,0
1724769000000,2600.26,2603.92,2582.03,2585.30,105966.117,1724770799999,274903486.65335,110926,48298.793,125302203.03509,0
1724770800000,2585.30,2595.00,2572.07,2587.95,96191.675,1724772599999,248748438.70628,102041,49489.557,128044685.49609,0
1724772600000,2587.94,2588.58,2573.36,2577.64,78022.913,1724774399999,201417767.47437,86795,36474.912,94175493.03554,0
1724774400000,2577.63,2586.48,2563.38,2581.51,141760.856,1724776199999,364908609.00445,116916,70616.888,181800276.97662,0
1724776200000,2581.50,2583.47,2563.23,2564.74,60047.526,1724777999999,154320192.94012,71708,31146.373,80042154.36003,0
1724778000000,2564.74,2584.50,2561.90,2581.56,50558.250,1724779799999,130124180.92017,57585,29136.285,75008870.86385,0
1724779800000,2581.55,2585.30,2574.08,2585.03,38454.905,1724781599999,99227708.63430,45595,18865.444,48692249.00319,0
1724781600000,2585.03,2589.56,2575.79,2575.79,41818.682,1724783399999,108029528.85635,46064,21433.034,55367993.18692,0
1724783400000,2575.79,2585.69,2575.33,2584.65,25320.545,1724785199999,65357801.19050,32450,12869.107,33216956.47172,0
1724785200000,2584.65,2590.96,2578.81,2589.07,36514.736,1724786999999,94459789.53132,38678,17269.747,44674080.60186,0
1724787000000,2589.07,2589.37,2577.11,2582.85,24123.884,1724788799999,62329358.61728,32186,8085.802,20888514.13697,0
1724788800000,2582.85,2584.86,2572.00,2584.01,20277.358,1724790599999,52268733.61968,31744,10009.092,25804298.90256,0
