open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1711497600000,3589.65,3598.46,3578.78,3597.31,26086.659,1711499399999,93614320.26134,55489,14558.576,52252977.60653,0
1711499400000,3597.30,3622.00,3592.49,3619.04,39920.096,1711501199999,144143812.45741,74597,22382.333,80824862.40768,0
1711501200000,3619.03,3631.00,3612.36,3616.69,34332.474,1711502999999,124362309.75264,68316,16417.321,59483407.99400,0
1711503000000,3616.69,3624.65,3601.24,3608.61,24243.636,1711504799999,87553906.61578,55331,10010.070,36150816.92529,0
1711504800000,3608.61,3610.50,3598.72,3608.19,22158.631,1711506599999,79865960.26090,46168,10792.337,38899191.83715,0
1711506600000,3608.19,3622.99,3605.61,3621.88,26174.589,1711508399999,94606759.70648,47568,15487.985,55982783.64287,0
1711508400000,3621.87,3625.85,3614.00,3621.51,24345.666,1711510199999,88133514.96545,44707,12595.405,45601510.39481,0
1711510200000,3621.51,3625.64,3605.02,3605.42,27008.264,1711511999999,97557676.04501,50905,11657.091,42114156.36748,0
1711512000000,3605.43,3612.01,3596.85,3601.01,26691.871,1711513799999,96160284.99934,49011,11623.458,41880286.69325,0
1711513800000,3601.01,3608.33,3584.30,3593.94,26863.473,1711515599999,96584829.03138,55994,11674.432,41981337.97048,0
1711515600000,3593.95,3605.99,3591.96,3602.43,19836.091,1711517399999,71410092.49785,41139,11235.172,40447967.28135,0
1711517400000,3602.43,3617.56,3601.44,3615.01,21441.001,1711519199999,77425867.11641,46019,11064.220,39951540.61405,0
1711519200000,3615.00,3619.46,3604.48,3612.16,17791.651,1711520999999,64276567.56524,39585,7927.077,28640660.36811,0
1711521000000,3612.15,3613.47,3603.00,3610.16,15257.897,1711522799999,55041796.42368,36578,6401.523,23094459.37024,0
1711522800000,3610.16,3612.10,3573.08,3578.63,53007.358,1711524599999,190177357.96016,80882,23044.218,82651624.82293,0
1711524600000,3578.63,3586.33,3561.16,3567.55,67401.393,1711526399999,240735500.10561,100209,29611.678,105790248.52069,0
1711526400000,3567.55,3584.00,3566.38,3577.01,35783.119,1711528199999,127941563.76185,64880,20310.268,72622105.55550,0
1711528200000,3577.01,3578.72,3547.26,3553.85,55634.084,1711529999999,198040610.85419,82649,24327.437,86610195.09241,0
1711530000000,3553.84,3563.96,3535.00,3561.61,84356.253,1711531799999,299482591.97717,121927,41185.724,146281177.92667,0
1711531800000,3561.60,3579.97,3555.94,3576.24,36594.708,1711533599999,130640518.72381,72315,20175.226,72027082.25046,0
1711533600000,3576.23,3586.32,3567.76,3584.00,35612.823,1711535399999,127383225.87549,75763,17646.239,63124537.81998,0
1711535400000,3584.00,3588.85,3574.24,3585.39,33912.246,1711537199999,121470326.41289,70514,15329.847,54915592.85414,0
1711537200000,3585.39,3591.73,3575.16,3579.16,29825.555,1711538999999,106846695.79621,59949,13654.556,48924550.19989,0
1711539000000,3579.16,3594.75,3576.44,3588.90,36063.256,1711540799999,129412174.30397,63279,19951.474,71598548.67297,0
1711540800000,3588.89,3599.00,3578.52,3584.51,31973.468,1711542599999,114738392.14201,67749,15726.068,56447579.96080,0
1711542600000,3584.51,3587.83,3570.00,3584.38,28714.870,1711544399999,102741321.05385,58386,13836.287,49510046.92674,0
1711544400000,3584.37,3666.00,3584.26,3664.26,222150.055,1711546199999,808820335.59978,292510,119302.590,434263639.70432,0
1711546200000,3664.25,3671.94,3550.14,3568.28,350560.256,1711547999999,1261430127.33345,417643,150782.588,542494150.36498,0
1711548000000,3568.26,3575.00,3500.45,3537.76,379767.030,1711549799999,1341829564.28131,479865,190626.943,673682602.65416,0
1711549800000,3537.77,3569.22,3530.18,3562.10,166147.813,1711551599999,590206568.43708,236486,89901.168,319464632.94159,0
1711551600000,3562.10,3563.99,3513.07,3532.77,123128.283,1711553399999,434710209.82723,188284,62934.860,222177498.15913,0
1711553400000,3532.78,3546.56,3515.12,3517.30,74248.914,1711555199999,262227578.56590,143927,37590.801,132786424.36297,0
1711555200000,3517.30,3531.50,3486.79,3515.36,142332.664,1711556999999,499067685.18324,205837,67518.415,236758775.49608,0
1711557000000,3515.36,3530.24,3512.75,3527.22,43265.765,1711558799999,152322919.70939,85260,23428.212,82490591.03284,0
