open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1727395200000,2631.16,2637.44,2624.31,2633.41,29845.281,1727396999999,78522876.04053,48111,16201.154,42627613.47753,0
1727397000000,2633.41,2640.80,2629.30,2640.21,30451.951,1727398799999,80259687.79459,53476,17674.412,46585205.32153,0
1727398800000,2640.21,2644.02,2628.27,2633.42,29446.003,1727400599999,77607515.33198,50474,13521.706,35636020.06045,0
1727400600000,2633.40,2637.58,2620.26,2624.67,30464.542,1727402399999,79999637.78384,50855,14895.456,39115751.52178,0
1727402400000,2624.68,2629.27,2616.00,2616.72,24000.724,1727404199999,62929644.54702,40209,10186.288,26717629.61689,0
1727404200000,2616.72,2622.77,2615.99,2618.43,21940.268,1727405999999,57472143.93953,38554,11651.687,30523182.29804,0
1727406000000,2618.43,2624.52,2614.22,2623.69,31626.030,1727407799999,82826627.63217,42133,18091.181,47384051.06700,0
1727407800000,2623.69,2640.95,2623.69,2637.74,50276.900,1727409599999,132383319.64159,60196,26013.088,68488593.30975,0
1727409600000,2637.74,2648.67,2636.31,2644.03,49111.373,1727411399999,129868692.05653,62271,24915.263,65884350.43124,0
1727411400000,2644.03,2648.87,2640.65,2644.56,26078.842,1727413199999,68979284.09106,44312,12266.263,32448122.51663,0
1727413200000,2644.56,2650.71,2641.33,2641.60,23620.821,1727414999999,62484100.52171,39957,10305.419,27264664.04464,0
1727415000000,2641.60,2654.64,2635.30,2652.68,43765.318,1727416799999,115737527.46095,52898,25824.012,68318283.13047,0
1727416800000,2652.68,2667.99,2652.40,2661.69,85429.127,1727418599999,227326773.82477,101907,47886.331,127420096.04796,0
1727418600000,2661.69,2663.31,2651.40,2655.46,41061.585,1727420399999,109071506.32406,59759,19403.893,51541069.97219,0
1727420400000,2655.46,2661.46,2650.98,2659.69,33295.039,1727422199999,88481929.78615,51522,17858.015,47464675.18511,0
1727422200000,2659.65,2661.22,2655.89,2656.06,35020.948,1727423999999,93108133.21825,44345,15752.061,41878889.43321,0
1727424000000,2656.05,2676.83,2655.00,2672.02,65459.767,1727425799999,174631068.62754,77469,36464.043,97277677.09735,0
1727425800000,2672.02,2673.58,2661.27,2665.93,39899.970,1727427599999,106385671.02032,58801,18050.459,48127918.32545,0
1727427600000,2665.94,2672.80,2653.68,2656.82,54815.316,1727429399999,145982256.41165,72488,23165.430,61711579.67960,0
1727429400000,2656.82,2668.83,2654.10,2661.34,42616.587,1727431199999,113396441.85889,61195,22600.162,60131963.44407,0
1727431200000,2661.34,2662.66,2639.63,2645.16,109813.521,1727432999999,290695206.86325,106694,49271.525,130428303.58655,0
1727433000000,2645.15,2647.32,2640.19,2640.19,33985.783,1727434799999,89831559.70993,49432,16345.147,43205871.95733,0
1727434800000,2640.19,2651.09,2640.00,2644.10,35638.476,1727436599999,94315840.96244,49271,19000.803,50288712.91770,0
1727436600000,2644.10,2653.21,2644.10,2650.28,29548.650,1727438399999,78282799.40454,43067,14090.074,37328340.28017,0
1727438400000,2650.29,2654.20,2643.87,2652.49,28916.336,1727440199999,76624596.82988,45186,14329.093,37974742.76805,0
1727440200000,2652.49,2664.16,2651.06,2657.67,61864.474,1727441999999,164468877.61981,87857,31495.222,83733220.89611,0
1727442000000,2657.68,2659.99,2651.13,2653.00,26571.001,1727443799999,70539366.90454,49891,11689.897,31036744.18748,0
1727443800000,2653.00,2663.00,2640.76,2661.76,60734.991,1727445599999,160926958.41576,98599,30335.050,80402220.95146,0
1727445600000,2661.76,2696.00,2656.40,2690.00,194401.399,1727447399999,520291290.30273,214445,104449.449,279590418.93302,0
1727447400000,2690.00,2694.86,2678.26,2680.67,99344.625,1727449199999,266726929.91116,136639,43585.885,117037471.53250,0
