open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1719446400000,3370.78,3372.25,3360.22,3364.52,28188.496,1719448199999,94914812.21690,45186,12821.688,43180087.01813,0
1719448200000,3364.51,3374.69,3362.69,3371.39,17983.244,1719449999999,60604281.33424,36105,10295.466,34697908.50252,0
1719450000000,3371.40,3380.52,3364.01,3375.77,25927.120,1719451799999,87485248.26543,40259,12440.816,41980405.80326,0
1719451800000,3375.77,3381.20,3373.98,3378.92,24540.660,1719453599999,82907975.42682,36163,13305.072,44954136.26730,0
1719453600000,3378.91,3384.52,3366.47,3381.62,38373.362,1719455399999,129512182.68114,45381,19351.913,65328762.48877,0
1719455400000,3381.62,3387.60,3375.16,3386.55,34174.370,1719457199999,115589881.34165,46721,17696.839,59870608.48233,0
1719457200000,3386.54,3392.00,3381.00,3383.70,23483.151,1719458999999,79523342.04767,35324,10676.145,36156389.68267,0
1719459000000,3383.70,3387.00,3378.50,3382.89,13284.143,1719460799999,44921195.15547,25911,5101.837,17252721.38956,0
1719460800000,3382.89,3387.35,3379.84,3382.20,16528.588,1719462599999,55922655.30735,26804,8212.828,27789031.24001,0
1719462600000,3382.20,3387.99,3380.64,3384.27,14528.930,1719464399999,49175494.30456,27358,7931.238,26846094.18702,0
1719464400000,3384.28,3387.00,3371.23,3373.77,20866.788,1719466199999,70473939.75358,31276,8667.373,29270735.03919,0
1719466200000,3373.77,3376.12,3367.32,3367.96,16463.269,1719467999999,55502893.87487,31145,6332.748,21352103.98019,0
1719468000000,3367.97,3374.60,3365.42,3374.39,23742.308,1719469799999,79994588.00111,39107,12100.903,40775880.36054,0
1719469800000,3374.39,3376.38,3364.53,3372.43,22815.535,1719471599999,76899590.54788,38150,10813.239,36451273.56716,0
1719471600000,3372.42,3378.63,3366.62,3371.30,36695.090,1719473399999,123714737.61522,42556,18855.110,63575914.83748,0
1719473400000,3371.30,3380.10,3367.92,3374.47,46697.715,1719475199999,157587236.34359,56628,22842.585,77095163.08236,0
1719475200000,3374.47,3378.82,3370.07,3370.87,14334.243,1719476999999,48370790.09825,27828,6978.722,23549272.25314,0
1719477000000,3370.86,3376.71,3367.68,3376.47,13553.085,1719478799999,45697114.60635,23591,6453.191,21758758.20636,0
1719478800000,3376.47,3390.28,3373.63,3388.10,32757.294,1719480599999,110820084.22597,45120,19546.390,66121458.48780,0
1719480600000,3388.10,3407.00,3385.14,3398.48,54791.573,1719482399999,186034907.85325,63356,32273.881,109606461.63196,0
1719482400000,3398.47,3408.78,3395.63,3403.87,55242.806,1719484199999,187940382.96550,68347,25914.927,88162486.87462,0
1719484200000,3403.87,3412.00,3393.63,3393.76,52681.595,1719485999999,179274085.50263,64614,21547.387,73344086.27632,0
1719486000000,3393.76,3403.70,3391.00,3397.99,26459.846,1719487799999,89911112.60759,39892,13588.588,46177570.52936,0
1719487800000,3397.99,3408.61,3397.98,3402.59,21998.553,1719489599999,74887720.39014,34025,11503.848,39161322.42770,0
1719489600000,3402.59,3446.10,3402.22,3436.62,175170.906,1719491399999,600578788.45816,179459,101797.606,348907794.00587,0
1719491400000,3436.63,3444.88,3417.31,3435.72,87995.003,1719493199999,301506911.42706,122440,44252.800,151659568.12236,0
1719493200000,3435.73,3455.75,3432.75,3442.53,126988.364,1719494999999,437621646.31169,149152,60004.401,206791141.59617,0
1719495000000,3442.49,3465.00,3441.92,3460.96,85430.652,1719496799999,295424203.22191,112614,46017.923,159130250.60895,0
1719496800000,3460.96,3476.60,3458.33,3464.69,78590.856,1719498599999,272577068.68967,111373,41487.142,143896215.25088,0
1719498600000,3464.68,3467.08,3446.00,3448.40,92531.381,1719500399999,319584771.34544,84467,36826.391,127204845.60364,0
1719500400000,3448.39,3455.95,3443.00,3445.00,60093.921,1719502199999,207179136.85566,64146,28154.545,97083340.79312,0
1719502200000,3445.01,3455.56,3443.00,3451.77,39050.381,1719503999999,134644114.94158,52888,18792.387,64796963.62627,0
1719504000000,3451.77,3456.26,3443.00,3444.29,32796.075,1719505799999,113118343.92577,42154,13707.300,47287401.74919,0
1719505800000,3444.30,3456.36,3438.46,3450.87,37638.121,1719507599999,129706170.31371,54795,18930.873,65242657.62697,0
1719507600000,3450.88,3463.68,3449.05,3463.68,24511.102,1719509399999,84750447.08094,40146,14374.724,49705232.44583,0
1719509400000,3463.68,3463.81,3456.68,3461.20,15223.029,1719511199999,52678793.03765,30970,7083.119,24510536.56288,0
1719511200000,3461.20,3462.41,3453.19,3460.57,16280.789,1719512999999,56300788.68872,27956,8532.766,29507417.38380,0
1719513000000,3460.56,3467.46,3450.81,3454.86,28736.760,1719514799999,99390320.05937,40997,15432.426,53375997.16057,0
1719514800000,3454.86,3455.80,3444.88,3451.99,20981.598,1719516599999,72389350.13057,34931,10219.372,35259670.66872,0
1719516600000,3451.99,3457.53,3448.34,3448.90,21159.485,1719518399999,73043505.03299,35532,10449.775,36073969.17640,0
1719518400000,3448.89,3452.97,3439.73,3440.52,31783.140,1719520199999,109551833.37504,38324,12820.070,44191487.73822,0
1719520200000,3440.51,3448.24,3439.96,3443.73,12391.290,1719521999999,42683406.06379,21292,8156.047,28096776.41247,0
1719522000000,3443.73,3447.84,3441.16,3444.66,12936.175,1719523799999,44561279.89620,22090,7613.724,26227826.35507,0
1719523800000,3444.67,3449.48,3443.77,3448.29,7935.310,1719525599999,27354543.85666,17346,5149.004,17749242.24740,0
1719525600000,3448.29,3454.87,3445.61,3450.49,10205.230,1719527399999,35214830.32715,23345,6395.862,22070014.60610,0
1719527400000,3450.49,3453.32,3447.46,3451.06,8113.133,1719529199999,27993138.69872,17403,4778.181,16486626.76048,0
