open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1714176000000,3129.98,3137.64,3111.47,3114.71,33949.051,1714177799999,106084228.12207,52960,12985.333,40587208.33795,0
1714177800000,3114.72,3115.75,3082.84,3107.59,129587.945,1714179599999,401597659.19145,162575,61414.785,190336435.04617,0
1714179600000,3107.59,3113.19,3062.80,3082.25,152709.758,1714181399999,471497216.35013,213823,72243.728,223156686.23484,0
1714181400000,3082.25,3099.06,3081.29,3092.70,47163.503,1714183199999,145813246.78551,96309,24679.365,76304153.95916,0
1714183200000,3092.70,3124.98,3088.00,3124.97,64426.183,1714184999999,200211999.54060,93651,38117.841,118463111.54348,0
1714185000000,3124.98,3130.78,3113.22,3119.01,47445.587,1714186799999,148055466.81103,71450,22618.022,70585904.98894,0
1714186800000,3119.01,3123.88,3112.89,3120.16,20664.763,1714188599999,64464193.67943,42836,9637.603,30066416.82393,0
1714188600000,3120.15,3123.89,3116.16,3120.72,13698.605,1714190399999,42749153.35370,27175,6032.327,18827495.99349,0
1714190400000,3120.72,3127.73,3114.88,3125.77,20405.362,1714192199999,63666694.38363,37002,10000.789,31209056.46723,0
1714192200000,3125.78,3128.53,3119.80,3125.40,16127.436,1714193999999,50387301.29809,33536,8297.862,25928476.13225,0
1714194000000,3125.36,3126.00,3104.70,3121.41,38994.996,1714195799999,121458859.58967,54672,18109.588,56416774.00420,0
1714195800000,3121.40,3122.91,3109.64,3116.01,19662.599,1714197599999,61266671.60442,31496,7549.450,23527742.53940,0
1714197600000,3116.00,3124.00,3112.55,3119.97,16533.292,1714199399999,51583991.89621,28476,9553.660,29808508.57206,0
1714199400000,3119.97,3129.90,3114.47,3122.43,22050.305,1714201199999,68851515.46452,37153,10173.011,31766287.54119,0
1714201200000,3122.44,3132.00,3120.65,3125.69,18103.209,1714202999999,56625891.99120,33323,9574.613,29951482.38155,0
1714203000000,3125.70,3128.00,3117.69,3119.12,14842.282,1714204799999,46334041.79110,28180,6097.522,19036742.24617,0
