open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1724803200000,2455.98,2456.00,2425.77,2435.79,101032.121,1724804999999,246767647.78185,125511,45231.758,110471017.58179,0
1724805000000,2435.80,2451.30,2433.50,2439.26,61876.857,1724806799999,151186617.83614,89397,28927.208,70682784.29304,0
1724806800000,2439.27,2449.68,2420.00,2428.47,64721.506,1724808599999,157636186.52280,86392,30368.946,74000868.92600,0
1724808600000,2428.53,2445.00,2416.56,2441.58,82208.125,1724810399999,199807324.12792,107227,42985.400,104491869.63887,0
1724810400000,2441.57,2452.59,2438.46,2438.46,60103.348,1724812199999,146947573.98644,72436,29698.327,72624403.22048,0
1724812200000,2438.46,2463.38,2437.42,2458.58,58564.937,1724813999999,143551541.20345,69359,32204.320,78931345.11610,0
1724814000000,2458.58,2474.35,2457.28,2463.38,82583.081,1724815799999,203789259.89379,75145,47220.333,116526148.93674,0
1724815800000,2463.37,2478.76,2463.37,2476.76,52446.684,1724817599999,129692351.29638,61948,25410.274,62842609.72737,0
1724817600000,2476.76,2484.59,2469.62,2477.46,40739.780,1724819399999,100902720.82122,57315,19865.032,49211235.74273,0
1724819400000,2477.46,2479.34,2466.40,2471.00,42291.222,1724821199999,104566386.31864,51311,19911.058,49226401.17409,0
1724821200000,2471.00,2483.90,2467.11,2476.86,42711.397,1724822999999,105797812.36416,54998,21527.948,53322660.21710,0
1724823000000,2476.85,2479.68,2457.41,2463.05,88320.931,1724824799999,218158429.86137,67964,39618.017,97906987.70061,0
1724824800000,2463.05,2468.93,2460.47,2467.02,26793.646,1724826599999,66042392.55258,40803,12924.376,31857821.14738,0
1724826600000,2467.03,2468.28,2460.21,2461.11,27413.926,1724828399999,67549225.93684,37435,12321.237,30361062.32959,0
1724828400000,2461.11,2465.00,2448.75,2457.01,55005.258,1724830199999,135160415.27259,61985,25489.884,62643682.16905,0
1724830200000,2457.01,2457.90,2431.18,2435.92,93232.912,1724831999999,227887348.97908,97173,44022.221,107645265.92678,0
1724832000000,2435.92,2464.91,2427.65,2461.51,112993.906,1724833799999,276743130.49164,114861,60686.937,148620111.84419,0
1724833800000,2461.51,2464.84,2454.83,2462.08,32144.689,1724835599999,79099569.15506,49286,15293.663,37634827.36742,0
1724835600000,2462.08,2477.00,2460.74,2476.57,49399.789,1724837399999,121973096.57644,65763,27488.707,67874983.37314,0
1724837400000,2476.57,2549.30,2473.54,2539.54,204400.796,1724839199999,513745229.68912,199698,121325.218,304946926.21411,0
1724839200000,2539.54,2543.18,2509.34,2523.51,175355.089,1724840999999,442580714.50628,165432,82934.192,209330312.67011,0
1724841000000,2523.51,2524.74,2514.00,2520.03,42992.992,1724842799999,108310412.69424,61358,21544.048,54274328.94868,0
1724842800000,2520.03,2533.30,2516.67,2525.00,55347.041,1724844599999,139896199.20396,69536,25956.027,65613517.00564,0
1724844600000,2525.01,2528.64,2519.65,2521.50,35973.841,1724846399999,90780666.04352,48457,17190.693,43382214.36227,0
1724846400000,2521.49,2531.88,2519.55,2530.98,36826.516,1724848199999,93004868.80169,48339,18403.223,46482111.06737,0
1724848200000,2530.99,2538.00,2523.25,2524.82,40929.329,1724849999999,103604403.33448,58227,18093.194,45811204.58360,0
1724850000000,2524.82,2529.22,2516.13,2520.13,38324.947,1724851799999,96611210.13359,57453,18496.339,46630578.64614,0
1724851800000,2520.13,2523.63,2480.64,2482.65,129230.569,1724853599999,323511939.89598,152670,51531.310,129066809.60586,0
1724853600000,2482.66,2530.34,2480.01,2517.91,144143.000,1724855399999,361675115.53011,175516,80183.990,201192874.22242,0
1724855400000,2517.90,2521.17,2482.00,2502.34,130525.908,1724857199999,326118677.27428,152820,60235.669,150486397.46791,0
1724857200000,2502.33,2502.83,2467.00,2490.50,151734.114,1724858999999,376904131.02059,173616,72285.563,179582608.37351,0
1724859000000,2490.49,2497.37,2476.37,2494.70,70009.810,1724860799999,174260044.80915,96975,37898.071,94345104.79730,0
1724860800000,2494.71,2494.71,2455.04,2482.75,192446.129,1724862599999,475659297.89332,200365,91976.486,227314526.64049,0
1724862600000,2482.74,2516.92,2467.14,2513.34,166703.125,1724864399999,415631322.99597,176595,92666.381,231042530.17009,0
1724864400000,2513.35,2527.27,2508.01,2511.80,122115.303,1724866199999,307271736.34689,121481,60914.294,153291998.26455,0
1724866200000,2511.80,2520.35,2498.01,2500.68,59759.117,1724867999999,149984753.57864,78890,26368.726,66191718.09524,0
