open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1714262400000,3253.97,3259.78,3248.80,3259.26,27539.941,1714264199999,89620339.39406,50926,13492.846,43911657.25823,0
1714264200000,3259.26,3259.27,3251.48,3253.12,18421.257,1714265999999,59964394.11451,31527,9322.692,30345316.26026,0
1714266000000,3253.13,3263.80,3252.11,3261.48,20727.023,1714267799999,67522959.91870,33088,10081.867,32848812.84437,0
1714267800000,3261.49,3275.74,3256.62,3264.76,39763.239,1714269599999,129919298.05265,56213,22798.678,74500229.37547,0
1714269600000,3264.76,3276.29,3260.95,3270.12,27469.293,1714271399999,89783448.93465,43911,12403.323,40545840.34707,0
1714271400000,3270.13,3321.95,3267.69,3309.03,140104.560,1714273199999,462248953.77128,160491,79462.403,262109240.68029,0
1714273200000,3309.04,3318.21,3302.00,3315.27,80151.008,1714274999999,265318720.54384,109348,41847.446,138531595.01881,0
1714275000000,3315.27,3329.00,3306.01,3307.65,60844.407,1714276799999,201718284.36052,79294,30698.485,101808585.61072,0
1714276800000,3307.65,3310.60,3298.17,3308.11,41178.486,1714278599999,136057210.88610,56033,18391.325,60775279.27861,0
1714278600000,3308.11,3308.99,3298.37,3300.13,24812.168,1714280399999,81958782.78571,37465,9624.475,31795491.51301,0
1714280400000,3300.14,3309.93,3299.46,3308.69,21957.908,1714282199999,72559147.32371,34205,12203.360,40327245.36005,0
1714282200000,3308.69,3327.35,3304.73,3311.64,37130.155,1714283999999,123062286.17673,52609,21735.184,72040999.70830,0
1714284000000,3311.64,3317.45,3306.57,3308.51,25604.542,1714285799999,84777694.20504,43329,11767.496,38964817.09280,0
1714285800000,3308.51,3324.59,3308.29,3320.01,33294.945,1714287599999,110457022.54838,48675,19302.715,64041841.19986,0
1714287600000,3320.02,3340.86,3315.76,3318.62,62066.822,1714289399999,206463787.40545,82851,32948.196,109626224.29468,0
1714289400000,3318.62,3325.95,3313.00,3316.27,22640.466,1714291199999,75098868.10691,43936,10328.447,34259915.32606,0
1714291200000,3316.26,3323.76,3309.21,3317.11,29669.811,1714292999999,98385812.09897,51579,14579.708,48352299.03759,0
1714293000000,3317.12,3322.53,3304.66,3310.17,40721.589,1714294799999,134834528.58707,51445,17916.530,59318414.02257,0
1714294800000,3310.16,3317.63,3307.00,3308.65,19970.767,1714296599999,66155068.95399,35404,10578.869,35045993.41123,0
1714296600000,3308.65,3309.96,3300.16,3307.10,28559.832,1714298399999,94385537.10448,49518,14147.658,46760205.52475,0
1714298400000,3307.10,3309.57,3285.04,3298.34,74644.846,1714300199999,245876530.76778,98338,31326.721,103193371.28891,0
1714300200000,3298.34,3306.77,3295.55,3299.01,30359.048,1714301999999,100210220.99978,47998,15659.931,51693952.17840,0
1714302000000,3299.01,3300.98,3272.56,3281.79,71108.876,1714303799999,233587297.01373,94920,30947.041,101655471.54652,0
1714303800000,3281.78,3289.46,3276.00,3285.03,47388.424,1714305599999,155554486.67005,74848,27115.695,89016187.24030,0
1714305600000,3285.03,3293.60,3282.27,3288.99,33580.854,1714307399999,110428153.43815,53809,16631.655,54690603.66907,0
1714307400000,3288.99,3297.52,3286.61,3286.61,23842.655,1714309199999,78497511.19294,43564,11974.119,39422891.37477,0
1714309200000,3286.61,3318.00,3283.52,3304.02,81549.128,1714310999999,269334015.94602,99300,44489.916,146949406.60667,0
1714311000000,3304.03,3321.93,3301.27,3312.80,48124.238,1714312799999,159454899.96881,71912,24503.763,81197390.46550,0
