open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1722124800000,3248.16,3248.16,3224.06,3241.87,59830.328,1722126599999,193603746.90447,88891,31981.548,103495787.58752,0
1722126600000,3241.87,3251.46,3235.09,3245.15,26208.661,1722128399999,85004235.32006,40219,13648.486,44277394.85213,0
1722128400000,3245.14,3252.50,3239.56,3251.18,20016.342,1722130199999,64997268.85734,32360,11218.287,36428985.84961,0
1722130200000,3251.18,3255.41,3245.54,3245.84,15080.229,1722131999999,49016178.80292,24021,6081.944,19770454.07496,0
1722132000000,3245.83,3248.01,3240.14,3243.92,18162.910,1722133799999,58921861.70885,23617,10581.538,34327130.10336,0
1722133800000,3243.94,3251.00,3243.67,3250.85,11082.660,1722135599999,36003562.36141,18769,6948.238,22571321.68644,0
1722135600000,3250.82,3251.08,3242.30,3245.78,17552.956,1722137399999,56997463.26871,21913,9276.705,30119313.90086,0
1722137400000,3245.79,3248.16,3236.24,3236.80,17466.437,1722139199999,56620523.89102,23073,7426.982,24076934.03082,0
1722139200000,3236.79,3242.89,3232.38,3234.09,19873.203,1722140999999,64328054.46370,28109,9463.071,30631470.72804,0
1722141000000,3234.09,3237.78,3210.01,3216.91,41163.119,1722142799999,132810060.26006,47131,16714.300,53938288.99792,0
1722142800000,3216.90,3219.52,3195.84,3216.42,68005.641,1722144599999,218117128.03021,88070,33994.393,109049111.07626,0
1722144600000,3216.43,3220.47,3211.00,3217.20,26503.822,1722146399999,85207906.83796,31800,13898.223,44683816.12844,0
1722146400000,3217.20,3230.77,3215.20,3228.50,34647.505,1722148199999,111698999.99047,41035,21271.799,68572820.29979,0
1722148200000,3228.51,3230.99,3217.84,3220.78,21923.583,1722149999999,70651540.57578,27397,7439.932,23978494.11001,0
1722150000000,3220.77,3224.99,3212.15,3220.03,21170.166,1722151799999,68123831.51806,29551,9805.296,31561030.11992,0
1722151800000,3220.03,3226.69,3216.20,3226.29,16247.808,1722153599999,52371292.96220,22254,9604.882,30962416.34765,0
1722153600000,3226.64,3227.73,3220.01,3220.01,14071.843,1722155399999,45364119.33014,22607,5717.464,18432085.77853,0
1722155400000,3220.02,3227.56,3214.36,3227.53,12694.684,1722157199999,40892827.00975,22163,6434.339,20728385.08708,0
1722157200000,3227.52,3233.00,3225.30,3229.92,18622.967,1722158999999,60141455.68415,29336,9870.979,31878129.45181,0
1722159000000,3229.92,3237.28,3229.23,3233.85,16711.163,1722160799999,54044296.28035,26860,8511.789,27527041.30085,0
1722160800000,3233.85,3254.56,3231.54,3247.59,46828.311,1722162599999,151934529.61575,56293,24326.516,78949531.39912,0
1722162600000,3247.59,3251.90,3246.00,3246.99,22964.348,1722164399999,74602563.93805,26091,8141.759,26451560.15691,0
1722164400000,3247.00,3263.76,3246.99,3258.73,37250.332,1722166199999,121320732.76262,41393,24718.601,80497396.62904,0
1722166200000,3258.74,3264.00,3253.56,3255.00,27785.580,1722167999999,90542565.63603,38846,12234.696,39874897.99528,0
1722168000000,3255.00,3268.77,3252.60,3261.99,35699.728,1722169799999,116453269.22454,44693,19641.820,64078997.73679,0
1722169800000,3262.00,3275.27,3259.85,3269.68,30241.942,1722171599999,98893352.78468,43122,16084.262,52599996.03585,0
1722171600000,3269.67,3274.00,3263.69,3267.00,22154.673,1722173399999,72394884.04443,32105,8647.114,28257625.65680,0
1722173400000,3267.00,3278.52,3266.22,3273.16,28634.404,1722175199999,93722570.77780,38396,14418.033,47193647.86365,0
1722175200000,3273.16,3274.40,3261.30,3261.30,32278.361,1722176999999,105391770.49643,42221,11965.140,39064796.25812,0
1722177000000,3261.30,3274.60,3257.57,3263.68,44231.971,1722178799999,144414852.36972,50651,20313.514,66343760.95285,0
1722178800000,3263.68,3267.13,3259.00,3265.91,18307.707,1722180599999,59736532.46022,30386,8958.978,29235287.55373,0
1722180600000,3265.92,3271.76,3260.41,3267.56,19182.454,1722182399999,62664258.21082,29480,10004.581,32687794.03890,0
1722182400000,3267.56,3273.80,3267.27,3268.00,13351.049,1722184199999,43667466.32306,23603,6421.565,21004013.58389,0
1722184200000,3268.00,3273.12,3262.31,3264.74,10309.371,1722185999999,33686247.99746,21066,4236.562,13843529.85057,0
1722186000000,3264.75,3271.99,3262.04,3263.88,11268.165,1722187799999,36812626.07196,22628,5790.573,18918187.12533,0
1722187800000,3263.95,3270.44,3261.00,3270.44,10062.868,1722189599999,32866096.11674,20036,5163.138,16865767.14442,0
1722189600000,3270.43,3276.47,3266.00,3276.25,21473.115,1722191399999,70265066.75594,34394,12713.835,41604059.81620,0
1722191400000,3276.25,3284.57,3270.31,3274.24,32958.158,1722193199999,108040846.15111,45356,17194.525,56376142.39735,0
1722193200000,3274.24,3276.55,3266.98,3273.71,14742.698,1722194999999,48233295.47191,23820,7926.207,25931537.86954,0
1722195000000,3273.71,3274.47,3268.13,3270.36,10683.129,1722196799999,34948412.08352,16920,5108.092,16712273.64954,0
1722196800000,3270.36,3272.34,3265.00,3265.30,12068.536,1722198599999,39433642.54556,19369,5660.568,18497278.17131,0
1722198600000,3265.30,3265.57,3257.88,3258.12,16159.258,1722200399999,52709116.30589,20482,6202.884,20233892.72766,0
1722200400000,3258.12,3260.96,3250.00,3257.01,28009.691,1722202199999,91150730.12665,31582,11175.314,36373407.72508,0
1722202200000,3257.01,3266.38,3256.27,3262.52,9321.950,1722203999999,30399745.30690,17161,5677.578,18515206.46654,0
1722204000000,3262.52,3267.98,3250.14,3265.75,22960.165,1722205799999,74841795.59769,40229,12358.252,40288334.56850,0
1722205800000,3265.75,3267.19,3251.01,3258.37,12690.990,1722207599999,41335352.53426,26955,6191.727,20165179.47154,0
1722207600000,3258.49,3270.12,3256.79,3268.70,13841.194,1722209399999,45189302.99238,22541,7906.685,25813322.27276,0
1722209400000,3268.71,3272.00,3266.49,3268.03,11946.294,1722211199999,39061971.12527,21120,4900.117,16023067.45953,0
