open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1711584000000,3504.99,3536.31,3497.76,3523.45,63149.769,1711585799999,222420204.39298,87414,35004.910,123279943.11673,0
1711585800000,3523.44,3524.22,3503.01,3519.08,41162.468,1711587599999,144648611.86124,73019,20267.955,71232678.38271,0
1711587600000,3519.00,3524.00,3501.30,3503.52,34962.055,1711589399999,122801588.83635,58410,18401.597,64637110.28897,0
1711589400000,3503.52,3515.10,3494.04,3500.18,34818.510,1711591199999,122045000.33482,62635,16209.250,56805817.36820,0
1711591200000,3500.18,3515.86,3495.40,3502.82,34660.455,1711592999999,121547945.13331,53857,17151.493,60137576.65343,0
1711593000000,3502.82,3503.50,3466.97,3482.65,65742.500,1711594799999,228832680.65308,103370,30059.026,104615431.42965,0
1711594800000,3482.64,3496.13,3479.55,3485.25,29366.459,1711596599999,102435441.02747,58822,15956.824,55669781.30079,0
1711596600000,3485.26,3501.99,3478.00,3499.57,33428.000,1711598399999,116672048.53314,61132,18524.011,64658710.74787,0
1711598400000,3499.57,3516.48,3498.50,3514.11,36263.582,1711600199999,127227522.20822,58309,19088.307,66978173.29566,0
1711600200000,3514.11,3519.99,3509.17,3519.24,20686.210,1711601999999,72720885.82682,41334,9943.793,34963736.42644,0
1711602000000,3519.24,3542.51,3515.56,3530.99,44667.063,1711603799999,157678395.25395,70670,25103.157,88638089.62577,0
1711603800000,3530.99,3538.68,3520.68,3535.98,29628.523,1711605599999,104579339.59583,50051,13080.491,46180131.69509,0
1711605600000,3535.98,3558.00,3529.43,3554.74,65550.046,1711607399999,232366879.02140,106519,35976.325,127540104.20431,0
1711607400000,3554.75,3580.22,3551.56,3577.73,69678.974,1711609199999,248475514.52965,101682,37397.967,133384886.21033,0
1711609200000,3577.72,3583.00,3567.68,3573.97,42315.299,1711610999999,151334694.45815,76839,17049.135,60984920.93869,0
1711611000000,3573.97,3578.63,3565.40,3577.28,32075.316,1711612799999,114619319.41046,51453,11812.563,42215458.79889,0
1711612800000,3577.32,3584.42,3566.52,3575.82,55731.124,1711614599999,199384969.61331,74676,30659.254,109699615.04727,0
1711614600000,3575.82,3595.63,3574.74,3578.83,40427.889,1711616399999,144864070.53332,79879,19603.249,70253400.06355,0
1711616400000,3578.83,3597.61,3573.79,3586.08,39306.293,1711618199999,141034213.58734,73052,19525.988,70073575.69750,0
1711618200000,3586.07,3591.15,3580.09,3587.07,19468.373,1711619999999,69807959.26279,48466,7838.276,28106954.15214,0
1711620000000,3587.08,3592.73,3574.20,3576.70,43316.545,1711621799999,155207815.69660,74301,17312.873,62035322.00697,0
1711621800000,3576.70,3597.32,3575.92,3593.08,35435.664,1711623599999,127100468.10810,69057,18911.710,67828818.62664,0
1711623600000,3593.09,3597.51,3582.38,3589.60,33250.103,1711625399999,119423201.23639,74771,17462.876,62728272.35880,0
1711625400000,3589.50,3593.98,3573.35,3583.25,34218.503,1711627199999,122553103.09857,81150,16040.757,57451244.20534,0
1711627200000,3583.24,3596.13,3573.49,3578.07,44150.811,1711628999999,158176667.81502,86849,20450.058,73272044.48058,0
