open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1703721600000,2380.32,2401.98,2377.59,2399.09,139275.133,1703723399999,333152079.03924,124759,72327.596,173038216.39465,0
1703723400000,2399.09,2455.52,2396.83,2435.20,336998.908,1703725199999,818991115.64718,273281,176787.907,429629484.86116,0
1703725200000,2435.20,2449.00,2428.05,2431.22,107278.205,1703726999999,261519273.20661,111586,52292.670,127487987.20400,0
1703727000000,2431.22,2435.20,2413.00,2416.90,93345.703,1703728799999,226250207.58832,88465,38987.329,94516790.51063,0
1703728800000,2416.90,2419.27,2405.21,2413.94,78993.259,1703730599999,190606266.26767,74129,37801.275,91230575.16849,0
1703730600000,2413.94,2420.81,2409.17,2412.55,44687.395,1703732399999,107932722.23579,48966,21222.139,51262831.62260,0
1703732400000,2412.55,2423.26,2410.14,2414.31,42456.715,1703734199999,102582187.47604,45281,21191.202,51207695.66044,0
1703734200000,2414.30,2419.25,2412.80,2415.86,22195.141,1703735999999,53609890.35732,28558,10499.017,25361904.23923,0
1703736000000,2415.86,2427.38,2413.04,2426.98,49560.056,1703737799999,120005820.25409,49545,27018.872,65431369.75721,0
1703737800000,2426.96,2427.00,2403.37,2405.98,76560.947,1703739599999,184646699.49354,68051,31582.745,76142722.06605,0
1703739600000,2405.99,2409.17,2380.78,2386.16,146923.244,1703741399999,351649965.52302,118321,64291.715,153883626.29972,0
1703741400000,2386.17,2398.56,2385.62,2392.69,49491.883,1703743199999,118418272.98190,52528,25777.312,61673326.05030,0
1703743200000,2392.70,2395.20,2377.14,2380.89,58322.411,1703744999999,139234466.38356,57270,25844.654,61708006.38051,0
1703745000000,2380.90,2388.65,2371.50,2376.95,88818.523,1703746799999,211445251.92104,80599,43984.931,104738237.55952,0
1703746800000,2376.95,2383.20,2365.00,2374.97,99062.120,1703748599999,235364138.22059,89836,48881.204,116178811.54821,0
1703748600000,2374.97,2384.67,2369.04,2383.06,78053.702,1703750399999,185644470.28535,73223,43481.446,103410388.20274,0
1703750400000,2383.06,2387.64,2375.00,2379.64,73162.525,1703752199999,174294737.87752,64551,36949.623,88029708.41998,0
1703752200000,2379.64,2392.00,2378.23,2381.63,65845.897,1703753999999,157096966.14745,59198,29929.878,71417036.57319,0
1703754000000,2381.62,2391.96,2380.72,2389.96,45194.890,1703755799999,107890571.53773,48295,26495.946,63253995.81479,0
1703755800000,2389.97,2398.90,2387.73,2389.32,59295.128,1703757599999,141917072.59243,57408,32613.032,78067508.96961,0
1703757600000,2389.31,2397.87,2386.25,2393.83,37455.924,1703759399999,89635318.61917,40089,18904.779,45248404.84527,0
1703759400000,2393.83,2414.73,2393.25,2400.59,84748.753,1703761199999,203753841.44867,72637,47293.027,113695222.87390,0
