open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1716854400000,3896.09,3897.66,3881.00,3888.86,25299.009,1716856199999,98362083.19705,55419,11209.052,43580797.41826,0
1716856200000,3888.86,3889.00,3865.00,3879.25,75168.579,1716857999999,291331242.64340,93098,36248.873,140504043.16129,0
1716858000000,3879.26,3891.77,3878.08,3884.55,30977.249,1716859799999,120369214.30447,52182,19500.242,75764918.87476,0
1716859800000,3884.56,3914.41,3840.00,3850.03,144924.102,1716861599999,560913026.89461,195208,65207.698,252527037.62953,0
1716861600000,3850.03,3872.00,3836.00,3866.25,84351.535,1716863399999,324883456.98471,139152,43436.915,167311823.05375,0
1716863400000,3866.25,3874.30,3863.03,3864.20,30726.877,1716865199999,118845820.54909,56442,14717.904,56926989.87394,0
1716865200000,3864.20,3867.85,3842.56,3849.37,50303.522,1716866999999,193841215.27008,87811,20880.114,80474082.94844,0
1716867000000,3849.37,3856.69,3830.00,3852.32,72695.705,1716868799999,279333402.14182,110737,33794.653,129874716.73118,0
1716868800000,3852.31,3857.28,3831.94,3833.15,39519.971,1716870599999,151950083.18173,66912,18068.480,69480583.64518,0
1716870600000,3833.15,3844.00,3823.00,3839.11,66076.847,1716872399999,253318412.86639,110304,32517.145,124673951.05982,0
1716872400000,3839.11,3853.94,3833.49,3848.04,32241.571,1716874199999,123958890.34974,62538,17328.266,66623968.84274,0
1716874200000,3848.05,3862.59,3848.00,3862.58,30270.339,1716875999999,116692805.87595,52417,17824.372,68711313.87813,0
1716876000000,3862.59,3864.30,3853.00,3853.15,25967.555,1716877799999,100238304.75750,49147,11698.870,45164531.49624,0
1716877800000,3853.15,3867.75,3849.50,3860.16,25392.814,1716879599999,97991347.68962,51325,12972.237,50068114.90002,0
1716879600000,3860.16,3863.00,3848.31,3851.02,26581.987,1716881399999,102465376.38941,47153,11241.760,43337650.26224,0
1716881400000,3851.02,3859.78,3845.01,3850.52,22999.962,1716883199999,88604378.60998,46790,12108.132,46647474.45886,0
1716883200000,3850.52,3872.67,3841.35,3865.81,53924.334,1716884999999,208189312.87330,79027,28088.048,108456342.05718,0
1716885000000,3865.81,3882.50,3862.79,3878.13,41838.212,1716886799999,162134193.86753,70291,21420.262,83006483.45641,0
1716886800000,3878.12,3887.50,3870.14,3876.24,30103.410,1716888599999,116711934.57521,63150,14667.527,56871716.34811,0
1716888600000,3876.25,3896.58,3874.41,3882.83,48982.427,1716890399999,190352428.79821,80712,26863.104,104390964.70007,0
1716890400000,3882.84,3934.42,3880.43,3915.09,105863.707,1716892199999,414428237.62850,163368,58597.622,229344699.87794,0
1716892200000,3915.08,3921.45,3895.88,3901.69,48900.013,1716893999999,190946032.09476,77147,21664.637,84597464.03257,0
1716894000000,3901.70,3916.92,3894.08,3904.79,31432.847,1716895799999,122796511.91416,57667,16052.140,62716610.71961,0
1716895800000,3904.79,3913.68,3892.16,3906.56,49283.948,1716897599999,192388281.06584,72444,25627.082,100060300.43957,0
1716897600000,3906.56,3907.26,3894.33,3903.59,27380.647,1716899399999,106801751.77511,48808,12703.245,49548244.91258,0
1716899400000,3903.58,3915.00,3893.75,3895.64,58084.487,1716901199999,226836142.17034,78908,26801.354,104673552.80469,0
1716901200000,3895.63,3914.42,3880.00,3910.26,94833.038,1716902999999,369615073.17240,111381,48835.994,190377755.11144,0
1716903000000,3910.20,3912.45,3855.05,3864.06,167841.796,1716904799999,650925550.60890,198240,71673.759,277987081.22098,0
1716904800000,3864.06,3887.99,3852.00,3874.00,116496.725,1716906599999,451020817.94175,136631,62056.410,240302664.54208,0
1716906600000,3873.99,3878.50,3842.77,3859.00,93886.908,1716908399999,362348814.79189,134941,43863.546,169330456.51759,0
1716908400000,3859.00,3866.48,3833.33,3839.85,102536.048,1716910199999,394165775.07286,142155,44220.958,170003446.61017,0
1716910200000,3839.85,3874.76,3835.00,3863.32,85787.642,1716911999999,330845578.41016,124888,47476.465,183095398.30779,0
1716912000000,3863.33,3872.18,3835.00,3835.19,51771.977,1716913799999,199467242.64507,91494,25922.900,99883398.33793,0
1716913800000,3835.16,3840.76,3822.22,3828.75,71847.646,1716915599999,275185988.60930,119488,32854.104,125839989.82943,0
1716915600000,3828.74,3844.30,3821.75,3840.73,37460.287,1716917399999,143638792.73896,73703,18478.985,70860480.68505,0
1716917400000,3840.73,3849.00,3826.13,3828.01,38651.620,1716919199999,148402060.53378,66248,16849.979,64709044.84774,0
1716919200000,3828.00,3844.14,3826.67,3840.51,20917.583,1716920999999,80281290.24196,49855,11501.150,44137734.51757,0
1716921000000,3840.52,3840.52,3775.42,3802.78,217586.603,1716922799999,825618294.97148,244035,84716.592,321354008.25826,0
1716922800000,3802.79,3828.00,3798.66,3822.00,55693.184,1716924599999,212479477.59618,98812,27460.178,104768143.36034,0
1716924600000,3822.00,3853.19,3817.30,3844.02,81910.601,1716926399999,314129001.23331,95165,45200.314,173378764.65797,0
1716926400000,3844.09,3854.88,3836.48,3840.35,31951.108,1716928199999,122842558.64192,52579,14257.605,54826525.93622,0
1716928200000,3840.34,3846.59,3825.05,3836.12,29879.357,1716929999999,114625546.56972,46026,13981.653,53638210.34838,0
1716930000000,3836.12,3856.00,3830.00,3845.00,22423.610,1716931799999,86193620.40631,47961,12376.561,47578605.16671,0
1716931800000,3845.00,3851.68,3841.90,3846.28,9101.593,1716933599999,35011232.37228,32251,4990.908,19197983.89859,0
1716933600000,3846.27,3864.30,3845.32,3862.11,55431.211,1716935399999,213860087.29178,68598,27501.053,106103633.21697,0
1716935400000,3862.11,3866.88,3856.45,3865.18,26473.834,1716937199999,102237086.24096,44681,11596.382,44789695.84230,0
1716937200000,3865.18,3875.00,3853.07,3857.99,33537.083,1716938999999,129525557.11654,48648,15290.159,59065065.79117,0
1716939000000,3857.99,3858.00,3844.19,3847.00,18157.895,1716940799999,69907520.48921,35234,8366.291,32209269.97940,0
