open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1727481600000,2693.52,2699.47,2690.63,2690.80,22226.511,1727483399999,59900006.25395,39205,10308.702,27784676.24257,0
1727483400000,2690.80,2696.47,2689.19,2695.41,17199.405,1727485199999,46329741.88450,30643,9572.409,25786004.43264,0
1727485200000,2695.40,2697.50,2691.72,2694.52,11019.830,1727486999999,29694408.75446,23850,5107.744,13763677.11917,0
1727487000000,2694.51,2696.99,2690.32,2696.82,10424.555,1727488799999,28074027.45414,24158,5771.788,15543998.51059,0
1727488800000,2696.81,2697.22,2686.72,2696.62,33419.231,1727490599999,89957601.11616,44462,14282.834,38443491.35705,0
1727490600000,2696.62,2703.30,2696.10,2698.81,28957.540,1727492399999,78179544.79952,39938,16610.608,44846092.08347,0
1727492400000,2698.81,2702.20,2690.18,2691.63,24237.007,1727494199999,65351550.10626,35804,10488.468,28286413.88720,0
1727494200000,2691.63,2694.50,2686.68,2689.28,25222.450,1727495999999,67845412.21062,36428,12459.833,33518187.13240,0
1727496000000,2689.27,2699.30,2686.09,2695.66,31266.488,1727497799999,84175871.86934,46427,16139.474,43460668.46211,0
1727497800000,2695.67,2699.00,2691.20,2691.70,14073.498,1727499599999,37925163.86373,25537,6222.115,16765771.09268,0
1727499600000,2691.71,2693.55,2686.57,2686.58,19052.226,1727501399999,51251898.50026,24760,8087.257,21756463.33095,0
1727501400000,2686.58,2690.91,2681.06,2682.01,38958.253,1727503199999,104632787.85718,47421,14889.534,39992177.73840,0
1727503200000,2682.00,2685.77,2676.11,2684.47,46409.225,1727504999999,124410328.13722,51004,20897.925,56029191.93969,0
1727505000000,2684.47,2686.00,2672.76,2678.04,46530.094,1727506799999,124573201.78309,54220,21377.287,57238275.56888,0
1727506800000,2678.04,2682.82,2677.04,2677.04,16909.870,1727508599999,45315745.78101,26536,7418.973,19880222.03945,0
1727508600000,2677.04,2682.66,2674.10,2677.00,22738.784,1727510399999,60909097.27434,34144,12112.002,32448849.85367,0
1727510400000,2676.99,2677.64,2667.09,2670.33,58168.307,1727512199999,155351490.58645,63683,23856.483,63717241.30779,0
1727512200000,2670.34,2674.00,2662.74,2665.01,37437.283,1727513999999,99912798.53118,51642,16325.136,43583167.52764,0
1727514000000,2665.00,2665.87,2648.32,2663.06,92691.882,1727515799999,246348453.00589,104417,44556.411,118436562.38263,0
1727515800000,2663.05,2670.20,2662.35,2668.99,33744.022,1727517599999,89977824.79283,46739,19002.392,50672183.81896,0
1727517600000,2668.99,2673.46,2665.68,2670.00,27789.045,1727519399999,74208402.08892,39395,13381.660,35736516.13251,0
1727519400000,2670.00,2675.40,2670.00,2674.25,23637.792,1727521199999,63182323.12150,33233,12386.199,33108329.83707,0
1727521200000,2674.25,2675.82,2670.33,2671.24,23660.063,1727522999999,63236425.08870,27967,9643.967,25777882.98221,0
1727523000000,2671.24,2675.00,2669.10,2674.24,28012.555,1727524799999,74851867.24120,30129,13378.097,35750778.76412,0
1727524800000,2674.24,2674.75,2654.76,2664.13,79358.061,1727526599999,211471025.05957,57529,35244.727,93932061.46494,0
1727526600000,2664.13,2665.00,2653.20,2657.50,44555.654,1727528399999,118472129.43142,51583,21660.574,57596474.95035,0
1727528400000,2657.50,2659.19,2650.37,2657.12,45270.044,1727530199999,120159905.62342,55640,21279.497,56491592.03188,0
