open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1730073600000,2507.21,2511.67,2501.69,2505.42,29411.703,1730075399999,73723921.70593,56831,13712.937,34375837.24756,0
1730075400000,2505.37,2506.81,2497.31,2499.07,26633.120,1730077199999,66634701.00324,58306,11144.734,27886421.95218,0
1730077200000,2499.07,2503.47,2495.14,2497.15,21115.366,1730078999999,52761349.87487,51287,10831.805,27069005.83266,0
1730079000000,2497.15,2498.54,2490.43,2491.05,24123.863,1730080799999,60174916.61373,37471,9032.533,22536541.73302,0
1730080800000,2491.05,2495.18,2487.71,2494.32,36253.940,1730082599999,90332084.98352,49002,22060.633,54975355.23124,0
1730082600000,2494.33,2494.33,2486.94,2489.15,16426.237,1730084399999,40889817.68547,36161,7572.856,18851394.23676,0
1730084400000,2489.16,2494.48,2487.81,2491.30,17485.914,1730086199999,43567111.67304,34412,10167.059,25332091.97017,0
1730086200000,2491.30,2491.84,2470.41,2476.76,78843.346,1730087999999,195391384.81820,87516,34855.648,86363810.45293,0
1730088000000,2476.76,2483.79,2472.31,2478.50,36553.748,1730089799999,90600627.25255,56044,21121.901,52354446.91875,0
1730089800000,2478.51,2485.78,2477.10,2485.59,24034.478,1730091599999,59660328.50509,42166,15519.693,38526010.93906,0
1730091600000,2485.59,2486.84,2478.28,2478.78,21155.198,1730093399999,52523282.95365,33813,8163.025,20269228.99944,0
1730093400000,2478.78,2489.84,2473.32,2485.54,31689.911,1730095199999,78659520.67009,53456,17924.997,44494054.26430,0
1730095200000,2485.54,2487.84,2481.05,2483.72,16049.626,1730096999999,39876178.94008,34507,8200.511,20377201.08846,0
1730097000000,2483.72,2490.80,2481.09,2490.79,19252.069,1730098799999,47872761.26153,33067,11784.321,29307511.22967,0
1730098800000,2490.79,2525.00,2490.18,2522.66,125440.848,1730100599999,315192209.92454,146647,72210.309,181375149.46123,0
1730100600000,2522.66,2526.21,2509.81,2511.11,89971.333,1730102399999,226474838.90041,107569,42481.204,106924665.88336,0
1730102400000,2511.11,2520.49,2508.82,2514.56,40909.394,1730104199999,102863968.41114,65941,23501.882,59096814.01784,0
1730104200000,2514.56,2514.60,2508.85,2512.29,31320.787,1730105999999,78661169.05828,48106,16161.737,40591432.43764,0
1730106000000,2512.28,2519.22,2506.09,2507.18,40597.519,1730107799999,101976311.92950,51312,17883.241,44936518.73693,0
1730107800000,2507.18,2543.00,2504.22,2541.59,139928.948,1730109599999,353591294.62726,117458,91079.646,230170855.36258,0
1730109600000,2541.58,2545.00,2532.00,2535.19,85583.933,1730111399999,217158407.48569,106883,40055.791,101643695.31640,0
1730111400000,2535.19,2541.13,2528.64,2530.73,61275.320,1730113199999,155335047.90697,86854,31005.541,78598625.03837,0
1730113200000,2530.73,2531.77,2525.00,2529.76,38516.676,1730114999999,97391837.36745,53878,20049.158,50696446.02871,0
1730115000000,2529.76,2530.13,2525.02,2526.53,22448.612,1730116799999,56736028.88951,37279,10823.294,27354221.95361,0
1730116800000,2526.54,2533.57,2516.14,2529.41,81576.938,1730118599999,205954755.48168,95759,38565.745,97379112.21490,0
1730118600000,2529.42,2535.88,2521.17,2526.03,84126.783,1730120399999,212572387.93209,91181,35626.594,90030022.19373,0
1730120400000,2526.03,2531.80,2521.24,2527.88,33518.478,1730122199999,84701811.54471,59103,17058.527,43110192.98210,0
1730122200000,2527.87,2533.00,2511.02,2512.68,126808.716,1730123999999,319909888.77531,153221,57453.266,144989888.68884,0
1730124000000,2512.67,2527.45,2507.38,2515.95,107641.164,1730125799999,270826148.06899,143429,52816.958,132903018.71430,0
1730125800000,2515.94,2535.80,2511.91,2524.99,89384.069,1730127599999,225701836.79627,104984,49664.800,125416499.10316,0
1730127600000,2524.99,2525.44,2510.00,2513.59,78364.355,1730129399999,197053351.30244,105121,32699.821,82225224.23910,0
1730129400000,2513.58,2514.28,2497.50,2500.30,82556.245,1730131199999,206895302.22060,99397,32861.482,82362308.71771,0
1730131200000,2500.29,2514.88,2493.32,2513.56,53233.974,1730132999999,133366662.31008,69327,30746.724,77059593.49409,0
1730133000000,2513.53,2515.00,2500.31,2504.13,44052.703,1730134799999,110505678.89515,61982,21394.099,53677834.34359,0
1730134800000,2504.12,2505.75,2485.00,2499.78,100520.254,1730136599999,250881715.17336,132620,47105.828,117585250.30286,0
1730136600000,2499.77,2514.88,2498.59,2500.41,63863.030,1730138399999,160119671.63972,93423,32626.885,81808941.28432,0
1730138400000,2500.41,2511.90,2493.10,2498.81,41590.255,1730140199999,104098039.21350,78224,21510.822,53852925.76951,0
1730140200000,2498.80,2505.98,2487.81,2504.51,38037.042,1730141999999,94988685.13751,76734,19846.153,49572614.71583,0
1730142000000,2504.50,2523.97,2502.60,2513.82,127061.177,1730143799999,319684304.48474,138290,75739.647,190562749.91653,0
1730143800000,2513.82,2515.42,2497.00,2503.77,112385.079,1730145599999,281505798.28394,108433,46580.894,116676493.05689,0
1730145600000,2503.77,2503.77,2503.77,2503.77,0,1730147399999,0,0,0,0,0
1730147400000,2503.77,2503.77,2503.77,2503.77,0,1730149199999,0,0,0,0,0
