open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1716940800000,3847.01,3854.48,3844.86,3851.73,22127.952,1716942599999,85183065.97732,39103,10641.519,40967616.55810,0
1716942600000,3851.74,3858.55,3845.14,3851.62,19198.654,1716944399999,73949705.90457,38355,9597.455,36967607.82895,0
1716944400000,3851.62,3857.49,3837.74,3845.57,44714.863,1716946199999,172069462.71227,58771,21170.678,81492254.36477,0
1716946200000,3845.57,3856.00,3837.28,3846.92,29711.449,1716947999999,114263114.74684,49576,14243.882,54786046.91965,0
1716948000000,3846.91,3864.58,3837.72,3863.00,41254.903,1716949799999,158836505.03850,54907,23924.043,92134377.74512,0
1716949800000,3863.00,3865.00,3848.70,3850.00,37162.626,1716951599999,143341850.04914,55011,16319.813,62948687.50020,0
1716951600000,3850.00,3864.73,3849.18,3852.60,34393.034,1716953399999,132601634.24414,51415,17558.447,67703042.11574,0
1716953400000,3852.57,3864.62,3846.19,3853.70,43247.413,1716955199999,166744703.20285,51546,21632.756,83404558.23558,0
1716955200000,3853.71,3891.79,3849.45,3885.42,77168.831,1716956999999,299071766.93514,102932,44193.269,171295626.20704,0
1716957000000,3885.41,3885.90,3865.07,3873.97,41454.813,1716958799999,160665329.42642,62928,18330.524,71039335.06430,0
1716958800000,3873.97,3876.00,3863.03,3871.07,22190.656,1716960599999,85880014.89065,44034,10209.422,39512602.33322,0
1716960600000,3871.08,3883.96,3869.01,3869.88,32257.864,1716962399999,125059456.60007,50939,15631.909,60616515.38698,0
1716962400000,3869.88,3873.99,3865.61,3873.32,26183.265,1716964199999,101338596.85362,42989,12064.766,46700064.44782,0
1716964200000,3873.31,3873.32,3858.47,3860.39,33226.505,1716965999999,128398842.63485,51036,13852.484,53534462.64418,0
1716966000000,3860.38,3862.00,3833.00,3836.41,73023.953,1716967799999,281016467.86190,93884,26620.600,102469115.04662,0
1716967800000,3836.40,3843.00,3822.60,3824.72,54552.452,1716969599999,209148805.54222,74535,22889.702,87792715.72375,0
1716969600000,3824.71,3830.69,3783.20,3807.08,148105.435,1716971399999,563057842.70866,204043,73638.442,279931246.15047,0
1716971400000,3807.08,3812.49,3793.37,3803.45,37995.829,1716973199999,144503660.82730,77368,19151.948,72843847.77769,0
1716973200000,3803.45,3819.48,3794.31,3803.37,55276.080,1716974999999,210475926.93084,89668,30287.778,115353319.09274,0
1716975000000,3803.37,3817.58,3795.00,3808.24,42852.146,1716976799999,163202508.97225,75834,24007.174,91456920.54129,0
1716976800000,3808.24,3824.90,3806.13,3823.11,50187.896,1716978599999,191673587.45711,74938,27101.116,103507864.33153,0
1716978600000,3823.11,3828.08,3813.13,3827.80,27037.302,1716980399999,103327456.65146,52767,13013.337,49740868.44373,0
1716980400000,3827.79,3832.30,3818.68,3831.26,29138.982,1716982199999,111480680.18715,58137,14538.330,55632378.57059,0
