open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1730160000000,2566.48,2570.00,2560.30,2569.52,39631.144,1730161799999,101670493.19751,62799,20359.747,52236222.08547,0
1730161800000,2569.53,2586.50,2566.10,2582.79,62142.795,1730163599999,160221231.85762,87331,36266.010,93515654.86774,0
1730163600000,2582.80,2596.32,2576.43,2584.26,63331.047,1730165399999,163701862.85441,98940,31999.994,82753643.61920,0
1730165400000,2584.25,2593.42,2578.90,2582.16,48535.028,1730167199999,125427129.39782,86733,25729.599,66492533.27352,0
1730167200000,2582.15,2626.26,2578.34,2623.80,229981.174,1730168999999,599790527.00473,282244,125495.419,327222225.74614,0
1730169000000,2623.80,2631.78,2608.14,2612.41,106861.508,1730170799999,279965591.10904,146313,48577.443,127300705.11993,0
1730170800000,2612.41,2623.26,2612.14,2615.00,49693.160,1730172599999,130061055.17352,72485,27054.162,70811637.05544,0
1730172600000,2615.01,2617.27,2605.00,2607.57,47831.769,1730174399999,124811061.51891,68641,20240.367,52814250.06635,0
1730174400000,2607.58,2621.75,2607.36,2618.35,53799.745,1730176199999,140749004.15438,57272,29352.461,76779213.98022,0
1730176200000,2618.35,2621.72,2616.51,2621.23,28361.336,1730177999999,74280570.34959,43226,15033.011,39374071.25580,0
1730178000000,2621.22,2622.99,2616.52,2618.50,32889.072,1730179799999,86165291.46803,50294,17514.812,45890777.73276,0
1730179800000,2618.50,2626.33,2616.67,2617.38,28827.067,1730181599999,75560105.55068,44821,12286.479,32214535.24048,0
1730181600000,2617.38,2624.17,2616.67,2617.82,27383.373,1730183399999,71755771.25260,42001,11350.633,29746568.18322,0
1730183400000,2617.81,2623.43,2617.61,2620.62,32777.790,1730185199999,85887857.08395,39796,22024.240,57711327.14525,0
1730185200000,2620.61,2621.67,2608.36,2617.20,47835.847,1730186999999,125054251.30536,61455,23526.472,61508308.38081,0
1730187000000,2617.20,2619.88,2610.01,2613.10,35526.690,1730188799999,92836177.95338,46488,15655.341,40910742.72259,0
1730188800000,2613.09,2621.84,2612.47,2621.54,22085.247,1730190599999,57785697.09261,43286,12382.548,32400099.51349,0
1730190600000,2621.54,2630.55,2618.78,2621.51,47566.681,1730192399999,124875282.35679,60172,23948.520,62872933.20217,0
1730192400000,2621.51,2626.72,2619.32,2626.72,34429.742,1730194199999,90293062.86568,43698,17301.006,45378033.95596,0
1730194200000,2626.71,2627.72,2620.76,2623.95,20785.582,1730195999999,54542945.11983,37101,8368.173,21959410.07676,0
1730196000000,2623.95,2626.10,2618.90,2621.46,20314.236,1730197799999,53265864.79787,37406,9747.312,25561920.77945,0
1730197800000,2621.46,2638.67,2621.40,2631.00,82755.093,1730199599999,217806847.16520,86489,45319.693,119269772.23628,0
1730199600000,2630.99,2634.03,2626.00,2627.26,23660.293,1730201399999,62239591.71427,45541,10736.165,28240843.37374,0
1730201400000,2627.27,2634.69,2623.05,2631.08,46028.290,1730203199999,120991295.06563,65018,24489.722,64369681.22279,0
1730203200000,2631.07,2633.61,2621.95,2627.29,32757.553,1730204999999,86033754.78216,54615,13419.161,35250891.54637,0
1730205000000,2627.29,2627.56,2615.80,2617.57,47280.571,1730206799999,123895352.94363,56178,18698.614,48998342.04912,0
1730206800000,2617.57,2622.94,2616.39,2621.06,29078.933,1730208599999,76168168.43312,45359,15538.372,40702101.62710,0
1730208600000,2621.06,2638.50,2610.93,2636.85,110055.031,1730210399999,288943849.42972,150718,54044.099,141931363.34937,0
1730210400000,2636.85,2644.96,2617.14,2624.42,124353.084,1730212199999,327348303.91853,176753,59128.676,155687409.43910,0
1730212200000,2624.41,2635.00,2622.20,2630.33,46023.117,1730213999999,121073353.12203,101623,21516.940,56605444.44202,0
1730214000000,2630.33,2638.50,2622.09,2631.05,64120.557,1730215799999,168671839.07406,104046,31591.494,83124349.97374,0
1730215800000,2631.06,2651.10,2624.00,2648.12,126078.713,1730217599999,332776481.65900,158335,67234.439,177519934.37846,0
1730217600000,2648.11,2656.00,2641.69,2650.80,122683.951,1730219399999,324895272.05219,156487,65789.907,174260752.06961,0
1730219400000,2650.79,2673.56,2641.69,2669.19,104413.293,1730221199999,277699650.71177,146155,55263.960,146999363.64305,0
1730221200000,2669.20,2681.83,2663.00,2669.87,97359.007,1730222999999,260144171.04002,144756,52543.042,140412155.87270,0
1730223000000,2669.87,2678.31,2654.02,2655.55,78956.734,1730224799999,210397776.81019,113621,33446.576,89107502.17875,0
1730224800000,2655.55,2661.11,2643.84,2651.83,67679.343,1730226599999,179575190.57227,96596,30720.132,81530617.49921,0
1730226600000,2651.83,2666.53,2650.42,2665.53,49569.163,1730228399999,131819526.56970,82329,26380.878,70158830.58472,0
1730228400000,2665.53,2674.59,2635.00,2636.83,145520.317,1730230199999,386277307.10202,180896,63374.647,168249890.06946,0
1730230200000,2636.82,2640.06,2621.25,2624.40,113627.480,1730231999999,298781251.91141,165006,48865.582,128515126.61476,0
1730232000000,2624.43,2628.78,2606.23,2613.00,155655.640,1730233799999,407312081.26246,158349,59493.604,155716102.00863,0
1730233800000,2613.00,2624.00,2607.71,2620.35,54048.360,1730235599999,141547138.26321,80865,32959.023,86318569.98030,0
1730235600000,2620.35,2629.92,2616.40,2625.07,47364.569,1730237399999,124303405.63032,53362,26379.047,69227323.04638,0
1730237400000,2625.07,2625.11,2617.52,2622.80,21917.900,1730239199999,57453970.47985,33568,9857.918,25842476.99447,0
1730239200000,2622.81,2636.39,2620.67,2633.44,37325.147,1730240999999,98148456.80580,53508,22856.694,60103625.19925,0
1730241000000,2633.44,2648.81,2632.64,2636.67,53481.596,1730242799999,141246898.70845,74302,26042.947,68782169.52764,0
1730242800000,2636.66,2640.19,2630.67,2633.50,29233.514,1730244599999,77030919.66216,53894,12659.601,33359860.13188,0
1730244600000,2633.51,2640.44,2632.74,2639.28,19807.998,1730246399999,52234732.36257,38688,10843.406,28593115.58362,0
