open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1719619200000,3379.50,3386.57,3378.87,3384.04,27112.103,1719620999999,91712835.95787,44753,14778.749,49991635.44204,0
1719621000000,3384.05,3390.99,3381.77,3388.73,30574.489,1719622799999,103546472.23149,40351,16450.837,55712211.94377,0
1719622800000,3388.73,3394.56,3386.06,3389.21,19438.281,1719624599999,65901866.19441,30295,9260.558,31396942.10618,0
1719624600000,3389.21,3399.42,3389.21,3395.13,17757.129,1719626399999,60295428.23963,28244,10149.273,34464454.11937,0
1719626400000,3395.13,3399.03,3388.38,3391.74,27979.366,1719628199999,94928992.98761,37978,11249.874,38166578.97692,0
1719628200000,3391.74,3392.38,3383.08,3387.76,19045.326,1719629999999,64508438.30362,24554,7772.943,26326128.53182,0
1719630000000,3387.76,3389.86,3383.37,3386.77,15317.218,1719631799999,51876853.00362,23078,8037.441,27221691.44237,0
1719631800000,3386.77,3388.23,3382.56,3385.07,21609.351,1719633599999,73156895.21393,23241,11396.998,38588035.75321,0
1719633600000,3385.07,3385.68,3381.64,3384.35,19509.863,1719635399999,66018160.61386,19040,10063.924,34055293.77075,0
1719635400000,3384.34,3390.66,3383.85,3387.90,14100.303,1719637199999,47757038.39244,20554,8500.029,28787304.89186,0
1719637200000,3387.89,3389.31,3383.84,3384.72,8527.342,1719638999999,28879041.31495,16602,4266.296,14449208.73080,0
1719639000000,3384.72,3385.58,3380.09,3384.43,10161.520,1719640799999,34374812.90294,18225,4305.846,14565832.42308,0
1719640800000,3384.43,3386.00,3381.99,3384.11,6834.200,1719642599999,23124283.18961,13690,3515.900,11896661.71452,0
1719642600000,3384.11,3387.62,3383.64,3386.25,14502.114,1719644399999,49103239.60407,19339,6925.776,23450910.66220,0
1719644400000,3386.25,3399.54,3386.25,3399.17,30581.111,1719646199999,103775382.05307,35007,17244.295,58513347.35046,0
1719646200000,3399.17,3407.00,3396.61,3398.18,33198.614,1719647999999,112937788.74201,40085,14769.965,50252816.09073,0
1719648000000,3398.18,3399.50,3391.41,3392.22,24840.345,1719649799999,84353401.11083,25417,10715.119,36389755.07375,0
1719649800000,3392.22,3394.33,3386.18,3391.00,16305.011,1719651599999,55268690.81410,25212,6807.812,23077875.78463,0
1719651600000,3391.00,3391.95,3388.69,3389.85,7987.316,1719653399999,27077217.95178,15969,3935.869,13342751.03189,0
1719653400000,3389.86,3393.28,3385.16,3393.28,13317.519,1719655199999,45128267.68236,22354,6936.079,23509121.58481,0
1719655200000,3393.28,3395.22,3391.98,3394.40,7820.357,1719656999999,26539255.56730,17168,4320.822,14663517.87476,0
1719657000000,3394.41,3400.00,3394.03,3395.43,14630.325,1719658799999,49704381.63483,23147,7063.076,23997008.26805,0
1719658800000,3395.43,3399.47,3392.48,3399.23,10811.216,1719660599999,36707615.84120,19948,5912.460,20073840.31550,0
1719660600000,3399.23,3405.00,3398.50,3398.69,25410.338,1719662399999,86454720.14129,36102,12438.087,42319470.82627,0
1719662400000,3398.69,3401.99,3396.35,3396.35,12113.467,1719664199999,41165404.56263,22718,4810.764,16349868.23357,0
1719664200000,3396.35,3397.44,3388.20,3390.88,15269.678,1719665999999,51793482.72315,26764,6963.541,23618296.47076,0
1719666000000,3390.88,3394.83,3389.07,3391.84,13979.125,1719667799999,47414644.19203,22273,8715.710,29564160.61501,0
1719667800000,3391.84,3399.59,3390.82,3392.04,15512.047,1719669599999,52670262.48603,26015,7019.256,23835677.83111,0
1719669600000,3392.04,3394.50,3381.21,3384.21,30868.744,1719671399999,104541230.37156,37857,11782.679,39903352.36934,0
1719671400000,3384.21,3387.63,3382.26,3386.84,16594.277,1719673199999,56169207.28391,27772,8139.211,27553063.65656,0
1719673200000,3386.83,3388.73,3381.61,3385.60,11024.326,1719674999999,37312819.79807,22868,6011.853,20349043.52316,0
1719675000000,3385.60,3394.56,3385.60,3393.46,16373.138,1719676799999,55509422.06544,30928,9924.497,33644005.41018,0
1719676800000,3393.46,3395.57,3383.73,3384.00,14616.117,1719678599999,49545682.88953,29818,7012.022,23772580.30211,0
1719678600000,3384.01,3386.83,3382.00,3385.39,8203.805,1719680399999,27762100.85019,23267,4154.764,14059870.19159,0
1719680400000,3385.40,3385.98,3380.22,3385.98,8366.260,1719682199999,28301876.66666,19727,4462.084,15095628.55110,0
1719682200000,3385.98,3389.60,3384.64,3388.14,6699.669,1719683999999,22694786.03835,19565,3874.492,13124630.09321,0
1719684000000,3388.14,3388.88,3382.79,3384.73,8121.780,1719685799999,27499055.53046,19062,4300.117,14558826.07109,0
1719685800000,3384.73,3389.59,3382.63,3389.00,5811.634,1719687599999,19674574.85455,19102,3815.132,12916570.59217,0
1719687600000,3389.01,3391.42,3386.83,3387.12,7844.986,1719689399999,26586937.43781,18784,5028.674,17042950.66950,0
1719689400000,3387.12,3387.12,3375.00,3386.20,21231.237,1719691199999,71775233.81264,30051,9433.131,31893921.27897,0
1719691200000,3386.20,3388.71,3381.46,3386.78,10073.338,1719692999999,34102850.08457,18251,5094.073,17247680.73235,0
1719693000000,3386.77,3386.94,3378.07,3383.00,12712.679,1719694799999,42990956.80347,26014,6414.376,21693122.10030,0
1719694800000,3383.00,3387.24,3376.82,3383.92,11840.079,1719696599999,40032359.06325,24540,6598.698,22311276.66829,0
1719696600000,3383.91,3387.00,3381.58,3387.00,4814.544,1719698399999,16295055.07579,18838,2817.915,9537317.06760,0
1719698400000,3386.99,3388.00,3377.97,3380.90,8971.649,1719700199999,30352151.41283,26086,4362.843,14759292.02728,0
1719700200000,3380.90,3381.68,3369.07,3375.59,24963.853,1719701999999,84225762.28625,31540,9868.628,33294294.77746,0
