open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1703808000000,2345.98,2364.80,2345.87,2355.58,67838.396,1703809799999,159765517.03953,59360,37471.882,88250737.59358,0
1703809800000,2355.58,2366.61,2343.90,2345.91,115471.215,1703811599999,271961339.76251,95886,59558.912,140324396.74796,0
1703811600000,2345.91,2351.58,2319.80,2338.60,208900.372,1703813399999,488172713.24315,158747,95442.491,223139863.61549,0
1703813400000,2338.60,2342.55,2311.07,2335.74,217596.517,1703815199999,505828710.52851,165045,99091.546,230422906.64779,0
1703815200000,2335.75,2339.11,2326.19,2329.28,65549.529,1703816999999,153022343.27391,55047,28832.062,67324809.68502,0
1703817000000,2329.28,2345.94,2328.15,2344.60,62471.147,1703818799999,146160128.36516,50065,36497.969,85390250.24480,0
1703818800000,2344.60,2352.20,2341.80,2350.59,42644.366,1703820599999,100045451.91344,41732,24965.201,58572665.52917,0
1703820600000,2350.59,2360.55,2349.08,2354.15,62296.808,1703822399999,146761508.93751,53675,33493.915,78908771.87974,0
1703822400000,2354.15,2357.68,2346.35,2347.19,36278.358,1703824199999,85314809.91104,36257,14828.007,34872012.46017,0
1703824200000,2347.19,2355.95,2346.03,2353.92,21597.484,1703825999999,50790539.43401,30094,11526.463,27105466.58992,0
1703826000000,2353.92,2354.78,2346.01,2346.01,20007.411,1703827799999,47017307.11986,26113,8023.736,18855098.44096,0
1703827800000,2346.02,2361.41,2343.95,2360.21,39344.474,1703829599999,92604206.16509,38705,25259.406,59461600.14145,0
1703829600000,2360.20,2360.77,2353.92,2357.59,21379.426,1703831399999,50408920.88050,27623,11110.148,26196163.94764,0
1703831400000,2357.58,2362.78,2352.56,2352.69,31538.203,1703833199999,74331732.70255,36248,16646.501,39235661.01041,0
1703833200000,2352.68,2361.04,2349.75,2359.99,59700.281,1703834999999,140693737.97292,48612,28503.347,67185950.79064,0
1703835000000,2359.99,2363.05,2333.45,2335.43,132129.539,1703836799999,310054354.78800,97455,55735.983,130763502.25009,0
1703836800000,2335.43,2350.31,2334.10,2337.99,74456.916,1703838599999,174346684.81570,64728,42473.602,99457248.60699,0
1703838600000,2338.00,2352.78,2337.03,2348.22,41341.581,1703840399999,97051521.16734,42415,22411.961,52613511.75531,0
1703840400000,2348.22,2361.00,2341.21,2360.51,49817.016,1703842199999,117193294.65770,46933,25487.196,59961292.93801,0
1703842200000,2360.51,2376.00,2357.09,2369.95,69614.705,1703843999999,164638901.42036,66074,39282.370,92930129.70264,0
1703844000000,2369.95,2370.76,2363.33,2368.34,46250.799,1703845799999,109507417.81328,40523,22044.389,52196817.27074,0
1703845800000,2368.35,2372.50,2366.72,2367.79,38552.511,1703847599999,91351702.26538,35164,20152.770,47755792.86918,0
1703847600000,2367.78,2381.05,2366.27,2374.82,55647.926,1703849399999,132167591.56717,53318,27771.497,65955455.75882,0
1703849400000,2374.81,2379.67,2369.70,2374.65,40766.540,1703851199999,96770323.98529,39575,19014.315,45141773.46475,0
1703851200000,2374.66,2377.72,2367.90,2368.83,32583.980,1703852999999,77281743.82114,33704,16070.394,38119900.26299,0
1703853000000,2368.83,2369.88,2360.01,2366.53,50286.600,1703854799999,118902817.13180,46247,24149.325,57104666.54998,0
1703854800000,2366.54,2369.07,2352.78,2355.90,62552.871,1703856599999,147631262.00770,53412,24925.536,58841421.68053,0
1703856600000,2355.90,2372.16,2354.86,2365.90,59590.961,1703858399999,140929102.52325,50096,32796.869,77554519.59328,0
1703858400000,2365.89,2369.90,2361.84,2365.61,25458.631,1703860199999,60237102.73113,31969,13593.071,32161906.04020,0
1703860200000,2365.62,2388.74,2361.01,2384.22,125680.574,1703861999999,298935754.30387,106676,66349.837,157806183.10489,0
1703862000000,2384.22,2385.00,2350.09,2355.55,132326.414,1703863799999,312712926.06929,110150,55529.204,131239300.27689,0
1703863800000,2355.55,2358.99,2318.00,2328.84,263347.181,1703865599999,615086262.97284,195827,121365.681,283401376.10739,0
1703865600000,2328.84,2335.56,2289.82,2314.63,340692.998,1703867399999,788580592.50449,243366,157860.312,365574607.31639,0
1703867400000,2314.63,2322.01,2299.06,2300.87,110274.274,1703869199999,254853707.25702,116406,53489.346,123641433.18917,0
1703869200000,2300.72,2312.14,2290.78,2300.75,159296.275,1703870999999,366866176.01900,136407,79370.102,182835871.91989,0
1703871000000,2300.75,2304.44,2286.34,2300.95,112095.651,1703872799999,257383881.81966,101322,57654.090,132411230.78381,0
1703872800000,2300.95,2309.29,2299.12,2303.38,53229.851,1703874599999,122645623.50700,57601,28562.411,65812215.80868,0
1703874600000,2303.39,2319.22,2303.07,2317.83,72568.486,1703876399999,167918354.28520,64374,43555.220,100787479.28122,0
1703876400000,2317.83,2320.70,2309.40,2317.57,36157.589,1703878199999,83706223.11508,40029,18407.515,42619428.41180,0
1703878200000,2317.62,2321.59,2315.61,2318.84,34918.403,1703879999999,80971825.70786,37328,15263.162,35393140.42542,0
1703880000000,2318.84,2319.61,2304.96,2308.27,43115.248,1703881799999,99649019.75362,40826,18027.526,41666417.61767,0
1703881800000,2308.27,2309.31,2301.23,2307.53,36768.767,1703883599999,84782412.60916,38563,18525.851,42720215.83305,0
1703883600000,2307.52,2313.17,2297.60,2301.09,49624.676,1703885399999,114426383.98512,49850,23569.056,54354642.17561,0
1703885400000,2301.09,2304.29,2275.02,2287.52,119596.951,1703887199999,273799427.25834,95057,48732.567,111614752.82702,0
1703887200000,2287.75,2288.58,2254.72,2280.06,184328.451,1703888999999,418738895.96380,148285,78606.538,178643843.40877,0
1703889000000,2280.05,2286.08,2271.21,2283.00,61764.862,1703890799999,140914945.00794,57915,32316.967,73734410.66426,0
1703890800000,2283.00,2295.96,2282.52,2295.43,45209.469,1703892599999,103569943.42993,45642,25005.086,57281093.11949,0
1703892600000,2295.44,2301.77,2294.10,2300.60,34091.296,1703894399999,78343843.06252,36800,17979.992,41321320.79863,0
