open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1722211200000,3268.03,3305.70,3265.18,3294.97,101232.420,1722212999999,332919701.88940,124551,55978.007,184123574.77030,0
1722213000000,3294.99,3297.00,3278.49,3285.13,42412.543,1722214799999,139479778.92311,67460,18550.813,61014709.72027,0
1722214800000,3285.14,3289.88,3269.75,3288.22,33812.950,1722216599999,110925352.02875,61616,16719.647,54854816.79604,0
1722216600000,3288.23,3293.43,3276.00,3276.28,24529.904,1722218399999,80573934.90716,43606,12234.254,40196086.08292,0
1722218400000,3276.28,3313.00,3275.55,3307.44,74543.277,1722220199999,246072193.88320,91716,43611.624,143942449.05640,0
1722220200000,3307.44,3330.64,3306.79,3329.79,86162.691,1722221999999,285950419.83804,110472,42382.658,140680619.74385,0
1722222000000,3329.78,3356.64,3326.76,3347.77,106266.005,1722223799999,355424258.95301,139891,56449.857,188789755.93742,0
1722223800000,3347.77,3351.74,3338.35,3348.01,39487.819,1722225599999,132061715.61410,57091,17752.479,59372412.44784,0
1722225600000,3348.01,3366.00,3340.30,3345.01,71801.290,1722227399999,240705934.17273,89953,37366.229,125309222.30013,0
1722227400000,3345.00,3350.38,3338.63,3342.80,24977.802,1722229199999,83516744.71042,40630,12750.699,42639491.61937,0
1722229200000,3342.79,3347.20,3341.33,3345.00,20769.500,1722230999999,69459473.19773,35362,11725.144,39212389.18552,0
1722231000000,3345.01,3374.98,3345.00,3366.50,46192.043,1722232799999,155132573.12555,60693,29469.650,98982143.71022,0
1722232800000,3366.49,3386.11,3363.40,3383.60,88236.113,1722234599999,297751687.82662,96497,50264.273,169648920.81152,0
1722234600000,3383.61,3388.00,3369.74,3372.42,61112.739,1722236399999,206412530.98317,70030,26083.347,88116084.73402,0
1722236400000,3372.42,3378.65,3365.80,3370.28,55891.392,1722238199999,188467530.45401,55580,27542.888,92876627.97584,0
1722238200000,3370.28,3372.22,3362.06,3366.01,29151.293,1722239999999,98136501.20989,37304,14782.379,49767975.95904,0
1722240000000,3366.00,3378.00,3364.17,3372.80,30839.082,1722241799999,103975976.52119,44203,17183.715,57932776.40997,0
1722241800000,3372.80,3374.41,3360.39,3372.07,25885.625,1722243599999,87206837.24520,41828,11930.531,40197174.30126,0
1722243600000,3372.07,3387.99,3371.84,3387.19,51204.365,1722245399999,173146765.66042,55995,25531.461,86337800.13746,0
1722245400000,3387.22,3396.07,3379.04,3393.47,42622.782,1722247199999,144386015.10953,55711,21383.500,72452981.77511,0
