open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1709164800000,3387.07,3439.08,3379.80,3432.49,164193.552,1709166599999,559186570.51387,226107,78178.690,266304475.14288,0
1709166600000,3432.50,3475.68,3428.80,3456.72,175682.338,1709168399999,607273625.54062,241736,83174.242,287490438.88237,0
1709168400000,3456.74,3458.83,3415.40,3422.56,125405.833,1709170199999,430947799.79442,160533,52586.179,180727913.15555,0
1709170200000,3422.55,3434.38,3415.24,3423.62,51378.437,1709171999999,175976213.78885,98947,26968.033,92378394.95450,0
1709172000000,3423.61,3435.64,3400.05,3405.81,78540.907,1709173799999,268080221.23001,119072,35630.963,121647701.31553,0
1709173800000,3405.81,3412.48,3392.01,3407.51,58175.940,1709175599999,198028986.83085,95455,27175.745,92523831.18789,0
1709175600000,3407.51,3422.65,3398.15,3403.00,56459.347,1709177399999,192660903.71741,93789,29487.316,100644486.83176,0
1709177400000,3403.00,3415.00,3395.16,3411.47,35355.644,1709179199999,120458974.53138,73654,17805.522,60671824.36329,0
1709179200000,3411.48,3432.96,3401.48,3423.59,59618.236,1709180999999,203955612.03361,97220,31799.296,108791338.36357,0
1709181000000,3423.59,3459.25,3421.11,3449.42,81298.834,1709182799999,280087145.73824,153025,41043.052,141384694.47207,0
1709182800000,3449.43,3463.99,3433.13,3461.28,61684.807,1709184599999,212527776.43848,114977,30857.476,106336825.78346,0
1709184600000,3461.28,3478.77,3447.74,3472.77,75610.270,1709186399999,261779808.67929,133430,37783.367,130861328.48206,0
1709186400000,3472.77,3490.51,3469.23,3474.28,88992.983,1709188199999,309595200.51828,152468,43452.097,151177423.70942,0
1709188200000,3474.29,3499.00,3467.93,3483.87,96141.890,1709189999999,335117086.46498,171626,46251.864,161244381.05013,0
1709190000000,3483.84,3484.47,3450.76,3460.24,89977.024,1709191799999,312007297.87952,136117,40989.392,142134506.17862,0
1709191800000,3460.25,3476.71,3459.24,3471.58,45405.209,1709193599999,157541620.82220,87756,24087.128,83574205.41917,0
1709193600000,3471.59,3508.30,3460.34,3468.98,167848.344,1709195399999,585316225.21564,240610,85098.556,296787630.67732,0
1709195400000,3468.98,3487.67,3463.94,3483.71,70453.023,1709197199999,244813035.81063,127768,36722.978,127619469.92377,0
1709197200000,3483.72,3497.44,3453.56,3458.01,99739.837,1709198999999,346381800.24941,143030,43990.507,152814075.40189,0
1709199000000,3458.02,3475.75,3445.80,3468.24,62678.983,1709200799999,217021904.88958,113343,31428.852,108839814.21817,0
1709200800000,3468.24,3469.43,3448.00,3461.28,49348.420,1709202599999,170655967.83751,102270,24653.881,85260251.91021,0
1709202600000,3461.27,3484.76,3454.18,3477.82,51461.269,1709204399999,178768920.72174,88122,27764.867,96444118.99487,0
1709204400000,3477.82,3496.29,3470.64,3492.59,50755.343,1709206199999,176922799.72918,89983,25736.930,89721775.89696,0
1709206200000,3492.59,3531.00,3486.87,3520.55,202936.106,1709207999999,714012465.59639,256872,106878.633,375997279.44539,0
1709208000000,3520.55,3524.76,3447.02,3478.44,201544.003,1709209799999,701251516.77245,258446,98341.801,342132828.32898,0
1709209800000,3478.44,3480.91,3465.00,3468.91,57711.061,1709211599999,200325598.10207,106086,26481.833,91922930.52940,0
1709211600000,3468.91,3484.02,3451.10,3461.19,78989.798,1709213399999,273917416.21684,125140,37255.513,129220299.09016,0
1709213400000,3461.20,3497.63,3460.87,3482.84,101586.078,1709215199999,353861479.80521,164940,53416.725,186054864.73202,0
1709215200000,3482.83,3494.88,3476.00,3488.88,53610.454,1709216999999,186805283.03140,97543,27366.409,95368424.95684,0
1709217000000,3488.88,3502.88,3453.21,3472.76,168293.674,1709218799999,584734869.83489,211533,80353.396,279175552.08990,0
1709218800000,3472.76,3489.34,3458.66,3483.71,84655.734,1709220599999,294053411.62148,122154,41772.252,145092792.58286,0
1709220600000,3483.70,3489.12,3463.59,3470.42,57496.340,1709222399999,199839686.82451,96238,25119.663,87310641.60856,0
1709222400000,3470.42,3473.93,3432.11,3443.73,153058.915,1709224199999,528104773.60511,206038,65308.626,225331974.31606,0
1709224200000,3443.74,3456.62,3399.40,3444.57,205995.619,1709225999999,706028408.84146,237172,92456.939,317081396.85542,0
1709226000000,3444.58,3457.28,3423.48,3429.45,85941.163,1709227799999,295656092.60092,133986,43107.390,148325944.59480,0
1709227800000,3429.61,3432.69,3352.00,3388.95,330156.726,1709229599999,1118892915.94081,338059,151145.893,512309316.29939,0
1709229600000,3388.95,3416.29,3388.90,3392.11,106245.500,1709231399999,361551839.56356,161735,53615.318,182455811.18277,0
1709231400000,3392.12,3396.07,3355.70,3375.09,127627.458,1709233199999,430401673.18960,188649,60843.616,205203573.54395,0
1709233200000,3375.09,3390.22,3363.05,3388.13,61776.442,1709234999999,208645230.28855,117053,31108.999,105094887.70700,0
1709235000000,3388.14,3409.95,3383.10,3408.27,72022.578,1709236799999,245005416.55344,119802,38414.405,130686803.74413,0
1709236800000,3408.39,3419.15,3399.56,3417.09,55735.251,1709238599999,190071657.10750,93756,27973.079,95401796.93897,0
1709238600000,3417.09,3419.67,3397.12,3397.55,57747.089,1709240399999,196828997.62602,79487,21829.585,74414926.90901,0
1709240400000,3397.55,3402.49,3335.01,3338.62,178393.112,1709242199999,599190473.79311,227872,81177.669,272653828.15876,0
1709242200000,3338.62,3353.63,3311.16,3350.54,139764.410,1709243999999,465759185.08343,193566,68824.992,229412501.24795,0
1709244000000,3350.55,3360.93,3317.10,3318.96,74496.686,1709245799999,248956010.26673,121406,35697.368,119333965.80435,0
1709245800000,3318.95,3335.84,3300.39,3325.39,96585.884,1709247599999,320408381.31454,137579,47130.306,156365052.65075,0
1709247600000,3325.40,3355.90,3321.78,3354.80,53890.535,1709249399999,180150549.25270,91721,28253.089,94445639.52448,0
1709249400000,3354.81,3362.20,3341.50,3343.15,38799.821,1709251199999,130117120.33786,69319,17187.853,57660615.59779,0
