open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1706486400000,2256.00,2257.58,2249.58,2256.39,28749.732,1706488199999,64766245.02004,37025,13283.524,29922587.56720,0
1706488200000,2256.39,2261.41,2255.29,2256.60,30246.165,1706489999999,68303658.08228,34861,15765.133,35603831.69417,0
1706490000000,2256.60,2271.41,2256.02,2269.35,43826.141,1706491799999,99272788.01289,47096,26482.347,59991726.07891,0
1706491800000,2269.35,2274.10,2263.04,2263.72,39646.791,1706493599999,89947532.94763,49423,17475.989,39656720.87695,0
1706493600000,2263.72,2268.79,2262.04,2267.59,20041.331,1706495399999,45411408.10468,29802,9373.068,21238365.68811,0
1706495400000,2267.59,2270.99,2265.99,2268.05,13148.029,1706497199999,29818397.13669,21964,5825.073,13211941.09751,0
1706497200000,2268.06,2277.08,2267.84,2276.41,30602.031,1706498999999,69584475.90018,39064,16727.474,38034569.70449,0
1706499000000,2276.41,2277.49,2270.00,2270.98,21773.550,1706500799999,49503331.12351,35767,8132.795,18494863.85560,0
1706500800000,2270.97,2273.55,2267.01,2267.81,16448.940,1706502599999,37338482.51476,26975,6942.819,15762826.08109,0
1706502600000,2267.81,2269.46,2265.40,2267.77,9689.135,1706504399999,21970765.61772,19239,4735.744,10739281.63649,0
1706504400000,2267.77,2269.61,2262.67,2265.85,15594.432,1706506199999,35337875.92662,25720,6620.853,15005631.12006,0
1706506200000,2265.85,2266.72,2262.54,2263.85,11249.437,1706507999999,25472611.64929,18732,5495.733,12443971.35066,0
1706508000000,2263.86,2269.52,2263.52,2267.00,18724.658,1706509799999,42442660.36423,24550,11555.357,26193149.60815,0
1706509800000,2267.00,2268.34,2264.64,2266.50,9741.534,1706511599999,22077937.19467,17832,4401.083,9975209.98830,0
1706511600000,2266.50,2270.33,2266.49,2268.81,16897.280,1706513399999,38338178.66059,24579,10866.020,24654255.34527,0
1706513400000,2268.81,2269.35,2256.94,2258.50,38169.174,1706515199999,86278494.18360,49170,14173.593,32036393.52757,0
1706515200000,2258.50,2260.72,2253.19,2256.80,35925.549,1706516999999,81067959.90667,49518,18783.251,42386364.26362,0
1706517000000,2256.81,2264.23,2255.63,2262.57,22025.427,1706518799999,49797414.97559,34582,13602.450,30756055.32869,0
1706518800000,2262.57,2267.00,2254.43,2263.38,32456.635,1706520599999,73363046.86315,45873,18216.717,41181813.18208,0
1706520600000,2263.38,2273.23,2263.37,2273.23,33576.669,1706522399999,76206283.99283,49347,19438.132,44115557.83176,0
1706522400000,2273.23,2276.80,2268.90,2269.58,36017.366,1706524199999,81877262.52354,51942,17660.436,40153563.95003,0
1706524200000,2269.58,2276.00,2269.10,2274.95,27142.166,1706525999999,61707171.85277,34091,16031.532,36443919.55205,0
1706526000000,2274.95,2275.73,2270.14,2270.56,18457.540,1706527799999,41956021.48960,27107,7775.487,17676352.18275,0
1706527800000,2270.56,2271.42,2260.61,2263.88,32103.836,1706529599999,72738865.62234,43205,14055.066,31846018.84161,0
1706529600000,2263.89,2268.89,2262.10,2262.77,23302.319,1706531399999,52785578.23198,35327,13250.937,30020501.56797,0
1706531400000,2262.77,2263.83,2254.34,2255.02,46247.306,1706533199999,104422832.79647,58329,20374.630,46003962.11715,0
1706533200000,2255.02,2255.61,2245.55,2247.28,54986.290,1706534999999,123744849.59579,71580,24030.848,54079892.36319,0
1706535000000,2247.28,2249.35,2238.03,2243.60,76722.561,1706536799999,172151084.70659,88222,36492.045,81893492.02727,0
1706536800000,2243.59,2251.76,2242.01,2245.97,38719.169,1706538599999,86996831.87626,55295,21274.281,47804017.86722,0
1706538600000,2245.98,2247.27,2232.00,2243.23,67676.112,1706540399999,151611312.44583,84374,29657.456,66446531.35383,0
1706540400000,2243.23,2252.22,2238.50,2248.93,46573.570,1706542199999,104622119.65757,65777,25233.173,56686901.29485,0
1706542200000,2248.92,2275.50,2246.75,2274.99,112559.460,1706543999999,254777751.76945,123308,62217.213,140844389.88752,0
1706544000000,2274.99,2286.04,2264.57,2283.32,160488.748,1706545799999,365420858.00942,178626,82546.465,188009557.78065,0
1706545800000,2283.29,2302.54,2276.84,2298.85,150629.189,1706547599999,345141348.17145,173196,77824.884,178347926.83129,0
1706547600000,2298.84,2314.75,2295.40,2302.75,147520.566,1706549399999,339869835.54972,165001,75325.308,173574606.82052,0
1706549400000,2302.74,2310.91,2295.96,2302.17,59966.281,1706551199999,138097089.64778,83249,28678.000,66064210.63272,0
1706551200000,2302.17,2313.68,2300.39,2308.39,50997.243,1706552999999,117663355.43279,72595,27140.430,62634575.90716,0
1706553000000,2308.38,2309.11,2294.16,2299.54,43364.265,1706554799999,99709008.69281,60571,19401.808,44608892.86725,0
1706554800000,2299.53,2304.57,2297.60,2299.47,24443.396,1706556599999,56247022.43414,42819,12297.975,28301082.44560,0
1706556600000,2299.54,2303.38,2290.86,2292.40,25589.711,1706558399999,58785266.05257,38809,10093.763,23196372.86460,0
1706558400000,2292.41,2300.59,2291.20,2293.76,21977.886,1706560199999,50458827.42876,39713,11975.614,27495656.68176,0
1706560200000,2293.75,2303.79,2292.27,2302.08,23326.788,1706561999999,53620700.62902,36506,13403.453,30809574.81935,0
1706562000000,2302.07,2309.50,2300.08,2308.26,27682.167,1706563799999,63829740.95615,41694,14980.786,34545109.32699,0
1706563800000,2308.25,2310.92,2303.46,2305.26,24427.344,1706565599999,56339648.86396,35878,10239.196,23617074.28771,0
1706565600000,2305.26,2318.98,2304.57,2315.44,37072.993,1706567399999,85711026.72153,48131,22492.836,52006319.15143,0
1706567400000,2315.45,2322.53,2309.44,2310.54,41019.579,1706569199999,94996523.30591,50810,20174.366,46740877.49371,0
1706569200000,2310.54,2315.78,2309.09,2311.40,27683.753,1706570999999,63998657.94236,35376,13318.359,30791207.40651,0
1706571000000,2311.40,2317.62,2311.08,2316.52,24031.146,1706572799999,55612149.44305,33322,12694.552,29380426.99319,0
