open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1703894400000,2300.61,2306.73,2296.11,2303.83,44025.979,1703896199999,101311800.37352,39937,23836.792,54855028.21007,0
1703896200000,2303.83,2306.66,2299.22,2304.12,20623.782,1703897999999,47497282.35216,24461,8217.564,18927259.82248,0
1703898000000,2304.12,2309.02,2301.96,2307.46,24452.014,1703899799999,56374406.18973,24708,11803.029,27213594.29568,0
1703899800000,2307.46,2311.62,2306.18,2309.04,20331.734,1703901599999,46942930.59808,23132,10723.339,24760325.27700,0
1703901600000,2309.04,2309.90,2303.34,2307.00,22409.422,1703903399999,51693744.92710,20771,10779.150,24864395.61223,0
1703903400000,2307.00,2307.21,2291.12,2295.63,48898.944,1703905199999,112327152.62344,46530,20888.615,47972019.47569,0
1703905200000,2295.64,2302.19,2289.11,2290.38,31368.816,1703906999999,72036646.42191,32944,14130.886,32454614.02640,0
1703907000000,2290.38,2301.79,2289.83,2300.16,27118.249,1703908799999,62289036.04319,28560,15527.516,35667051.46769,0
1703908800000,2300.17,2306.31,2299.07,2302.98,20516.826,1703910599999,47244503.14459,23948,10251.453,23605422.29276,0
1703910600000,2302.98,2309.30,2301.02,2303.30,18233.171,1703912399999,42020236.70517,21640,8938.533,20603383.06560,0
1703912400000,2303.30,2310.30,2302.00,2305.14,21531.625,1703914199999,49654979.54648,24223,12116.833,27943431.92339,0
1703914200000,2305.13,2310.00,2304.00,2309.99,14885.623,1703915999999,34343430.76281,17578,8707.787,20091269.63821,0
1703916000000,2309.99,2311.00,2302.04,2304.89,23707.837,1703917799999,54681603.26708,24487,10175.907,23470837.98037,0
1703917800000,2304.91,2308.56,2303.02,2304.98,12130.563,1703919599999,27967823.84521,15579,6872.586,15846332.46648,0
1703919600000,2304.98,2308.40,2302.13,2303.54,17206.365,1703921399999,39664294.48340,20878,8540.568,19687212.91966,0
1703921400000,2303.54,2303.82,2295.61,2297.92,32729.260,1703923199999,75246161.72376,30045,12912.012,29685303.83813,0
1703923200000,2297.91,2298.98,2281.63,2285.22,85100.457,1703924999999,194956236.07892,72912,39537.552,90591417.53987,0
1703925000000,2285.22,2289.27,2271.26,2275.39,99314.947,1703926799999,226373923.68080,81496,46612.918,106261911.02402,0
1703926800000,2275.38,2284.24,2272.13,2277.58,62072.571,1703928599999,141468419.37733,53623,35479.622,80864311.52628,0
1703928600000,2277.58,2285.26,2269.15,2279.45,56878.309,1703930399999,129531004.82529,51791,28409.275,64719336.07408,0
1703930400000,2279.46,2284.99,2278.78,2284.99,25821.609,1703932199999,58926232.22357,28951,13567.658,30961206.37213,0
1703932200000,2284.99,2291.24,2282.54,2287.79,44136.789,1703933999999,100952340.89727,38418,23503.123,53757836.94290,0
1703934000000,2287.81,2295.00,2287.68,2288.71,37404.196,1703935799999,85709361.29473,34049,18030.054,41317060.06074,0
1703935800000,2288.72,2291.77,2285.50,2289.89,27555.361,1703937599999,63052731.83399,25223,14909.169,34116153.90271,0
1703937600000,2289.89,2299.15,2288.79,2297.31,39705.984,1703939399999,91121665.57639,35928,21657.025,49698627.38432,0
1703939400000,2297.31,2299.99,2285.98,2293.79,47431.171,1703941199999,108725007.50153,37080,19603.385,44936361.03753,0
1703941200000,2293.78,2296.33,2284.19,2288.90,33131.963,1703942999999,75855279.68799,32191,17001.046,38922782.83946,0
1703943000000,2288.90,2297.22,2287.08,2295.90,27355.218,1703944799999,62745921.24501,29820,15360.425,35233795.41467,0
1703944800000,2295.90,2304.30,2290.15,2294.37,67852.475,1703946599999,155903163.67279,57646,30285.835,69587809.86814,0
1703946600000,2294.38,2304.56,2293.24,2303.35,38286.547,1703948399999,88043880.78783,33804,20869.884,47997314.88260,0
1703948400000,2303.34,2307.31,2299.20,2302.20,40608.661,1703950199999,93532139.51500,37354,19093.829,43978940.97579,0
1703950200000,2302.21,2318.94,2300.14,2314.41,72857.311,1703951999999,168373610.40454,62301,40456.468,93496976.47619,0
1703952000000,2314.39,2325.00,2314.39,2317.74,79260.918,1703953799999,183889223.14806,71677,39901.959,92583430.54362,0
