open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1724976000000,2526.28,2526.90,2517.69,2523.60,21399.682,1724977799999,53976411.31657,38483,11850.802,29891313.93266,0
1724977800000,2523.60,2534.28,2516.00,2521.80,40322.998,1724979599999,101825241.95298,55858,19202.276,48496187.93727,0
1724979600000,2521.80,2528.87,2516.61,2519.46,35082.219,1724981399999,88508532.63493,46137,14475.428,36522748.32489,0
1724981400000,2519.41,2527.40,2513.56,2523.74,24131.627,1724983199999,60854861.08127,42962,11040.213,27849873.36991,0
1724983200000,2523.74,2528.07,2511.42,2519.92,29015.628,1724984999999,73115427.71273,42821,13950.608,35155013.08743,0
1724985000000,2519.92,2522.15,2510.62,2514.00,22733.405,1724986799999,57192607.19158,38918,11962.457,30096173.43188,0
1724986800000,2514.00,2522.48,2503.00,2514.90,55081.459,1724988599999,138413030.26507,70615,29990.743,75388596.46506,0
1724988600000,2514.90,2520.54,2508.83,2515.83,23305.399,1724990399999,58610525.80005,37765,13512.259,33982632.92675,0
1724990400000,2515.83,2525.80,2515.36,2520.06,23932.866,1724992199999,60347597.95268,34775,12444.987,31379548.52989,0
1724992200000,2520.06,2523.41,2517.37,2517.71,9473.496,1724993999999,23873413.54290,21873,4228.787,10656909.25830,0
1724994000000,2517.71,2518.53,2502.84,2510.21,44183.996,1724995799999,110911146.17998,55974,21201.746,53219014.00870,0
1724995800000,2510.21,2517.00,2509.00,2510.26,19918.096,1724997599999,50068750.78546,36828,10663.701,26806280.53070,0
1724997600000,2510.26,2516.90,2505.08,2513.80,33393.667,1724999399999,83863534.41184,42647,17730.151,44535400.81491,0
1724999400000,2513.79,2529.86,2511.70,2526.82,39924.865,1725001199999,100753168.28582,52907,21393.877,53986569.80135,0
1725001200000,2526.82,2531.84,2523.94,2531.27,31712.933,1725002999999,80165754.76864,44228,16687.486,42188652.23109,0
1725003000000,2531.27,2531.89,2512.81,2515.91,44537.036,1725004799999,112319987.02349,48739,19982.916,50393818.71900,0
1725004800000,2515.91,2523.89,2512.85,2522.15,28099.589,1725006599999,70745256.36201,36275,16042.433,40393533.65361,0
1725006600000,2522.16,2525.25,2514.04,2521.01,17373.894,1725008399999,43774570.38537,32658,8764.944,22086758.28230,0
1725008400000,2521.01,2527.41,2518.33,2522.52,15673.458,1725010199999,39536152.09443,30469,8332.065,21018377.15540,0
1725010200000,2522.52,2526.03,2518.54,2523.47,14475.614,1725011999999,36519693.43138,28690,7972.772,20116230.57092,0
1725012000000,2523.47,2524.14,2518.33,2518.45,13792.588,1725013799999,34771332.58361,28389,5952.885,15007607.40386,0
1725013800000,2518.44,2520.91,2508.75,2515.80,28108.751,1725015599999,70655297.14069,43650,13118.633,32976859.67257,0
1725015600000,2515.79,2518.69,2509.00,2513.34,21423.376,1725017399999,53847496.15154,32933,9059.140,22770720.71349,0
1725017400000,2513.34,2515.96,2506.14,2511.45,31335.837,1725019199999,78671999.31757,41175,16855.480,42317974.32061,0
1725019200000,2511.45,2524.81,2509.00,2519.10,35500.724,1725020999999,89360311.18915,54642,17975.172,45248014.52652,0
1725021000000,2519.10,2552.32,2516.65,2523.00,128185.242,1725022799999,324132648.49974,140092,70376.368,177986522.33950,0
1725022800000,2522.99,2529.30,2517.12,2524.44,28745.550,1725024599999,72538223.70788,50269,15024.115,37917232.71755,0
1725024600000,2524.42,2529.30,2490.86,2523.60,134600.449,1725026399999,337933157.08857,170342,62594.552,157218759.35518,0
1725026400000,2523.59,2532.25,2495.20,2507.02,126781.493,1725028199999,318466388.50179,163953,65029.551,163354836.45367,0
1725028200000,2507.01,2509.08,2460.65,2461.40,184664.420,1725029999999,458212116.60632,208074,78718.514,195366079.05554,0
1725030000000,2461.40,2471.28,2441.00,2453.00,295903.052,1725031799999,726720140.35407,260699,140839.470,346020624.61766,0
1725031800000,2453.01,2455.92,2433.75,2448.04,160841.210,1725033599999,393438024.11544,176830,84167.230,205934104.51779,0
1725033600000,2448.03,2462.19,2431.00,2448.39,133564.332,1725035399999,327033056.86368,154967,65886.910,161385824.46042,0
1725035400000,2448.40,2463.57,2442.70,2461.37,73059.754,1725037199999,179267434.21261,98401,40980.808,100549460.81773,0
1725037200000,2461.37,2468.00,2455.55,2458.98,41969.617,1725038999999,103291661.24179,62524,22898.566,56365308.52381,0
1725039000000,2458.98,2476.77,2453.00,2465.19,48522.154,1725040799999,119578745.04291,64276,28775.389,70944146.73174,0
1725040800000,2465.19,2528.00,2464.00,2526.95,172504.183,1725042599999,429760686.85881,155744,99895.085,248864660.75625,0
1725042600000,2526.95,2540.00,2512.00,2534.82,172212.000,1725044399999,435508168.95705,168370,74909.158,189456425.18132,0
1725044400000,2534.82,2534.82,2504.28,2514.42,102509.346,1725046199999,257900224.68933,112317,48991.107,123233884.98855,0
1725046200000,2514.41,2515.33,2495.37,2505.79,57297.089,1725047999999,143516377.04866,72876,29385.541,73611215.86691,0
1725048000000,2505.80,2514.07,2505.01,2507.80,21552.878,1725049799999,54078945.90472,35945,13157.722,33015719.01398,0
1725049800000,2507.80,2518.32,2506.11,2517.84,16944.156,1725051599999,42556107.36301,31350,9929.805,24941932.70869,0
1725051600000,2517.84,2521.00,2512.42,2516.76,19869.207,1725053399999,50000300.20414,40525,9081.352,22854699.27473,0
1725053400000,2516.77,2520.45,2513.48,2517.15,9123.623,1725055199999,22960923.98632,23838,5236.217,13177757.65851,0
