open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1714435200000,3215.28,3220.03,3200.18,3220.03,60452.307,1714436999999,193974122.51171,86888,30978.235,99428961.21318,0
1714437000000,3220.02,3250.00,3212.88,3242.99,88535.110,1714438799999,286399691.18503,118080,46916.846,151762186.30027,0
1714438800000,3243.00,3243.94,3219.09,3223.82,55417.253,1714440599999,179016560.96405,77129,22842.568,73762049.43028,0
1714440600000,3223.82,3225.95,3168.25,3171.67,114082.852,1714442399999,364780419.98557,133333,42751.405,136712858.13665,0
1714442400000,3171.67,3185.64,3148.00,3183.36,158251.353,1714444199999,501098189.07118,180421,79664.889,252304069.65520,0
1714444200000,3183.35,3196.49,3180.00,3192.37,41785.185,1714445999999,133333104.38288,70504,23515.696,75035182.96611,0
1714446000000,3192.36,3193.69,3182.10,3188.16,29555.004,1714447799999,94170930.60733,49502,13585.734,43288899.98430,0
1714447800000,3188.16,3190.87,3174.63,3179.62,27141.284,1714449599999,86309415.88003,48568,11944.160,37988443.09104,0
1714449600000,3179.62,3184.56,3170.30,3173.38,30279.744,1714451399999,96217566.89913,42524,11605.890,36883079.65200,0
1714451400000,3173.38,3179.79,3166.04,3169.27,26610.863,1714453199999,84392278.89359,50217,11299.497,35840489.34294,0
1714453200000,3169.28,3175.68,3164.87,3169.80,19610.234,1714454999999,62171133.12959,40280,10128.794,32116954.35236,0
1714455000000,3169.80,3170.18,3150.60,3167.54,49153.662,1714456799999,155363839.89287,75498,25026.303,79111421.46070,0
1714456800000,3167.53,3171.61,3162.29,3169.99,23745.842,1714458599999,75208124.76108,38964,12359.535,39151431.60095,0
1714458600000,3170.00,3173.90,3167.25,3171.32,16980.346,1714460399999,53845622.90831,31860,9094.883,28840712.46362,0
1714460400000,3171.33,3172.95,3167.00,3168.20,17292.465,1714462199999,54815290.25476,26643,7880.985,24983036.61511,0
1714462200000,3168.21,3170.66,3151.31,3155.66,41777.268,1714463999999,131986543.93120,69729,19142.276,60477787.13489,0
1714464000000,3155.66,3160.69,3133.00,3137.97,91268.882,1714465799999,287003511.28191,123472,40520.715,127450906.92947,0
1714465800000,3137.97,3139.06,3049.11,3066.00,341601.796,1714467599999,1056344922.86042,395036,138499.844,428422354.18432,0
1714467600000,3066.01,3073.00,3054.22,3066.39,140564.407,1714469399999,430719600.15142,206282,72429.372,221948445.17764,0
1714469400000,3066.39,3066.39,3023.94,3046.13,153580.542,1714471199999,467865236.80976,207852,67322.859,205165277.39013,0
1714471200000,3046.14,3054.86,3027.77,3047.91,98937.888,1714472999999,301026664.93146,144820,49847.498,151694384.20830,0
1714473000000,3047.91,3049.70,3033.52,3044.41,49712.426,1714474799999,151225398.44248,84563,24455.781,74396813.81180,0
1714474800000,3044.41,3044.41,3007.19,3015.53,99422.801,1714476599999,300956552.04864,144209,39958.886,121022800.23541,0
1714476600000,3015.53,3024.95,3002.17,3005.93,136257.388,1714478399999,410528849.87158,196057,66837.676,201384194.40263,0
1714478400000,3005.94,3015.57,2963.33,3012.46,284574.247,1714480199999,851995066.76053,337838,135421.187,405609819.02279,0
1714480200000,3012.45,3015.35,3002.00,3007.69,74974.445,1714481999999,225528165.86716,112429,39108.118,117654182.49024,0
1714482000000,3007.70,3021.76,3000.00,3010.72,67149.606,1714483799999,202187640.98602,96241,33954.232,102253688.82528,0
1714483800000,3010.71,3018.25,2982.05,2992.10,114880.900,1714485599999,344492346.99078,150778,50623.296,151811106.94791,0
1714485600000,2992.09,3005.00,2983.02,2999.09,102743.764,1714487399999,307711144.10008,160466,54882.418,164396670.90393,0
1714487400000,2999.09,3037.17,2997.84,3018.75,128877.869,1714489199999,389004509.56369,160760,69997.454,211262297.87137,0
1714489200000,3018.75,3028.00,2983.08,2997.76,162629.447,1714490999999,488058787.99972,196569,75574.592,226808649.86893,0
1714491000000,2997.78,2998.50,2985.06,2992.67,62475.721,1714492799999,186907081.98411,106587,29042.969,86897243.50549,0
1714492800000,2992.66,2997.00,2938.11,2966.50,232879.327,1714494599999,691537292.82149,294903,106276.091,315709922.89531,0
1714494600000,2966.49,2989.96,2960.00,2985.90,106023.338,1714496399999,315705663.53916,152015,57441.011,171076320.92610,0
1714496400000,2985.89,2997.45,2975.30,2990.43,67153.411,1714498199999,200611734.40998,105794,35010.050,104592171.67405,0
1714498200000,2990.44,2991.77,2973.06,2984.01,51790.885,1714499999999,154384722.27971,91270,26640.573,79414865.33395,0
1714500000000,2984.00,2991.30,2970.76,2970.76,44291.536,1714501799999,132040171.08092,74944,22417.104,66846228.45494,0
1714501800000,2970.77,2977.74,2954.19,2975.33,65574.227,1714503599999,194547154.65375,108908,31850.367,94512478.25798,0
1714503600000,2975.33,2984.96,2922.60,2940.60,177409.535,1714505399999,522631406.11835,217164,77759.811,229137903.59729,0
1714505400000,2940.60,2965.41,2918.33,2927.60,135668.530,1714507199999,399029997.50717,195864,64414.160,189519384.59144,0
1714507200000,2927.61,2979.54,2926.44,2957.57,136550.792,1714508999999,404451310.80265,193108,64911.003,192247232.44062,0
1714509000000,2957.56,2978.00,2954.25,2965.25,45866.556,1714510799999,136028843.96678,76667,23125.589,68590990.94268,0
1714510800000,2965.26,2989.98,2964.46,2989.67,59141.578,1714512599999,176199492.11112,82406,32520.880,96898469.53206,0
1714512600000,2989.58,2993.00,2975.31,2985.95,29258.049,1714514399999,87327511.06771,46854,14162.997,42280933.93372,0
1714514400000,2985.96,3019.98,2984.38,3019.32,77701.911,1714516199999,233254177.49022,95761,47660.802,143099993.22038,0
1714516200000,3019.31,3027.91,3003.12,3008.29,70141.174,1714517999999,211543135.91435,108133,32435.909,97837201.82518,0
1714518000000,3008.28,3011.77,2998.40,3008.90,30870.073,1714519799999,92780872.70395,56622,15057.385,45261714.11983,0
1714519800000,3008.90,3027.37,3008.39,3012.58,37844.613,1714521599999,114185815.37811,59685,19880.011,59986148.15492,0
