open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1730246400000,2639.28,2642.47,2630.00,2630.73,36117.522,1730248199999,95173711.71596,53877,14819.958,39057895.91052,0
1730248200000,2630.73,2630.73,2616.43,2621.60,43628.522,1730249999999,114473577.51977,75299,16656.136,43699483.59557,0
1730250000000,2621.59,2621.60,2599.90,2613.98,118394.204,1730251799999,308995426.37405,131039,54967.590,143501548.59114,0
1730251800000,2613.99,2628.81,2613.33,2626.34,41851.245,1730253599999,109780542.83680,70376,23013.404,60359353.13449,0
1730253600000,2626.34,2639.46,2624.39,2633.94,50054.517,1730255399999,131797760.34539,71765,25432.557,66972765.12034,0
1730255400000,2633.94,2642.60,2627.84,2628.67,37404.332,1730257199999,98578656.19283,52144,14839.140,39131190.34647,0
1730257200000,2628.68,2640.88,2628.00,2633.00,48715.889,1730258999999,128393372.40882,57523,25190.646,66389892.23440,0
1730259000000,2633.01,2653.00,2631.38,2642.46,68477.364,1730260799999,181086883.02397,80083,34686.378,91731073.10341,0
1730260800000,2642.46,2647.72,2640.29,2647.63,21222.327,1730262599999,56101602.91861,40476,12021.736,31783788.66303,0
1730262600000,2647.63,2647.63,2637.04,2641.28,20772.255,1730264399999,54882664.15242,35604,9051.099,23910637.21575,0
1730264400000,2641.28,2647.33,2641.26,2644.71,33058.040,1730266199999,87425741.06629,40397,21252.809,56208034.86078,0
1730266200000,2644.72,2656.26,2641.60,2653.87,34479.775,1730267999999,91361385.99390,49572,21670.180,57422582.03074,0
1730268000000,2653.87,2686.27,2653.84,2666.49,152822.937,1730269799999,408578845.24304,164738,78371.209,209480694.44707,0
1730269800000,2666.50,2669.60,2657.94,2658.25,54998.529,1730271599999,146506715.21132,65711,24788.930,66043690.24806,0
1730271600000,2658.25,2671.70,2658.10,2669.70,57214.354,1730273399999,152532153.88248,63420,32497.138,86629470.96538,0
1730273400000,2669.71,2674.60,2659.22,2669.43,51350.012,1730275199999,137006133.52700,69525,24769.390,66092704.51567,0
1730275200000,2669.43,2683.30,2669.07,2672.66,53835.980,1730276999999,144079533.54660,81039,28363.403,75910845.90930,0
