open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1701302400000,2028.41,2033.53,2024.25,2027.61,29794.431,1701304199999,60430000.23601,28723,15170.465,30767954.56516,0
1701304200000,2027.61,2032.04,2026,2026,18706.327,1701305999999,37950776.18510,24091,8976.244,18209804.55885,0
1701306000000,2026,2028.77,2022,2026.81,27987.241,1701307799999,56670595.94999,28381,13497.270,27331472.91468,0
1701307800000,2026.81,2030,2024.06,2024.46,21978.907,1701309599999,44560532.02468,23229,10259.142,20799693.17328,0
1701309600000,2024.45,2032.46,2023.55,2032.45,18885.138,1701311399999,38287186.02480,22337,10312.292,20907400.92584,0
1701311400000,2032.46,2036.42,2030,2035.32,34589.218,1701313199999,70357457.56323,30243,18735.572,38108556.40263,0
1701313200000,2035.33,2036.13,2029.63,2030.78,22152.123,1701314999999,45010277.68666,19098,7205.151,14639083.04696,0
1701315000000,2030.79,2040.75,2029.52,2040.08,46165.031,1701316799999,94030106.87943,37997,27181.316,55355372.79729,0
1701316800000,2040.09,2043.70,2036.61,2039.28,62124.760,1701318599999,126752758.14181,46348,30795.162,62834438.93583,0
1701318600000,2039.28,2041.01,2034.66,2035.85,47086.097,1701320399999,95950064.61620,36388,23580.760,48051156.92287,0
1701320400000,2035.86,2038.41,2032.38,2034.79,28876.643,1701322199999,58765304.50396,24903,12378.050,25191237.46342,0
1701322200000,2034.79,2036.80,2031.03,2033.66,26758.900,1701323999999,54427401.93714,24146,12678.854,25789272.32284,0
1701324000000,2033.65,2038.80,2031.69,2037.56,19937.476,1701325799999,40589339.29894,21698,11210.092,22822164.27852,0
1701325800000,2037.57,2038.76,2031.16,2034.75,30220.650,1701327599999,61456707.55363,27213,13161.024,26763987.13507,0
1701327600000,2034.75,2038.74,2033.69,2035.35,23044.396,1701329399999,46931019.89787,21379,13273.934,27033555.43219,0
1701329400000,2035.36,2036.18,2032.52,2035.51,20609.830,1701331199999,41922050.79138,20291,8837.620,17976429.93119,0
1701331200000,2035.52,2036.65,2026,2027.07,42073.075,1701332999999,85423077.57918,37529,18044.612,36636975.29692,0
1701333000000,2027.07,2028.78,2020.40,2025.64,54426.503,1701334799999,110181707.34088,54298,25734.889,52101204.53766,0
1701334800000,2025.63,2028.41,2022,2025.92,26899.282,1701336599999,54488346.18001,30649,13122.260,26581658.97829,0
1701336600000,2025.93,2032.54,2024.70,2028.79,27847.483,1701338399999,56510334.19803,29209,15077.400,30596713.89505,0
1701338400000,2028.79,2033.21,2027.57,2033.05,21419.140,1701340199999,43485477.18728,20923,12208.661,24790136.35377,0
1701340200000,2033.05,2033.68,2029.72,2029.81,18526.105,1701341999999,37640703.00320,21197,8151.234,16561975.17031,0
1701342000000,2029.80,2034.69,2028.31,2033.63,23841.237,1701343799999,48441598.37242,25268,13000.854,26415440.50832,0
1701343800000,2033.62,2046.97,2033.62,2045.23,70982.844,1701345599999,144851264.57283,57005,41825.382,85360308.49943,0
1701345600000,2045.23,2052.78,2044.77,2046.60,80699.057,1701347399999,165316629.94348,67619,42927.310,87944279.55239,0
1701347400000,2046.60,2047.92,2042.95,2045.26,31779.153,1701349199999,65001491.17995,33595,15588.033,31884537.53947,0
1701349200000,2045.27,2048,2038,2046.67,64341.920,1701350999999,131410872.16000,52246,32276.246,65933923.13989,0
1701351000000,2046.66,2048.79,2029.76,2034.99,88948.776,1701352799999,181425625.69209,72576,40977.084,83603504.32060,0
1701352800000,2034.99,2035.78,2025.62,2033.45,88381.212,1701354599999,179448508.74246,72312,40719.060,82678731.00477,0
1701354600000,2033.45,2035.59,2024.24,2029.65,54734.118,1701356399999,111046199.79522,54459,25567.974,51875996.97789,0
1701356400000,2029.65,2039.23,2028.16,2031.50,48431.849,1701358199999,98500910.87877,50843,24428.247,49685869.65512,0
1701358200000,2031.49,2039.48,2025.80,2033.29,86639.433,1701359999999,176099300.80643,63188,46882.077,95293054.81297,0
1701360000000,2033.29,2035.92,2028.29,2033.41,42548.979,1701361799999,86492162.19585,39901,20887.961,42465380.16432,0
1701361800000,2033.41,2039.25,2031.89,2034.79,35887.195,1701363599999,73080501.33192,31227,20644.876,42041235.91623,0
1701363600000,2034.78,2037.20,2033.58,2037.15,20753.183,1701365399999,42241960.86399,23602,9185.084,18696914.10748,0
1701365400000,2037.16,2041.08,2035.37,2038.97,21771.077,1701367199999,44381431.44008,23682,10502.538,21410166.16786,0
1701367200000,2038.96,2044,2037.48,2043.74,23927.329,1701368999999,48831717.10830,25197,13665.826,27892788.36741,0
1701369000000,2043.73,2043.74,2036.86,2038.77,23545.397,1701370799999,48038117.92101,25104,9000.860,18360789.54053,0
1701370800000,2038.77,2042.62,2036.10,2042.26,18082.502,1701372599999,36862873.56081,19837,8519.330,17369781.32129,0
1701372600000,2042.26,2043.99,2040.23,2041.24,16951.319,1701374399999,34623294.02648,19788,9299.957,18996963.48296,0
1701374400000,2041.25,2042.85,2039.23,2040.85,18800.386,1701376199999,38376418.87903,22119,9123.098,18622677.23931,0
1701376200000,2040.86,2046.30,2040.85,2043.11,21356.330,1701377999999,43657510.55637,26286,11522.989,23555908.20087,0
1701378000000,2043.09,2045.46,2040,2045.45,15327.398,1701379799999,31307966.29307,20331,8158.782,16664900.88720,0
1701379800000,2045.46,2049.29,2043.11,2045.64,27010.040,1701381599999,55274017.40511,27995,13701.224,28039703.99525,0
1701381600000,2045.64,2051.05,2043.20,2047.59,27310.233,1701383399999,55912582.95944,27937,14385.355,29452262.04751,0
1701383400000,2047.59,2047.60,2042.77,2042.97,11094.564,1701385199999,22687047.00652,15952,5059.616,10346364.41992,0
1701385200000,2042.97,2048.15,2039.89,2048,27778.420,1701386999999,56763070.47205,29536,15437.092,31545227.60502,0
1701387000000,2047.99,2054.97,2047.99,2051.76,41868.705,1701388799999,85893757.34361,36575,21831.967,44786570.76712,0
