open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1711756800000,3512.47,3517.87,3503.78,3508.62,26414.455,1711758599999,92729316.30520,45730,13754.145,48287926.27435,0
1711758600000,3508.62,3517.56,3505.90,3516.73,14317.833,1711760399999,50290182.61382,30578,8403.530,29518452.69421,0
1711760400000,3516.74,3524.15,3510.70,3522.56,22235.134,1711762199999,78228648.59063,41223,11966.142,42100323.70633,0
1711762200000,3522.56,3523.39,3512.41,3514.02,16522.702,1711763999999,58109577.72074,30149,6932.840,24385822.91166,0
1711764000000,3514.03,3516.00,3503.71,3509.33,19878.044,1711765799999,69765245.27109,35043,9113.394,31991114.57138,0
1711765800000,3509.32,3513.28,3505.75,3509.54,13253.681,1711767599999,46515449.20228,27920,6686.524,23470070.79797,0
1711767600000,3509.55,3512.80,3494.47,3498.80,24247.090,1711769399999,84914247.49404,39597,9257.519,32432793.49597,0
1711769400000,3498.79,3502.50,3488.26,3492.18,31977.723,1711771199999,111725585.01841,61718,16618.667,58067982.45268,0
1711771200000,3492.18,3501.00,3489.27,3496.09,19188.667,1711772999999,67066529.30897,34868,11427.771,39942943.82748,0
1711773000000,3496.10,3514.32,3496.09,3509.75,23927.183,1711774799999,83882149.75853,48500,15652.244,54871862.97260,0
1711774800000,3509.75,3536.91,3509.74,3510.64,84571.434,1711776599999,298031996.54968,112872,44424.110,156562531.54544,0
1711776600000,3510.64,3518.00,3507.24,3510.78,34412.407,1711778399999,120870787.96001,62262,16230.327,57007014.19060,0
1711778400000,3510.79,3511.36,3495.17,3507.94,30964.088,1711780199999,108459425.85623,62633,14054.867,49229713.46055,0
1711780200000,3507.94,3508.33,3496.20,3502.24,18905.783,1711781999999,66196977.01680,42149,9196.123,32201573.58704,0
1711782000000,3502.23,3506.11,3499.67,3500.96,11298.412,1711783799999,39577108.69885,35007,5819.726,20386607.19838,0
1711783800000,3500.96,3504.81,3494.30,3495.20,14588.211,1711785599999,51062816.56642,31257,6652.003,23285996.79129,0
1711785600000,3495.20,3516.12,3494.80,3508.89,30556.293,1711787399999,107141305.87671,43104,19387.175,67983938.21462,0
1711787400000,3508.89,3509.53,3493.98,3507.94,26093.548,1711789199999,91410021.18709,41906,12764.250,44717532.96008,0
1711789200000,3507.94,3514.45,3503.44,3511.27,20821.802,1711790999999,73086582.31982,33930,10832.566,38020544.74142,0
1711791000000,3511.27,3518.90,3511.13,3518.89,19166.815,1711792799999,67373698.02786,33555,12048.415,42354566.64533,0
1711792800000,3518.89,3520.77,3511.59,3519.87,18518.125,1711794599999,65119126.19383,34484,7499.525,26374995.80487,0
1711794600000,3519.87,3532.63,3519.65,3529.83,31920.180,1711796399999,112583523.45729,53464,16473.975,58102167.21408,0
1711796400000,3529.83,3548.40,3529.43,3545.77,52756.589,1711798199999,186709999.20089,76209,26210.938,92762173.57895,0
1711798200000,3545.64,3568.71,3545.12,3563.47,76312.769,1711799999999,271446508.66570,101570,37948.803,134985725.78218,0
1711800000000,3563.48,3569.97,3552.25,3554.18,36439.000,1711801799999,129715516.35433,60058,14420.022,51337650.29471,0
1711801800000,3554.19,3560.46,3551.57,3555.27,21123.464,1711803599999,75110268.93389,41699,10729.132,38155710.25764,0
1711803600000,3555.27,3556.24,3541.81,3543.23,32196.456,1711805399999,114229873.61016,49416,12564.892,44577595.90080,0
1711805400000,3543.23,3548.09,3537.43,3546.76,24346.315,1711807199999,86246442.70261,38950,11378.590,40312115.31491,0
1711807200000,3546.76,3549.32,3539.80,3543.69,13998.321,1711808999999,49612332.19533,25876,6429.443,22787596.41149,0
1711809000000,3543.69,3551.45,3533.19,3537.40,28053.583,1711810799999,99326281.21643,43342,13145.191,46550857.71005,0
1711810800000,3537.40,3554.28,3537.40,3542.05,29059.711,1711812599999,103048404.74862,42553,16692.805,59196505.06709,0
1711812600000,3542.04,3542.73,3535.98,3539.97,14990.082,1711814399999,53060750.41318,29873,7389.659,26158373.50316,0
1711814400000,3539.98,3544.77,3528.51,3535.07,27346.296,1711816199999,96707262.86148,49226,11675.599,41292252.82152,0
1711816200000,3535.07,3551.74,3530.29,3545.96,29623.692,1711817999999,104895460.87576,53624,16373.255,57979287.36334,0
1711818000000,3545.96,3545.97,3529.52,3533.22,19798.230,1711819799999,70011292.10771,37730,8857.232,31317400.50081,0
1711819800000,3533.21,3536.96,3529.11,3535.56,13300.742,1711821599999,46978854.50343,28694,6558.733,23166856.59677,0
1711821600000,3535.56,3535.56,3521.78,3532.86,19712.288,1711823399999,69538734.46606,35680,9684.544,34166502.09743,0
1711823400000,3532.85,3534.47,3526.66,3527.68,11309.251,1711825199999,39921852.78453,23483,4960.616,17511635.86390,0
