open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1727654400000,2656.30,2662.81,2637.99,2640.12,77524.773,1727656199999,205347795.44010,83369,30413.123,80581182.34215,0
1727656200000,2640.12,2647.94,2624.00,2647.54,119004.157,1727657999999,313455573.69220,137360,56560.024,149019722.47953,0
1727658000000,2647.55,2654.94,2630.33,2643.52,75291.121,1727659799999,198938281.10796,97200,37586.645,99316234.53619,0
1727659800000,2643.52,2648.75,2612.09,2614.00,125138.539,1727661599999,328276928.75378,138533,51248.396,134421369.92576,0
1727661600000,2614.00,2619.11,2601.00,2613.54,104480.965,1727663399999,272812869.47459,137696,47429.784,123892450.65944,0
1727663400000,2613.53,2621.00,2610.73,2612.08,43016.810,1727665199999,112548042.53639,77988,22514.184,58906830.54276,0
1727665200000,2612.08,2621.88,2604.89,2620.62,67502.826,1727666999999,176371758.67832,97848,33339.250,87134825.49264,0
1727667000000,2620.63,2629.67,2618.74,2628.64,44070.076,1727668799999,115669937.90532,67776,23100.377,60628957.89900,0
1727668800000,2628.64,2629.17,2621.81,2624.22,28485.090,1727670599999,74783607.90202,50610,13910.804,36521094.69248,0
1727670600000,2624.21,2629.64,2622.45,2627.16,14880.677,1727672399999,39092080.13366,33357,7429.543,19517893.86807,0
1727672400000,2627.16,2633.21,2625.43,2631.83,33914.245,1727674199999,89219034.14224,34982,20089.327,52856718.93514,0
1727674200000,2631.82,2636.48,2627.63,2635.13,25665.746,1727675999999,67545457.46789,36567,10806.438,28445679.86889,0
1727676000000,2635.13,2642.99,2633.33,2635.35,59285.220,1727677799999,156475015.81267,65544,30967.360,81744510.36789,0
1727677800000,2635.36,2637.43,2628.20,2628.61,25974.867,1727679599999,68369593.43082,42765,12728.894,33505854.31259,0
1727679600000,2628.61,2642.53,2628.47,2639.67,54193.526,1727681399999,142918909.50280,63101,32859.026,86648617.76553,0
1727681400000,2639.66,2640.99,2634.11,2636.70,16583.498,1727683199999,43732581.21941,33602,8565.330,22588725.30913,0
1727683200000,2636.70,2637.96,2625.00,2632.10,53967.947,1727684999999,141955779.18617,60396,28334.128,74531832.73842,0
1727685000000,2632.10,2642.48,2630.47,2640.20,90258.655,1727686799999,238099857.12088,93158,47176.282,124449255.03248,0
1727686800000,2640.20,2641.50,2623.43,2633.46,67399.753,1727688599999,177506912.07671,89381,32972.985,86851752.94348,0
1727688600000,2633.47,2635.00,2606.00,2606.10,105191.982,1727690399999,275445226.52124,116819,44383.436,116221026.18665,0
1727690400000,2606.10,2614.38,2590.72,2605.34,186903.392,1727692199999,486244381.34639,187866,87645.412,228090431.97391,0
1727692200000,2605.35,2605.91,2595.00,2604.63,43634.519,1727693999999,113474964.89984,71747,25043.124,65131582.49153,0
1727694000000,2604.62,2623.00,2600.62,2622.90,61655.546,1727695799999,161116155.62572,79899,33022.687,86303387.02448,0
1727695800000,2622.90,2632.72,2613.91,2627.97,74337.634,1727697599999,195009880.21383,82945,35804.751,93934239.37660,0
1727697600000,2627.97,2632.96,2625.65,2628.11,37614.534,1727699399999,98893932.98019,55556,17661.440,46436807.18085,0
1727699400000,2628.10,2635.00,2626.58,2632.95,37705.905,1727701199999,99234484.27966,57700,20127.223,52973242.73606,0
1727701200000,2632.95,2638.15,2629.07,2630.38,40721.595,1727702999999,107245820.04790,63387,17553.935,46240620.80653,0
1727703000000,2630.38,2633.00,2621.69,2624.40,46028.287,1727704799999,120945477.48012,72465,20797.663,54650945.07844,0
1727704800000,2624.39,2629.27,2604.88,2611.92,99916.873,1727706599999,261157200.07740,117155,44694.258,116821244.26316,0
1727706600000,2611.91,2619.00,2608.48,2610.25,41960.424,1727708399999,109650798.88662,72861,22327.096,58348939.89779,0
1727708400000,2610.24,2622.88,2607.79,2616.45,40765.497,1727710199999,106657518.77989,69914,22307.762,58368949.58213,0
1727710200000,2616.45,2618.60,2592.05,2595.05,84377.900,1727711999999,219657214.86138,104715,33663.498,87668238.76302,0
1727712000000,2595.05,2609.44,2588.21,2607.38,108320.972,1727713799999,281711191.38556,97284,55981.058,145602771.13513,0
