open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1717027200000,3770.01,3786.01,3768.81,3778.84,35244.620,1717028999999,133209810.12187,54573,19212.338,72609468.33106,0
1717029000000,3778.83,3778.83,3753.89,3761.01,41647.516,1717030799999,156839551.28806,66849,18555.551,69880419.45051,0
1717030800000,3761.02,3775.62,3753.06,3769.97,28770.098,1717032599999,108295806.66726,57102,15378.546,57885315.75663,0
1717032600000,3769.97,3781.96,3764.00,3778.37,26644.678,1717034399999,100527823.01501,50071,13441.877,50730332.53406,0
1717034400000,3778.38,3791.94,3777.37,3791.36,36484.941,1717036199999,138098114.95411,61502,17145.841,64904778.58015,0
1717036200000,3791.36,3794.97,3778.00,3781.83,40153.335,1717037999999,152006275.64870,60728,18525.163,70128869.05951,0
1717038000000,3781.84,3788.00,3779.24,3782.00,14069.468,1717039799999,53230191.78771,29901,5706.797,21591977.44190,0
1717039800000,3782.01,3801.38,3781.20,3794.21,39044.273,1717041599999,148020139.70068,52907,21538.730,81666097.80907,0
1717041600000,3794.21,3796.57,3783.28,3794.38,26541.939,1717043399999,100621221.65749,45801,13014.574,49343972.96691,0
1717043400000,3794.37,3805.00,3782.51,3785.02,34601.909,1717045199999,131275763.55047,57333,14338.825,54420467.25748,0
1717045200000,3785.03,3787.91,3772.80,3782.76,29631.863,1717046999999,111980472.24775,53739,13239.998,50039371.97253,0
1717047000000,3782.75,3789.32,3778.99,3787.31,15354.171,1717048799999,58110629.94810,36101,8157.921,30874330.08996,0
1717048800000,3787.30,3788.87,3755.00,3764.17,66364.357,1717050599999,250037145.15302,97534,29939.517,112794898.10901,0
1717050600000,3764.18,3765.00,3735.04,3743.33,94978.636,1717052399999,356184048.15805,133388,43779.648,164240622.44931,0
1717052400000,3743.34,3753.39,3732.06,3744.64,64428.562,1717054199999,241117104.49413,116639,33913.413,126930576.16729,0
1717054200000,3744.68,3759.11,3713.13,3722.15,117067.075,1717055999999,436459631.15948,143942,52614.055,196193550.01200,0
1717056000000,3722.16,3726.00,3704.70,3716.23,103342.544,1717057799999,383703002.66136,155015,48333.147,179475967.84483,0
1717057800000,3716.23,3740.92,3715.47,3737.80,55363.403,1717059599999,206377708.37528,103351,30372.507,113225894.10581,0
1717059600000,3737.79,3740.80,3724.16,3726.80,50178.067,1717061399999,187313091.58216,73449,22942.853,85665956.34851,0
1717061400000,3726.79,3737.99,3720.23,3737.48,34713.334,1717063199999,129480676.26656,62950,19650.601,73310341.04543,0
1717063200000,3737.48,3738.84,3717.34,3728.54,36654.847,1717064999999,136596895.38611,67862,19947.863,74336777.74605,0
1717065000000,3728.53,3747.00,3728.53,3744.52,56543.089,1717066799999,211450170.04037,74737,29113.933,108881014.09083,0
1717066800000,3744.52,3761.93,3743.19,3757.09,50315.675,1717068599999,188701776.08727,77568,29187.430,109490234.22318,0
1717068600000,3757.09,3758.00,3736.13,3739.56,35054.672,1717070399999,131273551.55086,66062,14893.414,55771243.22280,0
1717070400000,3739.58,3758.00,3736.35,3756.11,56268.431,1717072199999,210912148.31680,69905,31501.237,118115459.80891,0
1717072200000,3756.09,3774.85,3746.50,3768.00,118961.500,1717073999999,447575458.28828,143839,60945.021,229343937.08860,0
1717074000000,3768.01,3784.40,3765.00,3774.84,64728.882,1717075799999,244354071.71644,98465,33987.254,128313996.03344,0
1717075800000,3774.84,3797.90,3762.91,3790.96,81605.930,1717077599999,308722092.96553,139098,42787.379,161924645.59576,0
1717077600000,3790.95,3800.96,3777.14,3784.61,72370.535,1717079399999,274288939.39037,114472,32759.761,124177192.90992,0
1717079400000,3784.62,3790.32,3764.11,3770.00,56201.819,1717081199999,212136841.76956,95440,24273.256,91608715.94164,0
1717081200000,3769.99,3784.96,3758.73,3777.53,41138.383,1717082999999,155157201.53233,82939,23138.698,87287088.26918,0
1717083000000,3777.52,3789.12,3772.35,3778.40,32442.933,1717084799999,122678959.61983,71185,14208.665,53736902.12840,0
1717084800000,3778.40,3787.85,3772.06,3776.96,31009.226,1717086599999,117184554.23016,60305,14025.666,53000539.20198,0
1717086600000,3776.97,3792.64,3776.00,3791.09,22124.189,1717088399999,83733027.02400,43274,13037.783,49359487.68140,0
1717088400000,3791.09,3821.66,3780.48,3815.48,93931.029,1717090199999,357057890.30206,123541,50751.050,193004019.36558,0
1717090200000,3815.49,3828.74,3811.83,3813.79,66502.730,1717091999999,254054772.57154,99106,32283.974,123339403.45306,0
1717092000000,3813.80,3821.05,3796.10,3809.43,48083.560,1717093799999,183118231.11544,77500,26415.643,100622707.26058,0
1717093800000,3809.43,3822.26,3801.03,3817.78,23692.649,1717095599999,90364489.71836,49512,13311.366,50772439.20111,0
1717095600000,3817.77,3819.20,3782.84,3788.37,40331.125,1717097399999,153220551.39863,64988,15489.731,58848058.60918,0
1717097400000,3788.36,3794.65,3752.01,3763.91,102524.610,1717099199999,386552244.03425,125882,47969.120,180912530.80210,0
1717099200000,3763.90,3764.33,3720.72,3746.94,122413.228,1717100999999,457591163.15115,162672,58264.780,217802429.23103,0
1717101000000,3746.94,3751.46,3736.00,3740.30,29978.221,1717102799999,112248142.01267,58092,15333.758,57425628.22784,0
1717102800000,3740.30,3747.31,3736.25,3747.20,17169.538,1717104599999,64261509.48361,38778,9132.032,34181730.27746,0
1717104600000,3747.19,3758.72,3746.11,3753.45,13054.351,1717106399999,48998029.20507,33423,7610.726,28568109.00093,0
1717106400000,3753.45,3756.48,3747.37,3753.01,18340.715,1717108199999,68802754.41926,38895,9710.600,36429988.43726,0
1717108200000,3753.01,3753.88,3746.05,3749.82,19409.302,1717109999999,72792536.12110,34419,9445.150,35427357.27717,0
1717110000000,3749.82,3754.87,3746.76,3749.75,10652.567,1717111799999,39950884.74881,24542,5366.657,20127432.54773,0
1717111800000,3749.75,3753.98,3747.15,3750.39,21444.882,1717113599999,80422940.78004,31920,10038.916,37651491.45004,0
