open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1722297600000,3316.86,3320.72,3280.17,3305.81,110586.739,1722299399999,364914984.86331,128603,50215.492,165727791.55180,0
1722299400000,3305.80,3329.89,3300.81,3327.29,60734.288,1722301199999,201574046.57141,80919,31813.814,105548007.96170,0
1722301200000,3327.30,3336.95,3324.17,3324.40,32221.297,1722302999999,107314325.47300,48788,18154.272,60472055.20231,0
1722303000000,3324.41,3328.42,3293.98,3299.59,57091.422,1722304799999,188946924.32055,84397,25373.308,83951107.84225,0
1722304800000,3299.59,3313.97,3282.02,3285.96,50789.600,1722306599999,167552452.07808,78740,22109.057,72960362.63232,0
1722306600000,3285.93,3312.52,3285.81,3310.60,39804.708,1722308399999,131363093.58851,63688,22713.537,74964907.81026,0
1722308400000,3310.60,3318.93,3309.26,3315.77,24526.513,1722310199999,81292845.67938,42893,13562.024,44952492.91875,0
1722310200000,3315.77,3323.61,3313.20,3319.43,21466.023,1722311999999,71261237.16579,33034,10652.241,35367092.08263,0
1722312000000,3319.42,3319.95,3311.08,3317.78,20752.770,1722313799999,68809038.32649,28838,9135.317,30293071.28640,0
1722313800000,3317.77,3318.80,3306.16,3317.26,18486.658,1722315599999,61212247.95431,28504,8320.159,27552415.69874,0
1722315600000,3317.26,3318.77,3300.62,3303.07,41608.078,1722317399999,137715861.35663,46596,19827.935,65632425.34104,0
1722317400000,3303.07,3313.93,3296.07,3309.99,31293.797,1722319199999,103381051.54625,44553,16039.180,53002593.85447,0
1722319200000,3309.98,3321.00,3307.41,3319.58,22761.565,1722320999999,75463570.60404,40129,12581.421,41714760.12442,0
1722321000000,3319.58,3327.80,3318.21,3326.35,25194.442,1722322799999,83729706.25901,35462,13899.588,46197765.68245,0
1722322800000,3326.35,3354.05,3326.34,3339.85,64668.360,1722324599999,215912475.27413,75328,35889.811,119847623.70564,0
1722324600000,3339.84,3346.00,3336.28,3339.51,25123.815,1722326399999,83941440.21989,41711,11305.055,37773857.53907,0
1722326400000,3339.50,3354.81,3338.78,3344.88,37899.171,1722328199999,126861532.60276,50642,19204.453,64292897.44736,0
1722328200000,3344.88,3345.73,3333.39,3335.64,25505.380,1722329999999,85182036.97996,37679,10169.284,33962157.57802,0
1722330000000,3335.64,3344.22,3335.26,3339.69,19754.773,1722331799999,65984753.08242,29916,8626.688,28812735.10095,0
1722331800000,3339.70,3341.00,3327.81,3334.99,30970.888,1722333599999,103229298.34489,46249,12432.708,41442577.82708,0
1722333600000,3334.99,3337.78,3325.70,3335.68,33167.925,1722335399999,110496998.69931,50249,13667.898,45540650.11635,0
1722335400000,3335.68,3342.09,3330.48,3335.39,24217.092,1722337199999,80815546.61275,45716,13680.934,45658924.33645,0
1722337200000,3335.39,3339.89,3329.55,3333.80,19579.690,1722338999999,65264724.79575,33014,9169.375,30563831.85112,0
1722339000000,3333.80,3340.78,3329.26,3333.35,16964.455,1722340799999,56601097.01411,31680,8742.985,29173069.45584,0
1722340800000,3333.34,3342.39,3322.23,3326.61,35805.019,1722342599999,119309975.11284,50016,15219.791,50722368.35484,0
1722342600000,3326.60,3364.15,3325.88,3353.00,69403.726,1722344399999,232506310.93732,99659,38691.088,129615512.20337,0
1722344400000,3353.00,3365.00,3343.90,3346.70,37077.289,1722346199999,124390054.43431,58478,17783.869,59673107.76946,0
1722346200000,3346.69,3357.90,3326.52,3328.75,55420.466,1722347999999,185113504.44119,94322,25039.758,83651771.62338,0
1722348000000,3328.74,3332.20,3313.03,3321.28,87894.043,1722349799999,292106460.42555,112958,44789.859,148902783.53596,0
1722349800000,3321.29,3327.10,3293.13,3299.77,90082.966,1722351599999,298165679.63026,121035,41794.368,138377874.89347,0
1722351600000,3299.77,3322.44,3290.01,3321.01,89966.249,1722353399999,297536877.02348,115060,49595.101,164046291.36102,0
1722353400000,3321.00,3323.86,3312.41,3319.26,30445.075,1722355199999,101013544.84168,51518,13997.981,46445436.92301,0
1722355200000,3319.25,3325.00,3314.55,3316.04,23602.491,1722356999999,78374487.06091,39668,12132.032,40287481.76809,0
1722357000000,3316.02,3326.67,3305.28,3307.61,44274.214,1722358799999,146784262.95752,62928,18799.369,62352793.92157,0
1722358800000,3307.61,3309.15,3283.00,3295.56,78666.313,1722360599999,259150266.39218,97213,32436.794,106882049.81991,0
1722360600000,3295.57,3304.82,3285.03,3293.00,38905.897,1722362399999,128208849.42006,64567,20720.856,68293026.00454,0
1722362400000,3293.01,3296.74,3273.57,3289.93,64191.468,1722364199999,210873351.98270,81190,27700.315,91032207.41764,0
1722364200000,3289.93,3291.58,3277.21,3282.82,30307.754,1722365999999,99483368.98322,51189,12562.025,41237484.32340,0
1722366000000,3282.82,3287.27,3258.63,3265.92,69764.694,1722367799999,228112101.68018,90497,30867.892,100954667.04044,0
1722367800000,3265.91,3277.37,3263.24,3271.36,34002.232,1722369599999,111177374.12482,59857,17870.560,58437746.78855,0
1722369600000,3271.39,3272.54,3230.10,3259.83,132310.900,1722371399999,430123929.65362,155922,59952.716,194956597.02554,0
1722371400000,3259.83,3282.84,3259.73,3280.00,32703.168,1722373199999,107079041.35092,51223,17088.615,55948080.65332,0
1722373200000,3280.00,3280.00,3260.84,3273.33,21496.805,1722374999999,70309848.30652,38151,10815.260,35371403.44840,0
1722375000000,3273.33,3283.99,3271.13,3279.68,9792.020,1722376799999,32095317.25098,20914,6010.893,19702194.99404,0
1722376800000,3279.67,3284.00,3267.11,3282.89,22453.202,1722378599999,73561123.42892,39957,11125.631,36451680.27533,0
1722378600000,3282.89,3283.50,3267.13,3277.48,19372.955,1722380399999,63449493.80826,31210,7727.086,25314719.70697,0
1722380400000,3277.47,3282.49,3272.14,3274.88,16852.190,1722382199999,55218225.09041,27063,9042.442,29628379.60438,0
1722382200000,3274.89,3279.51,3271.48,3278.17,10869.890,1722383999999,35603419.99972,25680,5023.136,16455908.14943,0
