open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1719705600000,3377.63,3385.63,3375.02,3385.00,16219.526,1719707399999,54828226.18349,28179,9289.197,31403300.87776,0
1719707400000,3385.01,3388.72,3382.84,3384.93,10584.835,1719709199999,35843897.69118,20555,4634.110,15693309.38528,0
1719709200000,3384.94,3386.82,3373.23,3381.67,27754.797,1719710999999,93767455.08914,32235,14246.896,48132222.48039,0
1719711000000,3381.68,3381.68,3371.74,3375.21,16055.357,1719712799999,54193755.42095,22509,8445.192,28505179.40358,0
1719712800000,3375.21,3376.58,3357.52,3366.07,40851.924,1719714599999,137476434.34214,56474,17070.560,57455606.09759,0
1719714600000,3366.07,3371.51,3348.50,3361.19,66534.661,1719716399999,223480851.64115,73719,28952.643,97263671.04793,0
1719716400000,3361.19,3367.49,3358.55,3365.42,18322.385,1719718199999,61640949.93346,27464,9788.030,32928275.42209,0
1719718200000,3365.41,3372.57,3364.17,3370.31,29404.756,1719719999999,99046582.88121,34291,14130.514,47601300.84114,0
1719720000000,3370.31,3372.40,3365.00,3365.00,13057.127,1719721799999,43982756.83092,21472,5777.925,19464183.49562,0
1719721800000,3365.00,3367.01,3361.42,3362.36,9692.943,1719723599999,32610555.49021,18768,4976.588,16742742.55950,0
1719723600000,3362.35,3363.50,3357.04,3361.82,13337.681,1719725399999,44815938.67642,24986,5856.482,19679063.66793,0
1719725400000,3361.82,3366.98,3360.64,3366.06,9852.632,1719727199999,33155674.05193,18145,4904.272,16502584.33671,0
1719727200000,3366.06,3368.68,3360.14,3368.68,11938.857,1719728999999,40166427.92952,17440,6563.413,22084762.53648,0
1719729000000,3368.68,3376.78,3366.67,3376.60,18489.418,1719730799999,62348800.71842,23663,11389.662,38406816.33647,0
1719730800000,3376.61,3399.39,3375.01,3393.28,91919.843,1719732599999,311676120.52186,103409,47454.980,160893021.84712,0
1719732600000,3393.28,3395.66,3386.10,3393.06,25531.550,1719734399999,86565048.58915,43280,12291.030,41670219.86506,0
