open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1706572800000,2316.53,2317.60,2307.37,2313.23,38878.481,1706574599999,89862795.06753,48725,17141.593,39618159.43446,0
1706574600000,2313.23,2313.23,2303.43,2304.06,24201.199,1706576399999,55831383.06895,34881,9065.004,20910921.07299,0
1706576400000,2304.06,2315.19,2302.70,2314.14,33427.273,1706578199999,77221462.38433,41272,17796.431,41110288.24915,0
1706578200000,2314.14,2324.96,2312.23,2313.83,54919.290,1706579999999,127309000.53720,69186,26641.396,61761298.02716,0
1706580000000,2313.83,2321.45,2313.83,2319.99,21755.107,1706581799999,50437416.91121,34906,11198.661,25961018.02472,0
1706581800000,2319.98,2327.68,2315.45,2317.00,52471.969,1706583599999,121849988.46401,71641,27050.038,62813661.53443,0
1706583600000,2317.00,2319.40,2312.00,2312.91,29211.723,1706585399999,67633564.08424,42168,13484.648,31221320.35126,0
1706585400000,2312.92,2313.74,2309.18,2310.35,23927.764,1706587199999,55309208.44433,34704,11600.324,26815776.68109,0
1706587200000,2310.35,2313.65,2308.23,2308.81,26373.180,1706588999999,60939421.03152,35584,12365.023,28574178.29850,0
1706589000000,2308.80,2311.74,2307.09,2310.65,16224.450,1706590799999,37470999.52361,24191,8355.315,19297864.05161,0
1706590800000,2310.66,2312.69,2306.81,2308.09,17407.769,1706592599999,40210516.36851,24750,6903.267,15949078.79295,0
1706592600000,2308.10,2308.37,2303.04,2304.02,25178.942,1706594399999,58043946.65269,32358,8892.971,20501799.97529,0
1706594400000,2304.03,2308.23,2303.26,2306.18,17001.799,1706596199999,39199819.67424,25755,8452.373,19488451.50330,0
1706596200000,2306.17,2306.66,2299.57,2303.03,34423.713,1706597999999,79259001.82271,41156,13223.352,30445997.68214,0
1706598000000,2303.04,2309.73,2301.66,2309.45,21825.637,1706599799999,50342815.82206,30482,12819.566,29570535.92848,0
1706599800000,2309.45,2313.48,2307.37,2308.27,28347.224,1706601599999,65508336.98782,35315,14882.173,34394412.39494,0
1706601600000,2308.26,2312.17,2301.25,2310.67,31238.069,1706603399999,72053193.79519,41855,15286.729,35266289.99757,0
1706603400000,2310.66,2311.19,2304.04,2306.93,14357.356,1706605199999,33129532.60846,23747,5492.895,12675148.41851,0
1706605200000,2306.94,2308.27,2302.61,2306.10,13745.990,1706606999999,31691801.38853,24694,5692.110,13124558.54519,0
1706607000000,2306.10,2307.79,2302.39,2303.65,15520.931,1706608799999,35776876.23806,26636,7703.186,17758264.56049,0
1706608800000,2303.64,2309.76,2302.02,2309.31,22341.592,1706610599999,51509255.95474,25722,11954.533,27563622.14315,0
1706610600000,2309.32,2316.64,2309.32,2314.13,32780.971,1706612399999,75827528.87912,38357,20376.055,47132997.95850,0
1706612400000,2314.13,2316.84,2311.32,2314.27,18400.579,1706614199999,42573442.17188,30439,8878.125,20542970.27127,0
1706614200000,2314.28,2315.37,2309.93,2313.10,21071.218,1706615999999,48727873.00298,30401,9852.654,22787155.63206,0
1706616000000,2313.10,2333.58,2306.13,2306.70,115169.694,1706617799999,267423508.38703,113538,59062.929,137200160.04635,0
1706617800000,2306.70,2314.27,2296.00,2305.80,115501.474,1706619599999,266324516.57870,136169,52328.200,120669234.95822,0
1706619600000,2305.81,2313.21,2295.10,2300.85,80387.609,1706621399999,185144892.80712,92381,39093.572,90065177.16615,0
1706621400000,2300.85,2307.25,2299.13,2304.86,31105.945,1706623199999,71634492.57192,39076,16420.895,37820943.59944,0
1706623200000,2304.85,2314.95,2297.60,2313.72,59665.444,1706624999999,137566791.55475,64525,31829.625,73413926.19948,0
1706625000000,2313.72,2314.98,2305.09,2312.59,38195.383,1706626799999,88217787.32872,47226,16821.295,38852664.86517,0
1706626800000,2312.58,2320.00,2302.03,2316.58,51923.354,1706628599999,120042127.89429,62141,27282.089,63088570.77837,0
1706628600000,2316.58,2347.67,2312.81,2340.43,222898.059,1706630399999,520288819.42501,200432,124346.804,290206457.83604,0
1706630400000,2340.43,2359.75,2334.51,2356.89,186916.238,1706632199999,438886995.09815,193788,93753.450,220189012.72098,0
1706632200000,2356.90,2369.27,2351.47,2368.76,125042.674,1706633999999,295250712.45227,131515,69357.771,163798705.57926,0
1706634000000,2368.76,2378.95,2367.54,2377.39,105466.665,1706635799999,250332546.39964,119669,52638.639,124946430.33250,0
1706635800000,2377.39,2379.00,2363.54,2369.22,82253.423,1706637599999,194998191.59017,119654,38747.554,91872995.60058,0
