open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1725062400000,2524.99,2529.38,2521.23,2527.85,20697.101,1725064199999,52256994.41289,35079,10801.541,27275280.36089,0
1725064200000,2527.85,2533.29,2523.13,2523.14,18171.419,1725065999999,45931865.19736,33780,8785.660,22211187.93226,0
1725066000000,2523.13,2528.91,2518.00,2527.36,20426.816,1725067799999,51534106.77100,32588,11175.855,28194821.12038,0
1725067800000,2527.35,2529.28,2522.35,2524.76,8414.009,1725069599999,21255272.03744,20956,3813.628,9633110.33807,0
1725069600000,2524.76,2526.30,2517.79,2520.25,13803.489,1725071399999,34802419.19103,27234,5041.794,12713218.26598,0
1725071400000,2520.25,2522.77,2518.01,2521.72,7406.661,1725073199999,18670858.25375,17220,3952.513,9963910.78905,0
1725073200000,2521.71,2525.00,2520.29,2524.88,8371.479,1725074999999,21115279.01042,17935,4322.102,10901787.32962,0
1725075000000,2524.88,2526.29,2521.50,2522.42,7590.329,1725076799999,19158629.04958,15108,3509.113,8858660.37779,0
1725076800000,2522.42,2525.67,2522.02,2524.94,6907.629,1725078599999,17433996.80625,15699,3994.419,10081501.35679,0
1725078600000,2524.94,2528.50,2523.10,2528.13,10512.670,1725080399999,26561488.26846,17964,6467.112,16341045.92520,0
1725080400000,2528.13,2528.13,2525.41,2525.61,6850.174,1725082199999,17307135.37027,14190,3431.927,8670663.53973,0
1725082200000,2525.61,2527.00,2520.23,2522.14,11385.425,1725083999999,28739399.04955,17874,4261.767,10760260.87759,0
1725084000000,2522.14,2527.36,2521.00,2525.40,10258.230,1725085799999,25892354.62912,19484,5781.174,14592069.91226,0
1725085800000,2525.40,2526.55,2521.00,2521.84,10561.860,1725087599999,26647573.56943,19002,4305.849,10865194.06824,0
1725087600000,2521.85,2522.87,2517.01,2518.01,15779.538,1725089399999,39764176.92447,23140,7784.223,19615743.26894,0
1725089400000,2518.02,2522.31,2517.00,2519.78,12198.151,1725091199999,30739988.51283,19537,6354.590,16014101.42066,0
1725091200000,2519.79,2523.00,2518.06,2519.75,8418.527,1725092999999,21220504.78090,16176,4417.453,11135203.07204,0
1725093000000,2519.76,2521.53,2511.50,2512.37,26465.309,1725094799999,66577817.37983,32649,12804.218,32211202.68154,0
1725094800000,2512.48,2518.57,2510.16,2514.46,24954.332,1725096599999,62725948.42726,36781,12752.657,32056285.84305,0
1725096600000,2514.46,2518.43,2510.63,2513.05,21311.448,1725098399999,53599916.23567,29750,10999.191,27666856.79691,0
1725098400000,2513.06,2523.30,2512.54,2519.24,18730.277,1725100199999,47187506.95167,26802,10710.089,26981793.88696,0
1725100200000,2519.24,2527.42,2518.46,2524.60,16150.024,1725101999999,40761664.97515,24775,8906.651,22480247.50645,0
1725102000000,2524.61,2528.33,2522.30,2524.60,12705.050,1725103799999,32085911.74856,22432,6607.242,16687884.46241,0
1725103800000,2524.60,2528.76,2523.08,2524.56,12976.928,1725105599999,32772834.81770,22048,6470.517,16343018.99194,0
1725105600000,2524.55,2526.17,2520.62,2523.16,12615.333,1725107399999,31829493.89123,22212,6385.370,16111574.43429,0
1725107400000,2523.16,2525.17,2521.66,2522.41,7630.227,1725109199999,19257064.31299,17993,3914.651,9880379.40926,0
1725109200000,2522.41,2525.27,2521.38,2523.90,8536.540,1725110999999,21548539.58219,15978,3956.811,9987963.32197,0
1725111000000,2523.90,2526.83,2513.61,2514.91,25217.522,1725112799999,63559481.15132,34233,9886.804,24924864.27344,0
1725112800000,2514.91,2524.67,2512.85,2521.95,30628.406,1725114599999,77185342.20242,39922,17622.561,44411874.57662,0
1725114600000,2521.95,2525.39,2516.17,2521.48,13002.022,1725116399999,32782529.38849,25581,7063.014,17811908.08895,0
1725116400000,2521.48,2522.48,2515.52,2516.54,10280.570,1725118199999,25896849.88663,19766,4323.027,10889551.62265,0
1725118200000,2516.54,2520.37,2515.51,2518.02,11380.198,1725119999999,28649359.39441,22292,6247.889,15730009.36515,0
1725120000000,2518.02,2518.72,2512.66,2515.77,14771.130,1725121799999,37145861.61114,25826,6692.080,16830330.04765,0
1725121800000,2515.77,2517.39,2502.31,2507.39,39939.248,1725123599999,100192742.56194,45167,16257.558,40791089.55939,0
1725123600000,2507.40,2510.24,2500.01,2505.78,26799.142,1725125399999,67109530.98314,39417,13989.968,35036622.16971,0
