open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1717113600000,3750.38,3755.02,3745.81,3751.05,23021.966,1717115399999,86336442.52774,38929,13647.907,51183888.03072,0
1717115400000,3751.05,3755.86,3745.93,3755.32,17458.932,1717117199999,65500992.47514,35040,9631.495,36137014.10258,0
1717117200000,3755.33,3769.23,3750.51,3756.49,50900.683,1717118999999,191418713.21111,74823,23988.430,90213224.94101,0
1717119000000,3756.48,3762.72,3742.17,3751.32,20585.486,1717120799999,77184650.21506,51184,9624.122,36086867.61362,0
1717120800000,3751.32,3773.29,3748.55,3761.08,41442.428,1717122599999,155924304.91992,68893,25826.461,97180320.00611,0
1717122600000,3761.07,3761.12,3753.26,3755.46,16432.672,1717124399999,61725912.96162,32037,5786.760,21737711.71386,0
1717124400000,3755.46,3769.00,3755.46,3763.32,15526.228,1717126199999,58424936.46015,33874,9111.042,34282323.49561,0
1717126200000,3763.32,3769.09,3762.11,3762.76,10967.305,1717127999999,41292300.60819,30187,4897.953,18441980.27876,0
1717128000000,3762.77,3769.43,3757.44,3759.94,14852.045,1717129799999,55911773.27032,33650,6089.470,22931858.72861,0
1717129800000,3759.94,3768.84,3759.07,3765.07,10732.422,1717131599999,40399737.93642,29779,6474.423,24374137.82979,0
1717131600000,3765.06,3766.19,3736.60,3747.41,43832.235,1717133399999,164276524.73224,59991,19170.596,71840824.92532,0
1717133400000,3747.41,3750.78,3742.81,3749.50,14863.170,1717135199999,55695889.01803,33909,7693.125,28827062.93535,0
1717135200000,3749.51,3754.00,3743.86,3752.57,14075.160,1717136999999,52775354.46875,33140,7957.286,29838672.43317,0
1717137000000,3752.57,3753.50,3737.00,3741.56,18534.930,1717138799999,69379356.91866,39825,7672.725,28719571.43579,0
1717138800000,3741.56,3752.40,3739.23,3751.88,13522.167,1717140599999,50662449.76582,42513,7793.434,29200854.39051,0
1717140600000,3751.89,3752.12,3726.93,3731.89,50359.924,1717142399999,187984270.93689,74094,25382.984,94745038.20229,0
1717142400000,3731.88,3746.41,3729.50,3736.00,42909.848,1717144199999,160414733.75718,63644,22665.790,84734597.55732,0
1717144200000,3736.00,3742.28,3731.41,3737.51,18228.451,1717145999999,68118311.68274,36677,8354.066,31221409.41741,0
1717146000000,3737.51,3746.01,3732.69,3738.46,29610.140,1717147799999,110713040.06179,51241,14827.572,55448099.35997,0
1717147800000,3738.45,3751.31,3735.69,3749.55,22408.686,1717149599999,83930216.24940,45038,12752.663,47762866.79600,0
1717149600000,3749.55,3785.94,3749.54,3774.99,100027.736,1717151399999,377248146.46639,136944,58876.988,222037369.61392,0
1717151400000,3774.99,3788.00,3769.81,3787.06,38054.606,1717153199999,143901842.10023,76875,20940.039,79192651.77710,0
1717153200000,3787.07,3798.65,3781.66,3792.42,51625.657,1717154999999,195669372.75682,82094,26700.815,101221785.72695,0
1717155000000,3792.43,3817.00,3791.51,3805.47,77656.023,1717156799999,295854197.29026,127117,42849.456,163247657.52194,0
1717156800000,3805.47,3825.00,3804.14,3818.51,84426.461,1717158599999,322024250.28342,107608,40680.969,155191626.99477,0
1717158600000,3818.51,3859.53,3818.51,3827.00,172453.120,1717160399999,662192898.71112,241556,85246.398,327396013.40834,0
1717160400000,3826.99,3834.87,3806.23,3816.40,74231.109,1717162199999,283631192.73009,110655,32085.952,122609885.36637,0
1717162200000,3816.40,3820.59,3784.00,3788.39,122533.109,1717163999999,465249167.99448,163820,55748.727,211702826.95634,0
1717164000000,3788.39,3807.37,3768.07,3789.36,142407.217,1717165799999,538953989.10338,180700,74005.743,280149430.18831,0
1717165800000,3789.36,3797.06,3760.00,3775.67,111676.837,1717167599999,422029917.15430,151835,55064.088,208150040.85062,0
1717167600000,3775.66,3779.90,3765.73,3777.54,42989.823,1717169399999,162244387.42704,78348,24956.023,94190009.72398,0
1717169400000,3777.53,3779.59,3745.87,3747.25,88362.305,1717171199999,332079412.77165,135257,36150.036,135869565.04523,0
1717171200000,3747.25,3758.40,3725.16,3752.28,144433.168,1717172999999,539846775.76764,189048,75038.619,280551896.15017,0
1717173000000,3752.28,3760.97,3744.33,3756.15,47182.694,1717174799999,177084986.83495,85670,23882.288,89648169.05774,0
1717174800000,3756.15,3770.78,3752.81,3769.35,51280.257,1717176599999,192957149.16284,77723,25051.565,94258342.72114,0
1717176600000,3769.36,3773.97,3763.27,3770.74,28234.926,1717178399999,106410738.33505,51223,13261.707,49986069.72445,0
1717178400000,3770.73,3784.70,3766.30,3780.77,39312.443,1717180199999,148541939.64786,68516,23101.673,87289826.99328,0
1717180200000,3780.78,3791.91,3773.99,3789.04,32732.167,1717181999999,123877115.49241,64352,17493.271,66210992.77732,0
1717182000000,3789.04,3796.72,3780.00,3787.96,25952.086,1717183799999,98270019.88939,47989,12184.599,46150628.35565,0
1717183800000,3787.96,3797.00,3782.87,3788.41,33787.288,1717185599999,128067889.00745,63573,14928.261,56586878.19115,0
1717185600000,3788.46,3796.23,3780.23,3796.22,27321.721,1717187399999,103505746.34607,51730,14745.648,55870824.47678,0
