open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1703980800000,2293.26,2306.37,2292.60,2299.55,30665.398,1703982599999,70516755.37981,35647,17021.429,39142197.90804,0
1703982600000,2299.55,2306.51,2297.77,2302.77,21077.961,1703984399999,48543871.97657,23827,9691.295,22320009.48140,0
1703984400000,2302.77,2304.99,2296.41,2299.04,21250.067,1703986199999,48896688.88607,23780,8524.767,19615553.09733,0
1703986200000,2299.04,2300.93,2291.11,2291.77,20357.008,1703987999999,46730331.98622,24698,8729.869,20037051.58736,0
1703988000000,2291.77,2296.42,2290.66,2293.23,12908.522,1703989799999,29610854.62798,16615,7112.167,16315653.86111,0
1703989800000,2293.23,2294.02,2278.84,2287.36,51321.463,1703991599999,117281000.71680,48807,25679.290,58680267.25107,0
1703991600000,2287.35,2288.46,2279.15,2279.63,24135.990,1703993399999,55122269.23281,25083,12314.450,28123531.89634,0
1703993400000,2279.63,2288.00,2279.62,2285.71,23503.013,1703995199999,53678514.71828,25979,14201.017,32433893.28612,0
1703995200000,2285.71,2293.00,2283.72,2292.70,23775.413,1703996999999,54420335.24094,26114,13681.321,31314999.73630,0
1703997000000,2292.71,2293.00,2281.30,2284.18,20665.531,1703998799999,47244342.83325,25357,7902.484,18067458.30324,0
1703998800000,2284.18,2288.40,2282.89,2284.13,14737.480,1704000599999,33682567.97887,18113,7080.498,16182229.18124,0
1704000600000,2284.10,2288.89,2282.38,2282.45,16121.892,1704002399999,36844291.29921,20879,7991.100,18262254.26812,0
1704002400000,2282.46,2288.76,2280.91,2285.95,17030.927,1704004199999,38915887.26037,19062,8625.117,19710851.40673,0
1704004200000,2285.96,2288.38,2285.15,2286.56,10500.765,1704005999999,24015852.21096,14294,6132.283,14024737.73026,0
1704006000000,2286.57,2300.76,2286.39,2298.95,40912.720,1704007799999,93849129.46308,38443,23113.653,53013297.95984,0
1704007800000,2298.95,2306.83,2293.77,2296.94,53182.764,1704009599999,122368611.30374,48478,25307.407,58227989.05177,0
1704009600000,2296.95,2299.32,2293.23,2294.81,26256.043,1704011399999,60303580.12589,29781,13492.562,30990143.50138,0
1704011400000,2294.81,2297.11,2291.43,2296.96,23032.200,1704013199999,52842688.51197,24423,11817.106,27112665.57561,0
1704013200000,2296.96,2311.82,2294.98,2309.39,54361.690,1704014999999,125325100.10954,53481,27229.748,62778413.04366,0
1704015000000,2309.39,2314.75,2302.91,2312.42,71654.482,1704016799999,165415526.74684,57179,37502.094,86579234.08401,0
1704016800000,2312.42,2314.13,2304.20,2305.67,38666.556,1704018599999,89335846.98361,33898,16580.466,38310054.90149,0
1704018600000,2305.65,2316.08,2304.54,2312.13,41990.667,1704020399999,97047589.96989,38031,24386.516,56359275.98598,0
1704020400000,2312.12,2318.00,2310.40,2314.93,41492.607,1704022199999,96057668.63874,38973,21888.647,50675420.36329,0
1704022200000,2314.92,2318.00,2309.17,2310.66,26719.890,1704023999999,61815628.61794,29351,10552.669,24416676.41806,0
1704024000000,2310.66,2321.00,2307.87,2319.34,39553.810,1704025799999,91581464.25811,38402,21182.233,49041294.13469,0
1704025800000,2319.34,2324.78,2296.48,2304.85,95532.750,1704027599999,220700169.58478,78611,46835.659,108232242.69248,0
1704027600000,2304.85,2308.80,2296.79,2305.91,69015.667,1704029399999,158987116.47445,53739,32249.338,74299309.65796,0
1704029400000,2305.91,2307.76,2302.53,2304.60,22285.711,1704031199999,51378872.20586,27423,11240.472,25914375.11975,0
1704031200000,2304.61,2306.32,2300.23,2305.24,22263.353,1704032999999,51274870.35327,27701,10795.702,24864664.06894,0
1704033000000,2305.23,2306.65,2301.78,2302.51,17170.890,1704034799999,39563227.08431,19839,8969.770,20666926.62404,0
1704034800000,2302.52,2310.65,2299.24,2299.24,36821.724,1704036599999,84873426.41809,32834,17399.040,40109016.83771,0
1704036600000,2299.25,2303.61,2291.86,2300.60,56045.579,1704038399999,128816712.91933,47483,26967.800,61995679.90892,0
1704038400000,2300.59,2309.01,2299.01,2305.74,35843.387,1704040199999,82593248.34328,33766,19573.650,45101997.45973,0
1704040200000,2305.74,2311.74,2305.38,2306.35,28877.887,1704041999999,66668977.35784,29439,14112.064,32582532.01554,0
1704042000000,2306.36,2309.46,2295.34,2295.34,32269.570,1704043799999,74338205.00427,32301,12453.498,28691933.27005,0
1704043800000,2295.34,2303.57,2292.76,2300.48,43361.475,1704045599999,99640587.50499,39359,25177.438,57854119.42087,0
1704045600000,2300.48,2301.62,2292.56,2296.90,19741.848,1704047399999,45337714.21922,22840,9889.509,22713469.73297,0
1704047400000,2296.90,2308.50,2296.00,2305.50,25938.997,1704049199999,59740109.40556,30909,14042.714,32338046.23891,0
1704049200000,2305.49,2306.63,2293.88,2296.04,25117.568,1704050999999,57757069.95963,28647,11961.629,27508172.58306,0
1704051000000,2296.05,2299.86,2293.01,2296.86,15268.884,1704052799999,35061528.96636,20435,9137.635,20982657.07838,0
1704052800000,2296.85,2296.91,2286.49,2286.62,39889.194,1704054599999,91358821.84972,42631,17337.086,39706129.64635,0
1704054600000,2286.63,2289.44,2281.64,2284.35,32907.012,1704056399999,75167327.17746,38455,15442.983,35276351.65141,0
1704056400000,2284.34,2294.95,2283.51,2293.00,22144.002,1704058199999,50718162.30534,28985,13564.975,31067659.93295,0
1704058200000,2293.06,2294.27,2280.04,2284.72,53489.447,1704059999999,122329813.13668,39751,23629.990,54046916.51338,0
1704060000000,2284.72,2294.64,2282.74,2294.11,24874.413,1704061799999,56930456.00382,30333,14350.092,32845225.54711,0
1704061800000,2294.11,2295.66,2258.00,2275.69,104004.008,1704063599999,236587470.81913,88764,39013.120,88729298.45354,0
1704063600000,2275.68,2285.98,2273.34,2279.12,63336.702,1704065399999,144453772.23376,62810,30574.567,69732798.73416,0
1704065400000,2279.13,2285.90,2278.05,2283.85,19643.070,1704067199999,44818381.26500,23422,10388.588,23703189.50298,0
