open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1722384000000,3278.17,3280.00,3260.22,3264.99,25415.153,1722385799999,83071411.46501,44465,12313.694,40254162.90388,0
1722385800000,3264.99,3284.30,3264.67,3281.76,26105.024,1722387599999,85574346.74390,50077,13319.449,43656867.17874,0
1722387600000,3281.76,3287.47,3276.14,3276.87,16874.017,1722389399999,55386494.48557,34324,7759.009,25471750.46298,0
1722389400000,3276.87,3283.05,3265.08,3282.03,26104.586,1722391199999,85435410.31781,45586,13239.207,43332004.10620,0
1722391200000,3282.02,3303.64,3279.10,3303.41,35816.605,1722392999999,117920371.59976,49750,20866.514,68718439.71160,0
1722393000000,3303.40,3303.40,3285.20,3290.01,24844.917,1722394799999,81781036.82815,41869,11536.278,37969898.76175,0
1722394800000,3290.00,3299.99,3286.14,3286.22,17110.313,1722396599999,56360073.55607,34203,8668.456,28558878.15136,0
1722396600000,3286.21,3297.32,3286.21,3292.92,14481.680,1722398399999,47684622.89915,25972,8528.101,28080663.96599,0
1722398400000,3292.92,3294.41,3272.84,3278.55,40353.278,1722400199999,132403654.18839,49949,15898.884,52157907.69944,0
1722400200000,3278.55,3281.80,3261.21,3277.05,51910.370,1722401999999,169795142.08124,65581,25679.042,84006294.96847,0
1722402000000,3277.05,3282.44,3262.61,3274.40,27344.277,1722403799999,89483080.96327,44132,16389.471,53648559.81673,0
1722403800000,3274.39,3307.39,3273.87,3300.49,56138.121,1722405599999,184855495.94907,71296,32262.310,106226909.00514,0
1722405600000,3300.49,3318.99,3297.00,3313.31,64876.048,1722407399999,214749003.06760,79273,34411.544,113912820.97658,0
1722407400000,3313.30,3325.00,3313.30,3323.21,32668.404,1722409199999,108445389.23832,50264,14632.897,48580522.66699,0
1722409200000,3323.22,3331.42,3318.90,3323.00,50677.598,1722410999999,168571633.30416,64049,24333.586,80943189.18514,0
1722411000000,3323.00,3326.43,3314.35,3316.25,34320.343,1722412799999,113948149.09206,47811,14524.564,48225125.19778,0
1722412800000,3316.25,3326.00,3308.36,3320.94,33243.717,1722414599999,110249084.75259,47488,17402.789,57728491.36701,0
1722414600000,3320.93,3324.79,3316.46,3317.78,16372.148,1722416399999,54377004.62962,31140,8167.546,27129812.70780,0
1722416400000,3317.79,3320.58,3311.00,3318.60,20738.836,1722418199999,68752690.70548,32180,11060.418,36667627.53034,0
1722418200000,3318.60,3324.00,3315.80,3317.80,16099.096,1722419999999,53462721.53910,31493,8589.324,28524988.69734,0
1722420000000,3317.79,3319.49,3308.61,3316.99,20132.785,1722421799999,66734327.93652,31222,9386.835,31117758.27970,0
1722421800000,3316.99,3317.67,3304.97,3308.60,29658.433,1722423599999,98189724.63995,42503,11913.325,39443517.92757,0
1722423600000,3308.60,3319.63,3306.77,3314.97,20335.948,1722425399999,67370886.78222,35633,11248.739,37267860.10968,0
1722425400000,3314.96,3322.99,3313.56,3321.85,26435.057,1722427199999,87743408.51511,33561,17172.092,56998179.21059,0
1722427200000,3321.85,3325.60,3313.31,3316.17,23641.356,1722428999999,78480246.40403,40024,11538.215,38308315.74099,0
1722429000000,3316.17,3329.82,3313.50,3315.39,42137.138,1722430799999,139938597.94746,59260,21115.748,70132149.12246,0
1722430800000,3315.39,3332.79,3314.23,3330.47,32932.239,1722432599999,109551833.24277,46118,18520.177,61604767.15778,0
1722432600000,3330.46,3348.74,3324.57,3330.73,107141.368,1722434399999,357617542.34188,128585,52275.634,174473559.16554,0
